fuente,variable,codigo_origen,sexo
cpv2024,p25_sexo,1,mujer
cpv2024,p25_sexo,2,hombre
eh2025,s01a_02,1,hombre
eh2025,s01a_02,2,mujer
ece_4t2025,s1_02,1,hombre
ece_4t2025,s1_02,2,mujer
edsa2023,hs01_0003,1,hombre
edsa2023,hs01_0003,2,mujer

