fuente,variable,codigo_origen,area
cpv2024,urbrur,1,urbana
cpv2024,urbrur,2,rural
eh2025,area,1,urbana
eh2025,area,2,rural
ece_4t2025,area,1,urbana
ece_4t2025,area,2,rural
edsa2023,area,1,urbana
edsa2023,area,2,rural

