codigo_municipio,municipio,codigo_departamento,departamento
20905,Cairoma,2,La Paz
21001,Inquisivi,2,La Paz
21002,Quime,2,La Paz
21003,Cajuata,2,La Paz
21004,Colquiri,2,La Paz
21005,Ichoca,2,La Paz
21006,Villa Libertad Licoma,2,La Paz
21101,Chulumani,2,La Paz
21102,Irupana,2,La Paz
21103,Yanacachi,2,La Paz
21104,Palos Blancos,2,La Paz
21105,La Asunta,2,La Paz
21201,Pucarani,2,La Paz
21202,Laja,2,La Paz
21203,Batallas,2,La Paz
21204,Puerto Pérez,2,La Paz
21301,Sicasica,2,La Paz
21302,Umala,2,La Paz
21303,Ayo Ayo,2,La Paz
21304,Calamarca,2,La Paz
21305,Patacamaya,2,La Paz
21306,Colquencha,2,La Paz
21307,Collana,2,La Paz
21401,Coroico,2,La Paz
21402,Coripata,2,La Paz
21501,Ixiamas,2,La Paz
21502,San Buenaventura,2,La Paz
21601,Charazani,2,La Paz
21602,Curva,2,La Paz
21701,Copacabana,2,La Paz
21702,San Pedro De Tiquina,2,La Paz
21703,Tito Yupanqui,2,La Paz
21801,San Pedro De Curahuara,2,La Paz
21802,Papel Pampa,2,La Paz
21803,Chacarilla,2,La Paz
21901,Santiago De Machaca,2,La Paz
21902,Catacora,2,La Paz
22001,Caranavi,2,La Paz
22002,Alto Beni,2,La Paz
30101,Cochabamba,3,Cochabamba
30201,Aiquile,3,Cochabamba
30202,Pasorapa,3,Cochabamba
30203,Omereque,3,Cochabamba
30301,Ayopaya,3,Cochabamba
30302,Morochata,3,Cochabamba
30303,Cocapata,3,Cochabamba
30401,Tarata,3,Cochabamba
30402,Anzaldo,3,Cochabamba
30403,Arbieto,3,Cochabamba
30404,Sacabamba,3,Cochabamba
30501,Arani,3,Cochabamba
30502,Vacas,3,Cochabamba
30601,Arque,3,Cochabamba
30602,Tacopaya,3,Cochabamba
30701,Capinota,3,Cochabamba
30702,Santiváñez,3,Cochabamba
30703,Sicaya,3,Cochabamba
30801,Cliza,3,Cochabamba
30802,Toco,3,Cochabamba
30803,Tolata,3,Cochabamba
30901,Quillacollo,3,Cochabamba
30902,Sipesipe,3,Cochabamba
30903,Tiquipaya,3,Cochabamba
30904,Vinto,3,Cochabamba
30905,Colcapirhua,3,Cochabamba
31001,Sacaba,3,Cochabamba
31002,Colomi,3,Cochabamba
31003,Villa Tunari,3,Cochabamba
31101,Tapacarí,3,Cochabamba
31201,Totora,3,Cochabamba
31202,Pojo,3,Cochabamba
31203,Pocona,3,Cochabamba
31204,Chimoré,3,Cochabamba
31205,Puerto Villarroel,3,Cochabamba
31206,Entre Ríos,3,Cochabamba
31301,Mizque,3,Cochabamba
31302,Vila Vila,3,Cochabamba
31303,Alalay,3,Cochabamba
31304,Tioc-Raqaypampa,3,Cochabamba
31401,Punata,3,Cochabamba
31402,Villa Rivero,3,Cochabamba
31403,San Benito,3,Cochabamba
31404,Tacachi,3,Cochabamba
31405,Villa Gualberto Villarroel,3,Cochabamba
31501,Bolívar,3,Cochabamba
31601,Tiraque,3,Cochabamba
31602,Shinahota,3,Cochabamba
40101,Oruro,4,Oruro
40102,Caracollo,4,Oruro
40103,El Choro,4,Oruro
40104,Paria,4,Oruro
40201,Challapata,4,Oruro
40202,Santuario De Quillacas,4,Oruro
40301,Corque,4,Oruro
40302,Choquecota,4,Oruro
40401,Curahuara De Carangas,4,Oruro
40402,Turco,4,Oruro
40501,Huachacalla,4,Oruro
40502,Escara,4,Oruro
40503,Cruz De Machacamarca,4,Oruro
40504,Yunguyo Del Litoral,4,Oruro
40505,Esmeralda,4,Oruro
40601,Poopó,4,Oruro
40602,Pazña,4,Oruro
40603,Antequera,4,Oruro
40701,Huanuni,4,Oruro
40702,Machacamarca,4,Oruro
40801,Salinas De Garci Mendoza (Autonomía Indígena Originario Campesina De Salinas),4,Oruro
40802,Pampa Aullagas,4,Oruro
40901,Sabaya,4,Oruro
40902,Coipasa,4,Oruro
40903,Uru Chipaya (Nación Originaria Uru Chipaya),4,Oruro
41001,Toledo,4,Oruro
41101,Eucaliptus,4,Oruro
41201,Andamarca,4,Oruro
41202,Belén De Andamarca,4,Oruro
41301,Totora,4,Oruro
41401,Santiago De Huari,4,Oruro
41501,La Rivera,4,Oruro
41502,Todos Santos,4,Oruro
41503,Carangas,4,Oruro
41601,Santiago De Huayllamarca,4,Oruro
50101,Potosí,5,Potosí
50102,Tinguipaya,5,Potosí
50103,Yocalla,5,Potosí
50104,Urmiri,5,Potosí
50201,Uncía,5,Potosí
50202,Chayanta,5,Potosí
50203,Llallagua,5,Potosí
50204,Chuquihuta Ayllu Jucumani,5,Potosí
50301,Betanzos,5,Potosí
50302,Chaquí,5,Potosí
50303,Tacobamba,5,Potosí
50401,Colquechaca,5,Potosí
50402,Ravelo,5,Potosí
50403,Pocoata,5,Potosí
50404,Ocurí,5,Potosí
50405,San Pedro De Macha,5,Potosí
50501,San Pedro,5,Potosí
50502,Toro Toro,5,Potosí
50601,Cotagaita,5,Potosí
50602,Vitichi,5,Potosí
50701,Sacaca,5,Potosí
50702,Caripuyo,5,Potosí
50801,Tupiza,5,Potosí
50802,Atocha,5,Potosí
50901,"Colcha ""K""",5,Potosí
50902,San Pedro De Quemes,5,Potosí
51001,San Pablo,5,Potosí
51002,Mojinete,5,Potosí
51003,San Antonio De Esmoruco,5,Potosí
51101,Puna,5,Potosí
51102,"Caiza ""D""",5,Potosí
51103,Ckochas,5,Potosí
51201,Uyuni,5,Potosí
51202,Tomave,5,Potosí
51203,Porco,5,Potosí
51204,Tioc-Jatun Ayllu Yura,5,Potosí
51301,Arampampa,5,Potosí
51302,Acasio,5,Potosí
51401,Llica,5,Potosí
51402,Tahua,5,Potosí
51501,Villazón,5,Potosí
51601,San Agustín,5,Potosí
60101,Tarija,6,Tarija
60201,Padcaya,6,Tarija
60202,Bermejo,6,Tarija
60301,Yacuiba,6,Tarija
60302,Caraparí,6,Tarija
60303,Villa Montes,6,Tarija
60401,Uriondo,6,Tarija
60402,Yunchará,6,Tarija
60501,San Lorenzo,6,Tarija
60502,El Puente,6,Tarija
60601,Entre Ríos,6,Tarija
70101,Santa Cruz De La Sierra,7,Santa Cruz
70102,Cotoca,7,Santa Cruz
70103,Porongo,7,Santa Cruz
70104,La Guardia,7,Santa Cruz
70105,El Torno,7,Santa Cruz
70201,Warnes,7,Santa Cruz
70202,Okinawa Uno,7,Santa Cruz
70301,San Ignacio,7,Santa Cruz
70302,San Miguel,7,Santa Cruz
70303,San Rafael,7,Santa Cruz
70401,Buena Vista,7,Santa Cruz
70402,San Carlos,7,Santa Cruz
70403,Yapacaní,7,Santa Cruz
70404,San Juan,7,Santa Cruz
70501,San José,7,Santa Cruz
70502,Pailón,7,Santa Cruz
70503,Roboré,7,Santa Cruz
70601,Portachuelo,7,Santa Cruz
70602,Santa Rosa,7,Santa Cruz
70603,Colpa Bélgica,7,Santa Cruz
70701,Lagunillas,7,Santa Cruz
70702,Charagua (Autonomía Guaraní Charagua Iyambae),7,Santa Cruz
70703,Cabezas,7,Santa Cruz
70704,Cuevo,7,Santa Cruz
70705,Gutiérrez (Autonomía Indígena Kereimba Iyaambae),7,Santa Cruz
70706,Camiri,7,Santa Cruz
70707,Boyuibe,7,Santa Cruz
70801,Vallegrande,7,Santa Cruz
70802,Trigal,7,Santa Cruz
70803,Moromoro,7,Santa Cruz
70804,Postrervalle,7,Santa Cruz
70805,Pucará,7,Santa Cruz
70901,Samaipata,7,Santa Cruz
70902,Pampagrande,7,Santa Cruz
70903,Mairana,7,Santa Cruz
70904,Quirusillas,7,Santa Cruz
71001,Montero,7,Santa Cruz
71002,General Saavedra,7,Santa Cruz
71003,Mineros,7,Santa Cruz
71004,Fernández Alonso,7,Santa Cruz
71005,San Pedro,7,Santa Cruz
71101,Concepción,7,Santa Cruz
71102,San Javier,7,Santa Cruz
71103,San Julián,7,Santa Cruz
71104,San Antonio De Lomerio,7,Santa Cruz
71105,San Ramón,7,Santa Cruz
71106,Cuatro Cañadas,7,Santa Cruz
71201,San Matías,7,Santa Cruz
71301,Comarapa,7,Santa Cruz
71302,Saipina,7,Santa Cruz
71401,Puerto Suárez,7,Santa Cruz
71402,Puerto Quijarro,7,Santa Cruz
71403,El Carmen Rivero Tórrez,7,Santa Cruz
71501,Ascención De Guarayos,7,Santa Cruz
71502,Urubichá,7,Santa Cruz
71503,El Puente,7,Santa Cruz
80101,Trinidad,8,Beni
80102,San Javier,8,Beni
80201,Riberalta,8,Beni
80202,Guayaramerín,8,Beni
80301,Reyes,8,Beni
80302,San Borja,8,Beni
80303,Santa Rosa,8,Beni
80304,Puerto Menor De Rurrenabaque,8,Beni
80401,Santa Ana,8,Beni
80402,Exaltación,8,Beni
80501,San Ignacio,8,Beni
80601,Loreto,8,Beni
80602,San Andrés,8,Beni
80701,San Joaquín,8,Beni
80702,San Ramón,8,Beni
80703,Puerto Siles,8,Beni
80801,Magdalena,8,Beni
80802,Baures,8,Beni
80803,Huacaraje,8,Beni
80901,Tioc-Territorio Indígena Multiétnico,8,Beni
90101,Cobija,9,Pando
90102,Porvenir,9,Pando
90103,Bolpebra,9,Pando
90104,Bella Flor,9,Pando
90201,Puerto Rico,9,Pando
90202,San Pedro,9,Pando
90203,Filadelfia,9,Pando
90301,Puerto Gonzalo Moreno,9,Pando
90302,San Lorenzo,9,Pando
90303,Sena,9,Pando
90401,Santa Rosa,9,Pando
90402,Ingavi,9,Pando
90501,Nueva Esperanza,9,Pando
90502,Villa Nueva,9,Pando
90503,Santos Mercado,9,Pando
