codigo_municipio,municipio,codigo_departamento,departamento
10101,Sucre,1,Chuquisaca
10102,Yotala,1,Chuquisaca
10103,Poroma,1,Chuquisaca
10201,Azurduy,1,Chuquisaca
10202,Tarvita,1,Chuquisaca
10301,Zudáñez,1,Chuquisaca
10302,Presto,1,Chuquisaca
10303,Mojocoya,1,Chuquisaca
10304,Icla,1,Chuquisaca
10401,Padilla,1,Chuquisaca
10402,Tomina,1,Chuquisaca
10403,Sopachuy,1,Chuquisaca
10404,Alcalá,1,Chuquisaca
10405,El Villar,1,Chuquisaca
10501,Monteagudo,1,Chuquisaca
10502,Huacareta,1,Chuquisaca
10601,Tarabuco,1,Chuquisaca
10602,Yamparáez,1,Chuquisaca
10701,Camargo,1,Chuquisaca
10702,San Lucas,1,Chuquisaca
10703,Incahuasi,1,Chuquisaca
10704,Villa Charcas,1,Chuquisaca
10801,Villa Serrano,1,Chuquisaca
10901,Villa Abecia,1,Chuquisaca
10902,Culpina,1,Chuquisaca
10903,Las Carreras,1,Chuquisaca
11001,Villa Vaca Guzmán,1,Chuquisaca
11002,Huacaya (Autonomía Guaraní Chaqueño De Huacaya),1,Chuquisaca
11003,Macharetí,1,Chuquisaca
20101,Nuestra Señora De La Paz,2,La Paz
20102,Palca,2,La Paz
20103,Mecapaca,2,La Paz
20104,Achocalla,2,La Paz
20105,El Alto,2,La Paz
20201,Achacachi,2,La Paz
20202,Villa Ancoraimes,2,La Paz
20203,Huarina,2,La Paz
20204,Santiago De Huata,2,La Paz
20205,Huatajata,2,La Paz
20206,Chua Cocani,2,La Paz
20301,Corocoro,2,La Paz
20302,Caquiaviri,2,La Paz
20303,Calacoto,2,La Paz
20304,Comanche,2,La Paz
20305,Charaña,2,La Paz
20306,Waldo Ballivián,2,La Paz
20307,Nazacara De Pacajes,2,La Paz
20308,Santiago De Callapa,2,La Paz
20401,Puerto Acosta,2,La Paz
20402,Mocomoco,2,La Paz
20403,Puerto Mayor De Carabuco,2,La Paz
20404,Humanata,2,La Paz
20405,Escoma,2,La Paz
20501,Chuma,2,La Paz
20502,Ayata,2,La Paz
20503,Aucapata,2,La Paz
20601,Sorata,2,La Paz
20602,Guanay,2,La Paz
20603,Tacacoma,2,La Paz
20604,Quiabaya,2,La Paz
20605,Combaya,2,La Paz
20606,Tipuani,2,La Paz
20607,Mapiri,2,La Paz
20608,Teoponte,2,La Paz
20701,Apolo,2,La Paz
20702,Pelechuco,2,La Paz
20801,Viacha,2,La Paz
20802,Puerto Mayor De Guaqui,2,La Paz
20803,Tiahuanacu,2,La Paz
20804,Desaguadero,2,La Paz
20805,La (Marka) San Andrés De Machaca,2,La Paz
20806,Jesús De Machaka,2,La Paz
20807,Taraco,2,La Paz
20901,Luribay,2,La Paz
20902,Sapahaqui,2,La Paz
20903,Yaco,2,La Paz
20904,Malla,2,La Paz
