gestion,codigo_municipio,area,edad,sexo,tenencia_vivienda,numerador,denominador,valor
2024,10101,rural,16,hombre,alquilada,2,12,16.666666666666668
2024,10101,rural,16,hombre,propia_pagada,10,12,83.33333333333333
2024,10101,rural,16,mujer,alquilada,1,6,16.666666666666668
2024,10101,rural,16,mujer,prestada,1,6,16.666666666666668
2024,10101,rural,16,mujer,propia_pagada,4,6,66.66666666666667
2024,10101,rural,17,hombre,alquilada,1,14,7.142857142857143
2024,10101,rural,17,hombre,cedida_por_servicios,1,14,7.142857142857143
2024,10101,rural,17,hombre,otra,1,14,7.142857142857143
2024,10101,rural,17,hombre,propia_en_pago,1,14,7.142857142857143
2024,10101,rural,17,hombre,propia_pagada,10,14,71.42857142857143
2024,10101,rural,17,mujer,prestada,2,9,22.22222222222222
2024,10101,rural,17,mujer,propia_pagada,7,9,77.77777777777777
2024,10101,rural,18,hombre,alquilada,1,18,5.555555555555555
2024,10101,rural,18,hombre,prestada,1,18,5.555555555555555
2024,10101,rural,18,hombre,propia_pagada,16,18,88.88888888888889
2024,10101,rural,18,mujer,alquilada,1,15,6.666666666666667
2024,10101,rural,18,mujer,prestada,1,15,6.666666666666667
2024,10101,rural,18,mujer,propia_pagada,13,15,86.66666666666667
2024,10101,rural,19,hombre,cedida_por_servicios,2,19,10.526315789473685
2024,10101,rural,19,hombre,otra,1,19,5.2631578947368425
2024,10101,rural,19,hombre,prestada,2,19,10.526315789473685
2024,10101,rural,19,hombre,propia_pagada,14,19,73.6842105263158
2024,10101,rural,19,mujer,cedida_por_servicios,1,11,9.090909090909092
2024,10101,rural,19,mujer,propia_pagada,10,11,90.9090909090909
2024,10101,rural,20,hombre,cedida_por_servicios,2,30,6.666666666666667
2024,10101,rural,20,hombre,prestada,1,30,3.3333333333333335
2024,10101,rural,20,hombre,propia_en_pago,1,30,3.3333333333333335
2024,10101,rural,20,hombre,propia_pagada,26,30,86.66666666666667
2024,10101,rural,20,mujer,alquilada,2,17,11.764705882352942
2024,10101,rural,20,mujer,otra,2,17,11.764705882352942
2024,10101,rural,20,mujer,prestada,1,17,5.882352941176471
2024,10101,rural,20,mujer,propia_pagada,12,17,70.58823529411765
2024,10101,rural,21,hombre,alquilada,4,23,17.391304347826086
2024,10101,rural,21,hombre,cedida_por_servicios,1,23,4.3478260869565215
2024,10101,rural,21,hombre,propia_en_pago,2,23,8.695652173913043
2024,10101,rural,21,hombre,propia_pagada,16,23,69.56521739130434
2024,10101,rural,21,mujer,alquilada,2,14,14.285714285714286
2024,10101,rural,21,mujer,otra,1,14,7.142857142857143
2024,10101,rural,21,mujer,propia_pagada,11,14,78.57142857142857
2024,10101,rural,22,hombre,alquilada,1,39,2.5641025641025643
2024,10101,rural,22,hombre,otra,2,39,5.128205128205129
2024,10101,rural,22,hombre,prestada,5,39,12.820512820512821
2024,10101,rural,22,hombre,propia_en_pago,1,39,2.5641025641025643
2024,10101,rural,22,hombre,propia_pagada,30,39,76.92307692307692
2024,10101,rural,22,mujer,prestada,1,26,3.8461538461538463
2024,10101,rural,22,mujer,propia_en_pago,2,26,7.6923076923076925
2024,10101,rural,22,mujer,propia_pagada,23,26,88.46153846153847
2024,10101,rural,23,hombre,alquilada,5,51,9.803921568627452
2024,10101,rural,23,hombre,otra,3,51,5.882352941176471
2024,10101,rural,23,hombre,prestada,6,51,11.764705882352942
2024,10101,rural,23,hombre,propia_en_pago,1,51,1.9607843137254901
2024,10101,rural,23,hombre,propia_pagada,36,51,70.58823529411765
2024,10101,rural,23,mujer,alquilada,3,31,9.67741935483871
2024,10101,rural,23,mujer,prestada,4,31,12.903225806451612
2024,10101,rural,23,mujer,propia_pagada,24,31,77.41935483870968
2024,10101,rural,24,hombre,alquilada,4,45,8.88888888888889
2024,10101,rural,24,hombre,cedida_por_servicios,1,45,2.2222222222222223
2024,10101,rural,24,hombre,otra,1,45,2.2222222222222223
2024,10101,rural,24,hombre,prestada,5,45,11.11111111111111
2024,10101,rural,24,hombre,propia_en_pago,1,45,2.2222222222222223
2024,10101,rural,24,hombre,propia_pagada,33,45,73.33333333333333
2024,10101,rural,24,mujer,alquilada,4,33,12.121212121212121
2024,10101,rural,24,mujer,prestada,2,33,6.0606060606060606
2024,10101,rural,24,mujer,propia_en_pago,2,33,6.0606060606060606
2024,10101,rural,24,mujer,propia_pagada,25,33,75.75757575757575
2024,10101,rural,25,hombre,alquilada,3,63,4.761904761904762
2024,10101,rural,25,hombre,anticretica,1,63,1.5873015873015872
2024,10101,rural,25,hombre,cedida_por_servicios,2,63,3.1746031746031744
2024,10101,rural,25,hombre,otra,3,63,4.761904761904762
2024,10101,rural,25,hombre,prestada,3,63,4.761904761904762
2024,10101,rural,25,hombre,propia_en_pago,3,63,4.761904761904762
2024,10101,rural,25,hombre,propia_pagada,48,63,76.19047619047619
2024,10101,rural,25,mujer,otra,1,29,3.4482758620689653
2024,10101,rural,25,mujer,prestada,1,29,3.4482758620689653
2024,10101,rural,25,mujer,propia_en_pago,1,29,3.4482758620689653
