gestion,codigo_municipio,area,edad,sexo,observaciones,valor
2024,10101,rural,19,hombre,144,10.930555555555555
2024,10101,rural,19,mujer,122,11.139344262295081
2024,10101,rural,20,hombre,139,11.323741007194245
2024,10101,rural,20,mujer,113,11.805309734513274
2024,10101,rural,21,hombre,119,11.521008403361344
2024,10101,rural,21,mujer,142,11.408450704225352
2024,10101,rural,22,hombre,142,11.56338028169014
2024,10101,rural,22,mujer,129,12.015503875968992
2024,10101,rural,23,hombre,168,11.303571428571429
2024,10101,rural,23,mujer,152,11.401315789473685
2024,10101,rural,24,hombre,163,11.950920245398773
2024,10101,rural,24,mujer,164,10.878048780487806
2024,10101,rural,25,hombre,181,11.331491712707182
2024,10101,rural,25,mujer,139,11.050359712230216
2024,10101,rural,26,hombre,148,11.25
2024,10101,rural,26,mujer,142,11.654929577464788
2024,10101,rural,27,hombre,155,11.27741935483871
2024,10101,rural,27,mujer,151,11.245033112582782
2024,10101,rural,28,hombre,138,11.210144927536232
2024,10101,rural,28,mujer,118,10.64406779661017
2024,10101,urbana,19,hombre,2865,12.163350785340315
2024,10101,urbana,19,mujer,3003,12.484515484515484
2024,10101,urbana,20,hombre,2855,12.64448336252189
2024,10101,urbana,20,mujer,2926,12.966507177033494
2024,10101,urbana,21,hombre,2881,12.922596320721972
2024,10101,urbana,21,mujer,3042,13.461867192636424
2024,10101,urbana,22,hombre,2860,13.177272727272728
2024,10101,urbana,22,mujer,3001,13.726091302899034
2024,10101,urbana,23,hombre,2993,13.434012696291347
2024,10101,urbana,23,mujer,3205,13.883307332293292
2024,10101,urbana,24,hombre,3098,13.583279535183989
2024,10101,urbana,24,mujer,3156,14.082065906210392
2024,10101,urbana,25,hombre,2807,13.669397933737086
2024,10101,urbana,25,mujer,2898,14.191856452726018
2024,10101,urbana,26,hombre,2764,13.676917510853835
2024,10101,urbana,26,mujer,2859,14.09233997901364
2024,10101,urbana,27,hombre,2557,13.8056315995307
2024,10101,urbana,27,mujer,2745,14.07832422586521
2024,10101,urbana,28,hombre,2634,13.726651480637813
2024,10101,urbana,28,mujer,2654,14.005275056518462
2024,10102,rural,19,hombre,58,10.913793103448276
2024,10102,rural,19,mujer,71,11.887323943661972
2024,10102,rural,20,hombre,82,11.878048780487806
2024,10102,rural,20,mujer,64,12.359375
2024,10102,rural,21,hombre,73,11.452054794520548
2024,10102,rural,21,mujer,67,12.671641791044776
2024,10102,rural,22,hombre,67,12.26865671641791
2024,10102,rural,22,mujer,62,12.661290322580646
2024,10102,rural,23,hombre,74,12.378378378378379
2024,10102,rural,23,mujer,71,12.56338028169014
2024,10102,rural,24,hombre,68,12.073529411764707
2024,10102,rural,24,mujer,78,12.525641025641026
2024,10102,rural,25,hombre,65,12.215384615384615
2024,10102,rural,25,mujer,72,12.708333333333334
2024,10102,rural,26,hombre,74,12.364864864864865
2024,10102,rural,26,mujer,81,13.580246913580247
2024,10102,rural,27,hombre,75,12.2
2024,10102,rural,27,mujer,68,13.044117647058824
2024,10102,rural,28,hombre,72,11.73611111111111
2024,10102,rural,28,mujer,74,12.608108108108109
2024,10103,rural,19,hombre,95,10.0
2024,10103,rural,19,mujer,103,9.03883495145631
2024,10103,rural,20,hombre,111,10.17117117117117
2024,10103,rural,20,mujer,87,9.344827586206897
2024,10103,rural,21,hombre,97,9.649484536082474
2024,10103,rural,21,mujer,101,9.564356435643564
2024,10103,rural,22,hombre,87,9.816091954022989
2024,10103,rural,22,mujer,76,8.342105263157896
2024,10103,rural,23,hombre,96,9.541666666666666
2024,10103,rural,23,mujer,97,9.185567010309278
2024,10103,rural,24,hombre,85,9.929411764705883
2024,10103,rural,24,mujer,93,8.150537634408602
2024,10103,rural,25,hombre,87,9.413793103448276
2024,10103,rural,25,mujer,74,9.08108108108108
2024,10103,rural,26,hombre,85,9.2
2024,10103,rural,26,mujer,74,9.04054054054054
2024,10103,rural,27,hombre,90,9.588888888888889
2024,10103,rural,27,mujer,69,7.681159420289855
2024,10103,rural,28,hombre,84,9.428571428571429
2024,10103,rural,28,mujer,91,8.043956043956044
2024,10201,rural,19,hombre,44,10.0
2024,10201,rural,19,mujer,54,9.074074074074074
2024,10201,rural,20,hombre,41,8.829268292682928
2024,10201,rural,20,mujer,40,8.975
2024,10201,rural,21,hombre,55,9.581818181818182
2024,10201,rural,21,mujer,44,8.977272727272727
2024,10201,rural,22,hombre,43,9.465116279069768
2024,10201,rural,22,mujer,37,9.08108108108108
2024,10201,rural,23,hombre,64,9.34375
2024,10201,rural,23,mujer,51,10.392156862745098
2024,10201,rural,24,hombre,49,8.979591836734693
2024,10201,rural,24,mujer,37,9.378378378378379
2024,10201,rural,25,hombre,50,10.62
2024,10201,rural,25,mujer,48,9.333333333333334
2024,10201,rural,26,hombre,46,8.543478260869565
2024,10201,rural,26,mujer,49,9.448979591836734
2024,10201,rural,27,hombre,43,10.023255813953488
2024,10201,rural,27,mujer,49,10.428571428571429
2024,10201,rural,28,hombre,32,10.625
2024,10201,rural,28,mujer,48,11.645833333333334
2024,10202,rural,19,hombre,154,10.194805194805195
2024,10202,rural,19,mujer,165,10.539393939393939
2024,10202,rural,20,hombre,133,10.007518796992482
2024,10202,rural,20,mujer,166,10.036144578313253
2024,10202,rural,21,hombre,114,10.578947368421053
2024,10202,rural,21,mujer,122,10.581967213114755
2024,10202,rural,22,hombre,114,9.973684210526315
2024,10202,rural,22,mujer,142,10.549295774647888
2024,10202,rural,23,hombre,138,10.210144927536232
2024,10202,rural,23,mujer,159,9.635220125786164
2024,10202,rural,24,hombre,113,10.247787610619469
2024,10202,rural,24,mujer,148,10.135135135135135
2024,10202,rural,25,hombre,166,9.867469879518072
2024,10202,rural,25,mujer,142,9.725352112676056
2024,10202,rural,26,hombre,102,9.254901960784315
2024,10202,rural,26,mujer,123,9.902439024390244
2024,10202,rural,27,hombre,118,10.076271186440678
