gestion,codigo_departamento,area,edad,sexo,antiguedad_empresa,observaciones,numerador,denominador,valor,cv
2025,1,rural,16,hombre,hasta_1_mes,7,0.0,1252.6978789209415,0.0,
2025,1,rural,16,hombre,mas_1_hasta_3_meses,7,0.0,1252.6978789209415,0.0,
2025,1,rural,16,hombre,mas_3_hasta_6_meses,7,0.0,1252.6978789209415,0.0,
2025,1,rural,16,hombre,mas_6_hasta_12_meses,7,0.0,1252.6978789209415,0.0,
2025,1,rural,16,hombre,mas_de_12_meses,7,1252.6978789209415,1252.6978789209415,100.0,0.0
2025,1,rural,16,mujer,hasta_1_mes,6,0.0,1093.3540493778537,0.0,
2025,1,rural,16,mujer,mas_1_hasta_3_meses,6,0.0,1093.3540493778537,0.0,
2025,1,rural,16,mujer,mas_3_hasta_6_meses,6,0.0,1093.3540493778537,0.0,
2025,1,rural,16,mujer,mas_6_hasta_12_meses,6,193.2598316965772,1093.3540493778537,17.675869203260095,0.8989271957355225
2025,1,rural,16,mujer,mas_de_12_meses,6,900.0942176812765,1093.3540493778537,82.32413079673991,0.19300925963379512
2025,1,rural,17,hombre,hasta_1_mes,7,321.5835717878623,1337.9371744673826,24.035775216118125,0.6592443574193251
2025,1,rural,17,hombre,mas_1_hasta_3_meses,7,109.29414331593122,1337.9371744673826,8.168854666844872,1.0292701066367385
2025,1,rural,17,hombre,mas_3_hasta_6_meses,7,0.0,1337.9371744673826,0.0,
2025,1,rural,17,hombre,mas_6_hasta_12_meses,7,139.59986528010842,1337.9371744673826,10.433962666123058,1.0147630448493532
2025,1,rural,17,hombre,mas_de_12_meses,7,767.4595940834806,1337.9371744673826,57.36140745091394,0.34914276745481193
2025,1,rural,17,mujer,hasta_1_mes,5,55.640654779019535,1385.9141657636933,4.014725886603471,1.1852797959802173
2025,1,rural,17,mujer,mas_1_hasta_3_meses,5,0.0,1385.9141657636933,0.0,
2025,1,rural,17,mujer,mas_3_hasta_6_meses,5,0.0,1385.9141657636933,0.0,
2025,1,rural,17,mujer,mas_6_hasta_12_meses,5,0.0,1385.9141657636933,0.0,
2025,1,rural,17,mujer,mas_de_12_meses,5,1330.2735109846737,1385.9141657636933,95.98527411339653,0.04957607845311881
2025,1,rural,18,hombre,hasta_1_mes,8,192.7807663391974,1854.0010773440229,10.398093544550061,0.9777247175815348
2025,1,rural,18,hombre,mas_1_hasta_3_meses,8,495.625645679092,1854.0010773440229,26.732759313662747,0.825920722721085
