gestion,codigo_departamento,area,edad,sexo,edad_primer_embarazo,observaciones,numerador,denominador,valor,cv
2023,1,rural,18,mujer,13.0,2,0.0,3.3949181607957764,0.0,
2023,1,rural,18,mujer,14.0,2,0.0,3.3949181607957764,0.0,
2023,1,rural,18,mujer,15.0,2,0.0,3.3949181607957764,0.0,
2023,1,rural,18,mujer,16.0,2,0.0,3.3949181607957764,0.0,
2023,1,rural,18,mujer,17.0,2,0.0,3.3949181607957764,0.0,
2023,1,rural,18,mujer,18.0,2,3.3949181607957764,3.3949181607957764,100.0,0.0
2023,1,rural,18,mujer,19.0,2,0.0,3.3949181607957764,0.0,
2023,1,rural,18,mujer,20.0,2,0.0,3.3949181607957764,0.0,
2023,1,rural,18,mujer,21.0,2,0.0,3.3949181607957764,0.0,
2023,1,rural,18,mujer,22.0,2,0.0,3.3949181607957764,0.0,
2023,1,rural,18,mujer,23.0,2,0.0,3.3949181607957764,0.0,
2023,1,rural,18,mujer,24.0,2,0.0,3.3949181607957764,0.0,
2023,1,rural,18,mujer,25.0,2,0.0,3.3949181607957764,0.0,
2023,1,rural,18,mujer,26.0,2,0.0,3.3949181607957764,0.0,
2023,1,rural,18,mujer,27.0,2,0.0,3.3949181607957764,0.0,
2023,1,rural,18,mujer,28.0,2,0.0,3.3949181607957764,0.0,
2023,1,rural,20,mujer,13.0,1,0.0,0.4821546828599422,0.0,
2023,1,rural,20,mujer,14.0,1,0.0,0.4821546828599422,0.0,
2023,1,rural,20,mujer,15.0,1,0.0,0.4821546828599422,0.0,
2023,1,rural,20,mujer,16.0,1,0.0,0.4821546828599422,0.0,
2023,1,rural,20,mujer,17.0,1,0.0,0.4821546828599422,0.0,
2023,1,rural,20,mujer,18.0,1,0.0,0.4821546828599422,0.0,
2023,1,rural,20,mujer,19.0,1,0.0,0.4821546828599422,0.0,
2023,1,rural,20,mujer,20.0,1,0.4821546828599422,0.4821546828599422,100.0,0.0
2023,1,rural,20,mujer,21.0,1,0.0,0.4821546828599422,0.0,
2023,1,rural,20,mujer,22.0,1,0.0,0.4821546828599422,0.0,
2023,1,rural,20,mujer,23.0,1,0.0,0.4821546828599422,0.0,
2023,1,rural,20,mujer,24.0,1,0.0,0.4821546828599422,0.0,
2023,1,rural,20,mujer,25.0,1,0.0,0.4821546828599422,0.0,
2023,1,rural,20,mujer,26.0,1,0.0,0.4821546828599422,0.0,
2023,1,rural,20,mujer,27.0,1,0.0,0.4821546828599422,0.0,
2023,1,rural,20,mujer,28.0,1,0.0,0.4821546828599422,0.0,
2023,1,rural,21,mujer,13.0,1,0.0,0.2718260740350014,0.0,
2023,1,rural,21,mujer,14.0,1,0.0,0.2718260740350014,0.0,
2023,1,rural,21,mujer,15.0,1,0.0,0.2718260740350014,0.0,
2023,1,rural,21,mujer,16.0,1,0.0,0.2718260740350014,0.0,
2023,1,rural,21,mujer,17.0,1,0.0,0.2718260740350014,0.0,
2023,1,rural,21,mujer,18.0,1,0.2718260740350014,0.2718260740350014,100.0,0.0
2023,1,rural,21,mujer,19.0,1,0.0,0.2718260740350014,0.0,
2023,1,rural,21,mujer,20.0,1,0.0,0.2718260740350014,0.0,
2023,1,rural,21,mujer,21.0,1,0.0,0.2718260740350014,0.0,
2023,1,rural,21,mujer,22.0,1,0.0,0.2718260740350014,0.0,
2023,1,rural,21,mujer,23.0,1,0.0,0.2718260740350014,0.0,
2023,1,rural,21,mujer,24.0,1,0.0,0.2718260740350014,0.0,
2023,1,rural,21,mujer,25.0,1,0.0,0.2718260740350014,0.0,
2023,1,rural,21,mujer,26.0,1,0.0,0.2718260740350014,0.0,
2023,1,rural,21,mujer,27.0,1,0.0,0.2718260740350014,0.0,
2023,1,rural,21,mujer,28.0,1,0.0,0.2718260740350014,0.0,
2023,1,rural,23,mujer,13.0,1,0.0,1.1074395608833392,0.0,
2023,1,rural,23,mujer,14.0,1,0.0,1.1074395608833392,0.0,
2023,1,rural,23,mujer,15.0,1,0.0,1.1074395608833392,0.0,
2023,1,rural,23,mujer,16.0,1,0.0,1.1074395608833392,0.0,
2023,1,rural,23,mujer,17.0,1,0.0,1.1074395608833392,0.0,
2023,1,rural,23,mujer,18.0,1,0.0,1.1074395608833392,0.0,
2023,1,rural,23,mujer,19.0,1,0.0,1.1074395608833392,0.0,
2023,1,rural,23,mujer,20.0,1,1.1074395608833392,1.1074395608833392,100.0,0.0
2023,1,rural,23,mujer,21.0,1,0.0,1.1074395608833392,0.0,
2023,1,rural,23,mujer,22.0,1,0.0,1.1074395608833392,0.0,
2023,1,rural,23,mujer,23.0,1,0.0,1.1074395608833392,0.0,
2023,1,rural,23,mujer,24.0,1,0.0,1.1074395608833392,0.0,
2023,1,rural,23,mujer,25.0,1,0.0,1.1074395608833392,0.0,
2023,1,rural,23,mujer,26.0,1,0.0,1.1074395608833392,0.0,
2023,1,rural,23,mujer,27.0,1,0.0,1.1074395608833392,0.0,
2023,1,rural,23,mujer,28.0,1,0.0,1.1074395608833392,0.0,
2023,1,rural,24,mujer,13.0,1,0.0,0.09384469255174227,0.0,
2023,1,rural,24,mujer,14.0,1,0.0,0.09384469255174227,0.0,
2023,1,rural,24,mujer,15.0,1,0.0,0.09384469255174227,0.0,
2023,1,rural,24,mujer,16.0,1,0.0,0.09384469255174227,0.0,
2023,1,rural,24,mujer,17.0,1,0.0,0.09384469255174227,0.0,
2023,1,rural,24,mujer,18.0,1,0.0,0.09384469255174227,0.0,
2023,1,rural,24,mujer,19.0,1,0.09384469255174227,0.09384469255174227,100.0,0.0
2023,1,rural,24,mujer,20.0,1,0.0,0.09384469255174227,0.0,
2023,1,rural,24,mujer,21.0,1,0.0,0.09384469255174227,0.0,
