gestion,codigo_departamento,area,edad,sexo,frecuencia,observaciones,numerador,denominador,valor,cv,vasos_promedio,cv_vasos
2023,1,rural,16,mujer,a_veces,3,1.4665292705609785,1.4665292705609785,100.0,0.0,2.8026010160607155,0.4269862955401972
2023,1,rural,16,mujer,diariamente,3,0.0,1.4665292705609785,0.0,,,
2023,1,rural,16,mujer,un_dia_por_semana,3,0.0,1.4665292705609785,0.0,,,
2023,1,rural,17,hombre,a_veces,3,3.383094918346745,3.383094918346745,100.0,0.0,14.434073069242514,0.1478955427966288
2023,1,rural,17,hombre,diariamente,3,0.0,3.383094918346745,0.0,,,
2023,1,rural,17,hombre,un_dia_por_semana,3,0.0,3.383094918346745,0.0,,,
2023,1,rural,17,mujer,a_veces,5,2.250599794866768,2.250599794866768,100.0,0.0,2.6936560506845675,0.2338703277432216
2023,1,rural,17,mujer,diariamente,5,0.0,2.250599794866768,0.0,,,
2023,1,rural,17,mujer,un_dia_por_semana,5,0.0,2.250599794866768,0.0,,,
2023,1,rural,18,hombre,a_veces,2,1.080811622058144,1.080811622058144,100.0,0.0,8.713602914854457,0.14163760874080325
2023,1,rural,18,hombre,diariamente,2,0.0,1.080811622058144,0.0,,,
2023,1,rural,18,hombre,un_dia_por_semana,2,0.0,1.080811622058144,0.0,,,
2023,1,rural,18,mujer,a_veces,4,3.1023673897644706,3.1023673897644706,100.0,0.0,9.444544003687636,0.45537760562295293
2023,1,rural,18,mujer,diariamente,4,0.0,3.1023673897644706,0.0,,,
2023,1,rural,18,mujer,un_dia_por_semana,4,0.0,3.1023673897644706,0.0,,,
2023,1,rural,19,hombre,a_veces,1,0.7332233920063884,0.7332233920063884,100.0,0.0,6.0,0.0
2023,1,rural,19,hombre,diariamente,1,0.0,0.7332233920063884,0.0,,,
2023,1,rural,19,hombre,un_dia_por_semana,1,0.0,0.7332233920063884,0.0,,,
2023,1,rural,19,mujer,a_veces,2,1.13341560346935,1.13341560346935,100.0,0.0,5.0,0.0
2023,1,rural,19,mujer,diariamente,2,0.0,1.13341560346935,0.0,,,
2023,1,rural,19,mujer,un_dia_por_semana,2,0.0,1.13341560346935,0.0,,,
2023,1,rural,20,hombre,a_veces,3,2.189250790679216,2.189250790679216,100.0,0.0,9.084115076035017,0.34390506958732225
2023,1,rural,20,hombre,diariamente,3,0.0,2.189250790679216,0.0,,,
2023,1,rural,20,hombre,un_dia_por_semana,3,0.0,2.189250790679216,0.0,,,
2023,1,rural,20,mujer,a_veces,2,1.107511106821614,1.107511106821614,100.0,0.0,10.166262668905082,0.1381471475294612
2023,1,rural,20,mujer,diariamente,2,0.0,1.107511106821614,0.0,,,
2023,1,rural,20,mujer,un_dia_por_semana,2,0.0,1.107511106821614,0.0,,,
2023,1,rural,21,mujer,a_veces,2,0.4084582041663271,0.4084582041663271,100.0,0.0,12.702465231582716,0.19702385933274386
2023,1,rural,21,mujer,diariamente,2,0.0,0.4084582041663271,0.0,,,
2023,1,rural,21,mujer,un_dia_por_semana,2,0.0,0.4084582041663271,0.0,,,
2023,1,rural,22,hombre,a_veces,3,4.305500536407442,4.305500536407442,100.0,0.0,9.080245328719133,0.14424102601151192
2023,1,rural,22,hombre,diariamente,3,0.0,4.305500536407442,0.0,,,
2023,1,rural,22,hombre,un_dia_por_semana,3,0.0,4.305500536407442,0.0,,,
2023,1,rural,22,mujer,a_veces,3,3.2193337286556574,3.2193337286556574,100.0,0.0,3.860387034799659,0.6793764396447692
2023,1,rural,22,mujer,diariamente,3,0.0,3.2193337286556574,0.0,,,
2023,1,rural,22,mujer,un_dia_por_semana,3,0.0,3.2193337286556574,0.0,,,
2023,1,rural,23,hombre,a_veces,2,3.0236291332608984,3.0236291332608984,100.0,0.0,17.332524275762648,0.16486845148701343
2023,1,rural,23,hombre,diariamente,2,0.0,3.0236291332608984,0.0,,,
2023,1,rural,23,hombre,un_dia_por_semana,2,0.0,3.0236291332608984,0.0,,,
2023,1,rural,23,mujer,a_veces,7,4.8564349340050565,4.8564349340050565,100.0,0.0,6.21620583508971,0.3161998532443742
2023,1,rural,23,mujer,diariamente,7,0.0,4.8564349340050565,0.0,,,
2023,1,rural,23,mujer,un_dia_por_semana,7,0.0,4.8564349340050565,0.0,,,
2023,1,rural,24,hombre,a_veces,5,3.750839244307265,3.750839244307265,100.0,0.0,12.123030698047703,0.19312331918822387
2023,1,rural,24,hombre,diariamente,5,0.0,3.750839244307265,0.0,,,
2023,1,rural,24,hombre,un_dia_por_semana,5,0.0,3.750839244307265,0.0,,,
2023,1,rural,24,mujer,a_veces,6,6.5908821516259515,6.5908821516259515,100.0,0.0,7.199241824079206,0.10387094897159001
2023,1,rural,24,mujer,diariamente,6,0.0,6.5908821516259515,0.0,,,
2023,1,rural,24,mujer,un_dia_por_semana,6,0.0,6.5908821516259515,0.0,,,
2023,1,rural,25,hombre,a_veces,3,1.1936049485076734,1.1936049485076734,100.0,0.0,4.249263073374545,0.05660394298474753
2023,1,rural,25,hombre,diariamente,3,0.0,1.1936049485076734,0.0,,,
2023,1,rural,25,hombre,un_dia_por_semana,3,0.0,1.1936049485076734,0.0,,,
2023,1,rural,25,mujer,a_veces,5,6.739900165700707,6.739900165700707,100.0,0.0,7.03824537393776,0.3178328373106653
2023,1,rural,25,mujer,diariamente,5,0.0,6.739900165700707,0.0,,,
2023,1,rural,25,mujer,un_dia_por_semana,5,0.0,6.739900165700707,0.0,,,
2023,1,rural,26,hombre,a_veces,6,3.4343485903583515,3.4343485903583515,100.0,0.0,9.553375883072189,0.1730851244463778
2023,1,rural,26,hombre,diariamente,6,0.0,3.4343485903583515,0.0,,,
2023,1,rural,26,hombre,un_dia_por_semana,6,0.0,3.4343485903583515,0.0,,,
2023,1,rural,26,mujer,a_veces,4,3.859344031600365,3.859344031600365,100.0,0.0,6.9778233540643795,0.20263190098248465
2023,1,rural,26,mujer,diariamente,4,0.0,3.859344031600365,0.0,,,
2023,1,rural,26,mujer,un_dia_por_semana,4,0.0,3.859344031600365,0.0,,,
2023,1,rural,27,hombre,a_veces,1,0.3278809886621383,0.3278809886621383,100.0,0.0,10.0,0.0
2023,1,rural,27,hombre,diariamente,1,0.0,0.3278809886621383,0.0,,,
2023,1,rural,27,hombre,un_dia_por_semana,1,0.0,0.3278809886621383,0.0,,,
2023,1,rural,27,mujer,a_veces,7,5.776256971944532,5.776256971944532,100.0,0.0,7.430452678557578,0.19886888453724916
2023,1,rural,27,mujer,diariamente,7,0.0,5.776256971944532,0.0,,,
2023,1,rural,27,mujer,un_dia_por_semana,7,0.0,5.776256971944532,0.0,,,
2023,1,rural,28,hombre,a_veces,5,4.231925274579297,4.231925274579297,100.0,0.0,10.528856400700478,0.17850232864896468
2023,1,rural,28,hombre,diariamente,5,0.0,4.231925274579297,0.0,,,
2023,1,rural,28,hombre,un_dia_por_semana,5,0.0,4.231925274579297,0.0,,,
2023,1,rural,28,mujer,a_veces,5,4.397457195901302,4.397457195901302,100.0,0.0,8.469782188871989,0.34142618621293963
2023,1,rural,28,mujer,diariamente,5,0.0,4.397457195901302,0.0,,,
2023,1,rural,28,mujer,un_dia_por_semana,5,0.0,4.397457195901302,0.0,,,
2023,1,urbana,16,mujer,a_veces,5,1.8903022494484314,1.8903022494484314,100.0,0.0,8.489507158681336,0.3047979476104221
2023,1,urbana,16,mujer,diariamente,5,0.0,1.8903022494484314,0.0,,,
2023,1,urbana,16,mujer,un_dia_por_semana,5,0.0,1.8903022494484314,0.0,,,
2023,1,urbana,17,hombre,a_veces,4,1.961169073521667,1.961169073521667,100.0,0.0,8.62676932496057,0.3631556127499542
2023,1,urbana,17,hombre,diariamente,4,0.0,1.961169073521667,0.0,,,
2023,1,urbana,17,hombre,un_dia_por_semana,4,0.0,1.961169073521667,0.0,,,
2023,1,urbana,17,mujer,a_veces,8,4.84042448393838,4.84042448393838,100.0,0.0,2.049778883463925,0.18954448335781598
2023,1,urbana,17,mujer,diariamente,8,0.0,4.84042448393838,0.0,,,
2023,1,urbana,17,mujer,un_dia_por_semana,8,0.0,4.84042448393838,0.0,,,
2023,1,urbana,18,hombre,a_veces,3,1.4949584717409534,1.4949584717409534,100.0,0.0,5.438979863737562,0.05703849208528656
2023,1,urbana,18,hombre,diariamente,3,0.0,1.4949584717409534,0.0,,,
2023,1,urbana,18,hombre,un_dia_por_semana,3,0.0,1.4949584717409534,0.0,,,
2023,1,urbana,18,mujer,a_veces,12,6.575364907304005,6.575364907304005,100.0,0.0,6.528233789329963,0.18748629902835817
2023,1,urbana,18,mujer,diariamente,12,0.0,6.575364907304005,0.0,,,
2023,1,urbana,18,mujer,un_dia_por_semana,12,0.0,6.575364907304005,0.0,,,
2023,1,urbana,19,hombre,a_veces,6,3.5003240857979376,3.5003240857979376,100.0,0.0,6.381879458813659,0.15130993455996491
2023,1,urbana,19,hombre,diariamente,6,0.0,3.5003240857979376,0.0,,,
2023,1,urbana,19,hombre,un_dia_por_semana,6,0.0,3.5003240857979376,0.0,,,
2023,1,urbana,19,mujer,a_veces,11,5.38166177235408,6.132158583938329,87.76129479837671,0.13004881090514822,8.50508517253427,0.20336180596329617
2023,1,urbana,19,mujer,diariamente,11,0.0,6.132158583938329,0.0,,,
2023,1,urbana,19,mujer,un_dia_por_semana,11,0.7504968115842492,6.132158583938329,12.238705201623286,0.9325538808232148,12.0,0.0
2023,1,urbana,20,hombre,a_veces,4,2.371855711399759,2.371855711399759,100.0,0.0,6.680253977493858,0.2086077449744975
2023,1,urbana,20,hombre,diariamente,4,0.0,2.371855711399759,0.0,,,
2023,1,urbana,20,hombre,un_dia_por_semana,4,0.0,2.371855711399759,0.0,,,
2023,1,urbana,20,mujer,a_veces,16,9.895641786667696,9.895641786667696,100.0,0.0,5.515186238848993,0.16149350217105085
2023,1,urbana,20,mujer,diariamente,16,0.0,9.895641786667696,0.0,,,
2023,1,urbana,20,mujer,un_dia_por_semana,16,0.0,9.895641786667696,0.0,,,
2023,1,urbana,21,hombre,a_veces,5,2.70201544056866,2.70201544056866,100.0,0.0,7.568062408963781,0.22099982529312232
2023,1,urbana,21,hombre,diariamente,5,0.0,2.70201544056866,0.0,,,
2023,1,urbana,21,hombre,un_dia_por_semana,5,0.0,2.70201544056866,0.0,,,
2023,1,urbana,21,mujer,a_veces,19,9.819652113471388,10.430341498338095,94.14506816517935,0.06134573468946892,7.587871059073588,0.22803351111246137
2023,1,urbana,21,mujer,diariamente,19,0.0,10.430341498338095,0.0,,,
2023,1,urbana,21,mujer,un_dia_por_semana,19,0.6106893848667041,10.430341498338095,5.854931834820629,0.9864159885919479,6.0,0.0
2023,1,urbana,22,hombre,a_veces,5,3.191603654669951,3.191603654669951,100.0,0.0,8.17799738674981,0.10695398000252646
2023,1,urbana,22,hombre,diariamente,5,0.0,3.191603654669951,0.0,,,
2023,1,urbana,22,hombre,un_dia_por_semana,5,0.0,3.191603654669951,0.0,,,
2023,1,urbana,22,mujer,a_veces,9,4.767317402670787,4.767317402670787,100.0,0.0,8.52018500827908,0.29579091973518307
2023,1,urbana,22,mujer,diariamente,9,0.0,4.767317402670787,0.0,,,
2023,1,urbana,22,mujer,un_dia_por_semana,9,0.0,4.767317402670787,0.0,,,
2023,1,urbana,23,hombre,a_veces,12,7.060154472835303,7.060154472835303,100.0,0.0,14.35385902914479,0.1830180141750741
2023,1,urbana,23,hombre,diariamente,12,0.0,7.060154472835303,0.0,,,
2023,1,urbana,23,hombre,un_dia_por_semana,12,0.0,7.060154472835303,0.0,,,
2023,1,urbana,23,mujer,a_veces,22,13.14799194348113,13.14799194348113,100.0,0.0,5.491068317772783,0.14031195940085706
2023,1,urbana,23,mujer,diariamente,22,0.0,13.14799194348113,0.0,,,
2023,1,urbana,23,mujer,un_dia_por_semana,22,0.0,13.14799194348113,0.0,,,
2023,1,urbana,24,hombre,a_veces,7,3.9626147752449308,3.9626147752449308,100.0,0.0,11.737163217023369,0.2188427113709706
2023,1,urbana,24,hombre,diariamente,7,0.0,3.9626147752449308,0.0,,,
2023,1,urbana,24,hombre,un_dia_por_semana,7,0.0,3.9626147752449308,0.0,,,
2023,1,urbana,24,mujer,a_veces,21,11.808536935631784,12.580879392963203,93.8609819456388,0.06527339210995885,7.946163968763028,0.12646054638388848
2023,1,urbana,24,mujer,diariamente,21,0.0,12.580879392963203,0.0,,,
2023,1,urbana,24,mujer,un_dia_por_semana,21,0.7723424573314197,12.580879392963203,6.139018054361207,0.9979812119970957,18.0,0.0
2023,1,urbana,25,hombre,a_veces,7,3.4555527598467557,4.003904218733695,86.30458100567738,0.15045026434276795,9.445876622457442,0.1629024728593407
2023,1,urbana,25,hombre,diariamente,7,0.0,4.003904218733695,0.0,,,
2023,1,urbana,25,hombre,un_dia_por_semana,7,0.5483514588869386,4.003904218733695,13.695418994322605,0.9480941789133065,20.0,0.0
2023,1,urbana,25,mujer,a_veces,18,8.357346612376391,11.26355798069082,74.19810531186893,0.15731078527271866,5.559723670164562,0.16259424135630157
2023,1,urbana,25,mujer,diariamente,18,0.0,11.26355798069082,0.0,,,
