gestion,codigo_departamento,area,edad,sexo,observaciones,numerador,denominador,valor,cv
2023,1,rural,16,mujer,1,2.011957633944,2.011957633944,100.0,0.0
2023,1,rural,17,hombre,1,2.353757389416869,2.353757389416869,100.0,0.0
2023,1,rural,17,mujer,1,0.6166919950786207,0.6166919950786207,100.0,0.0
2023,1,rural,18,mujer,4,0.6803721467443478,4.336769971679026,15.688453646088465,1.0594512407325019
2023,1,rural,19,mujer,2,0.25785893800651133,0.8490116369363594,30.371661210320966,0.9846934104187275
2023,1,rural,20,hombre,1,0.0,0.4822786691968109,0.0,
2023,1,rural,20,mujer,2,0.0,1.2197323834903908,0.0,
2023,1,rural,21,mujer,3,0.6803721467443478,1.266811732393934,53.707439657085196,0.5611731100423041
2023,1,rural,22,hombre,1,0.0,2.353757389416869,0.0,
2023,1,rural,22,mujer,5,4.711369269386138,7.692345996523171,61.24749551717523,0.4682759784465343
2023,1,rural,23,hombre,1,0.0,0.4822786691968109,0.0,
2023,1,rural,23,mujer,9,0.4576717081500852,4.158622766256727,11.005367254362582,0.9688364541067929
2023,1,rural,24,hombre,3,0.0,2.368394566843631,0.0,
2023,1,rural,24,mujer,4,0.2718260740350014,1.7877238390846677,15.20514903320745,1.1008557286985838
2023,1,rural,25,hombre,1,0.2975216378600884,0.2975216378600884,100.0,0.0
2023,1,rural,25,mujer,5,1.6974119348358285,2.8354557897302612,59.863812406586824,0.36786041533095915
2023,1,rural,26,hombre,4,0.5280687078902003,2.390887457932962,22.086723745112675,0.9702045215540576
2023,1,rural,26,mujer,7,0.6166919950786207,6.281518533791145,9.817562294231148,1.0289021757307046
2023,1,rural,27,hombre,2,1.2713502241293326,1.2713502241293326,100.0,0.0
2023,1,rural,27,mujer,11,2.1040024738332104,8.757506397795101,24.02513202117603,0.5985415486603223
2023,1,rural,28,hombre,5,3.934403636719208,4.231925274579297,92.96959141393002,0.0832890301199598
2023,1,rural,28,mujer,8,0.9411677092946223,5.54850723150612,16.962539112328887,0.7194926924801326
2023,1,urbana,17,mujer,3,0.0,1.4552447560153565,0.0,
2023,1,urbana,18,mujer,2,0.4787133560448086,0.7793325270715525,61.42607159534824,0.5455177270386729
2023,1,urbana,19,mujer,2,0.9377603374274548,0.9377603374274548,100.0,0.0
2023,1,urbana,20,hombre,1,0.0,0.28295983814898584,0.0,
2023,1,urbana,20,mujer,3,0.6695608809232028,1.4772539711310029,45.32469663361806,0.6886531531154624
2023,1,urbana,21,hombre,2,1.1055871826449115,1.1055871826449115,100.0,0.0
2023,1,urbana,21,mujer,3,0.9188967594935926,1.7307601794720953,53.0920904231728,0.5750176804985766
2023,1,urbana,22,hombre,2,1.1637277296012563,1.1637277296012563,100.0,0.0
2023,1,urbana,22,mujer,7,1.7397013320748347,4.021492643164512,43.260089883090366,0.4714287642268605
2023,1,urbana,23,hombre,7,1.7234595835882782,4.224088058493525,40.80074940963544,0.3873001733611384
2023,1,urbana,23,mujer,15,3.982044364321397,8.985202134110544,44.31780504084992,0.23902242114569397
2023,1,urbana,24,hombre,1,0.534361921213566,0.534361921213566,100.0,0.0
2023,1,urbana,24,mujer,12,4.748395807562637,6.047714136250297,78.51554654510731,0.15397443650265952
2023,1,urbana,25,hombre,3,0.7213885936383141,1.84564249123566,39.086041693553746,0.7512956514985364
2023,1,urbana,25,mujer,15,0.9057380180907657,8.989331793097346,10.075699050136922,0.7406022142896403
2023,1,urbana,26,hombre,4,1.1398919645906966,2.136475709873748,53.353846211434664,0.4744947792874903
2023,1,urbana,26,mujer,11,4.119981708122179,6.761933282372717,60.92904996360012,0.2615108164226189
2023,1,urbana,27,hombre,3,0.44636080941154044,1.4881038880900481,29.99527203604284,0.9006525598369753
2023,1,urbana,27,mujer,19,5.9574933462886435,10.639579784935782,55.99369022753752,0.2230052575984027
2023,1,urbana,28,hombre,3,0.7213885936383141,1.7072185865027318,42.25519797767031,0.7301163061528432
2023,1,urbana,28,mujer,10,2.3767842851106478,6.435857147347905,36.93034557316232,0.45527622437454385
2023,2,rural,16,mujer,1,0.0,2.4646653361827022,0.0,
2023,2,rural,17,mujer,1,0.0,2.447256519184221,0.0,
2023,2,rural,18,hombre,1,0.0,1.6306666506623495,0.0,
2023,2,rural,18,mujer,4,0.0,6.839018847415913,0.0,
2023,2,rural,19,hombre,1,0.0,2.909620886475956,0.0,
2023,2,rural,19,mujer,3,1.8543874535166405,4.717612956611906,39.30774886730903,0.764886441242111
2023,2,rural,20,hombre,1,0.8971206836017523,0.8971206836017523,100.0,0.0
2023,2,rural,20,mujer,6,1.227650553091004,9.232547213540395,13.296986462095091,1.0226506471649002
2023,2,rural,21,hombre,1,1.6894572889215236,1.6894572889215236,100.0,0.0
2023,2,rural,21,mujer,9,9.197538048106251,15.433730222459436,59.59374639529354,0.32629641082902006
2023,2,rural,22,hombre,2,0.0,2.8741903685209222,0.0,
2023,2,rural,22,mujer,7,1.961794054407287,13.072072396448887,15.007521339464287,0.748449223705242
2023,2,rural,23,hombre,5,0.0,10.424010797948513,0.0,
2023,2,rural,23,mujer,9,3.6570880345286296,17.926055614886124,20.400963341270216,0.7167799186078777
2023,2,rural,24,hombre,2,4.498419427774501,4.498419427774501,100.0,0.0
2023,2,rural,24,mujer,13,5.565574246075241,24.10161081313409,23.09212562275008,0.4991231336660264
2023,2,rural,25,hombre,2,0.0,3.904691692669897,0.0,
2023,2,rural,25,mujer,16,9.462361176623688,30.926343082155242,30.596443787379275,0.47455279371963693
