gestion,codigo_municipio,area,edad,sexo,numerador,denominador,valor
2024,10101,rural,16,hombre,72,182,39.56043956043956
2024,10101,rural,16,mujer,61,159,38.36477987421384
2024,10101,rural,17,hombre,71,163,43.558282208588956
2024,10101,rural,17,mujer,72,154,46.753246753246756
2024,10101,rural,18,hombre,63,154,40.90909090909091
2024,10101,rural,18,mujer,63,149,42.281879194630875
2024,10101,rural,19,hombre,51,144,35.416666666666664
2024,10101,rural,19,mujer,47,123,38.21138211382114
2024,10101,rural,20,hombre,70,142,49.29577464788732
2024,10101,rural,20,mujer,56,114,49.12280701754386
2024,10101,rural,21,hombre,54,119,45.378151260504204
2024,10101,rural,21,mujer,59,139,42.44604316546763
2024,10101,rural,22,hombre,62,143,43.35664335664335
2024,10101,rural,22,mujer,75,129,58.13953488372093
2024,10101,rural,23,hombre,60,166,36.144578313253014
2024,10101,rural,23,mujer,66,150,44.0
2024,10101,rural,24,hombre,77,165,46.666666666666664
2024,10101,rural,24,mujer,68,164,41.46341463414634
2024,10101,rural,25,hombre,69,179,38.547486033519554
2024,10101,rural,25,mujer,54,142,38.028169014084504
2024,10101,rural,26,hombre,56,148,37.83783783783784
2024,10101,rural,26,mujer,65,141,46.09929078014184
2024,10101,rural,27,hombre,64,155,41.29032258064516
2024,10101,rural,27,mujer,63,152,41.44736842105263
2024,10101,rural,28,hombre,58,135,42.96296296296296
2024,10101,rural,28,mujer,56,120,46.666666666666664
2024,10101,urbana,16,hombre,2198,2485,88.45070422535211
2024,10101,urbana,16,mujer,2255,2553,88.32745789267528
2024,10101,urbana,17,hombre,2369,2644,89.59909228441755
2024,10101,urbana,17,mujer,2381,2689,88.5459278542209
2024,10101,urbana,18,hombre,2389,2677,89.24168845722824
2024,10101,urbana,18,mujer,2655,2961,89.66565349544074
2024,10101,urbana,19,hombre,2439,2684,90.87183308494784
2024,10101,urbana,19,mujer,2669,2959,90.19939168638054
2024,10101,urbana,20,hombre,2513,2776,90.52593659942363
2024,10101,urbana,20,mujer,2648,2903,91.21598346538065
2024,10101,urbana,21,hombre,2499,2785,89.73070017953322
2024,10101,urbana,21,mujer,2731,3021,90.40052962595168
2024,10101,urbana,22,hombre,2507,2784,90.05028735632185
2024,10101,urbana,22,mujer,2702,2976,90.79301075268818
2024,10101,urbana,23,hombre,2638,2942,89.66689326988443
2024,10101,urbana,23,mujer,2876,3195,90.01564945226917
