gestion,codigo_municipio,area,edad,sexo,numerador,denominador,valor
2024,10101,rural,16,hombre,74,175,42.285714285714285
2024,10101,rural,16,mujer,33,151,21.85430463576159
2024,10101,rural,17,hombre,75,161,46.58385093167702
2024,10101,rural,17,mujer,51,147,34.69387755102041
2024,10101,rural,18,hombre,91,150,60.666666666666664
2024,10101,rural,18,mujer,59,145,40.689655172413794
2024,10101,rural,19,hombre,104,141,73.75886524822695
2024,10101,rural,19,mujer,67,117,57.26495726495727
2024,10101,rural,20,hombre,100,135,74.07407407407408
2024,10101,rural,20,mujer,60,109,55.04587155963303
2024,10101,rural,21,hombre,98,118,83.05084745762711
2024,10101,rural,21,mujer,92,137,67.15328467153284
2024,10101,rural,22,hombre,113,139,81.29496402877697
2024,10101,rural,22,mujer,70,127,55.118110236220474
2024,10101,rural,23,hombre,136,165,82.42424242424242
2024,10101,rural,23,mujer,91,142,64.08450704225352
2024,10101,rural,24,hombre,130,161,80.74534161490683
2024,10101,rural,24,mujer,100,154,64.93506493506493
2024,10101,rural,25,hombre,145,178,81.46067415730337
2024,10101,rural,25,mujer,77,137,56.2043795620438
2024,10101,rural,26,hombre,133,143,93.00699300699301
2024,10101,rural,26,mujer,94,139,67.62589928057554
2024,10101,rural,27,hombre,141,151,93.37748344370861
2024,10101,rural,27,mujer,90,147,61.224489795918366
2024,10101,rural,28,hombre,125,136,91.91176470588235
2024,10101,rural,28,mujer,80,117,68.37606837606837
2024,10101,urbana,16,hombre,666,2522,26.40761300555115
2024,10101,urbana,16,mujer,536,2531,21.17740023706045
2024,10101,urbana,17,hombre,852,2707,31.4739564093092
2024,10101,urbana,17,mujer,678,2666,25.431357839459864
2024,10101,urbana,18,hombre,1122,2889,38.836967808930424
2024,10101,urbana,18,mujer,993,2968,33.45687331536388
2024,10101,urbana,19,hombre,1249,2815,44.36944937833037
2024,10101,urbana,19,mujer,1011,2978,33.94895903290799
2024,10101,urbana,20,hombre,1367,2820,48.47517730496454
2024,10101,urbana,20,mujer,1108,2891,38.32583881010031
2024,10101,urbana,21,hombre,1463,2845,51.423550087873465
2024,10101,urbana,21,mujer,1228,2995,41.0016694490818
2024,10101,urbana,22,hombre,1655,2828,58.52192362093352
2024,10101,urbana,22,mujer,1375,2949,46.62597490674805
2024,10101,urbana,23,hombre,1853,2968,62.432614555256066
2024,10101,urbana,23,mujer,1653,3166,52.21099178774479
2024,10101,urbana,24,hombre,2066,3075,67.1869918699187
2024,10101,urbana,24,mujer,1794,3103,57.81501772478247
2024,10101,urbana,25,hombre,2057,2774,74.15284787310743
2024,10101,urbana,25,mujer,1786,2852,62.62272089761571
2024,10101,urbana,26,hombre,2130,2733,77.93633369923161
2024,10101,urbana,26,mujer,1852,2810,65.90747330960853
2024,10101,urbana,27,hombre,2026,2519,80.42874156411274
2024,10101,urbana,27,mujer,1833,2701,67.86375416512402
2024,10101,urbana,28,hombre,2192,2616,83.79204892966361
2024,10101,urbana,28,mujer,1863,2608,71.4340490797546
2024,10102,rural,16,hombre,37,89,41.57303370786517
2024,10102,rural,16,mujer,23,84,27.38095238095238
2024,10102,rural,17,hombre,36,76,47.36842105263158
2024,10102,rural,17,mujer,24,73,32.87671232876713
2024,10102,rural,18,hombre,40,72,55.55555555555556
2024,10102,rural,18,mujer,30,66,45.45454545454545
2024,10102,rural,19,hombre,39,57,68.42105263157895
2024,10102,rural,19,mujer,35,68,51.470588235294116
2024,10102,rural,20,hombre,58,81,71.60493827160494
2024,10102,rural,20,mujer,42,64,65.625
2024,10102,rural,21,hombre,60,72,83.33333333333333
2024,10102,rural,21,mujer,36,65,55.38461538461539
2024,10102,rural,22,hombre,52,62,83.87096774193549
2024,10102,rural,22,mujer,35,61,57.377049180327866
2024,10102,rural,23,hombre,61,73,83.56164383561644
2024,10102,rural,23,mujer,44,70,62.857142857142854
2024,10102,rural,24,hombre,56,66,84.84848484848484
2024,10102,rural,24,mujer,55,78,70.51282051282051
2024,10102,rural,25,hombre,58,65,89.23076923076923
2024,10102,rural,25,mujer,45,70,64.28571428571429
2024,10102,rural,26,hombre,62,71,87.32394366197182
2024,10102,rural,26,mujer,60,80,75.0
2024,10102,rural,27,hombre,66,74,89.1891891891892
2024,10102,rural,27,mujer,45,66,68.18181818181819
2024,10102,rural,28,hombre,66,71,92.95774647887323
2024,10102,rural,28,mujer,54,72,75.0
2024,10103,rural,16,hombre,61,147,41.49659863945578
2024,10103,rural,16,mujer,34,136,25.0
2024,10103,rural,17,hombre,67,127,52.75590551181102
2024,10103,rural,17,mujer,48,117,41.02564102564103
2024,10103,rural,18,hombre,80,127,62.99212598425197
2024,10103,rural,18,mujer,51,117,43.58974358974359
2024,10103,rural,19,hombre,62,92,67.3913043478261
2024,10103,rural,19,mujer,49,100,49.0
2024,10103,rural,20,hombre,83,109,76.14678899082568
2024,10103,rural,20,mujer,44,86,51.16279069767442
2024,10103,rural,21,hombre,71,97,73.19587628865979
2024,10103,rural,21,mujer,53,99,53.535353535353536
2024,10103,rural,22,hombre,63,83,75.90361445783132
2024,10103,rural,22,mujer,36,72,50.0
2024,10103,rural,23,hombre,73,93,78.49462365591398
2024,10103,rural,23,mujer,42,95,44.21052631578947
2024,10103,rural,24,hombre,64,81,79.01234567901234
2024,10103,rural,24,mujer,44,89,49.438202247191015
2024,10103,rural,25,hombre,68,84,80.95238095238095
2024,10103,rural,25,mujer,40,75,53.333333333333336
2024,10103,rural,26,hombre,67,81,82.71604938271605
2024,10103,rural,26,mujer,39,72,54.166666666666664
