gestion,codigo_departamento,area,edad,sexo,lugar_trabajo,observaciones,numerador,denominador,valor,cv
2025,1,urbana,17,mujer,predio_agropecuario_o_natural,11,0.0,1247.4699125781058,0.0,
2025,1,urbana,17,mujer,puesto_movil,11,212.41726864571666,1247.4699125781058,17.02784704496165,0.640729948799157
2025,1,urbana,17,mujer,quiosco_o_puesto_fijo,11,217.89475421520237,1247.4699125781058,17.466934634510448,0.6870705065995328
2025,1,urbana,17,mujer,vehiculo,11,0.0,1247.4699125781058,0.0,
2025,1,urbana,17,mujer,vivienda_particular,11,197.19595281043652,1247.4699125781058,15.807672058630898,0.6888197361196252
2025,1,urbana,18,hombre,ambulante,12,0.0,2001.177419309842,0.0,
2025,1,urbana,18,hombre,ambulante_de_preventa,12,0.0,2001.177419309842,0.0,
2025,1,urbana,18,hombre,domicilio_del_cliente,12,195.6718772090323,2001.177419309842,9.777837553079866,0.9591803972032423
2025,1,urbana,18,hombre,local_de_empresa_o_cliente,12,1095.353830766931,2001.177419309842,54.735468239727204,0.27277494889106774
2025,1,urbana,18,hombre,local_o_terreno_propio,12,333.18400953741815,2001.177419309842,16.649398815039866,0.6690668104212636
2025,1,urbana,18,hombre,otro_lugar,12,0.0,2001.177419309842,0.0,
2025,1,urbana,18,hombre,predio_agropecuario_o_natural,12,294.1323882659612,2001.177419309842,14.69796657846561,0.8959006951207762
2025,1,urbana,18,hombre,puesto_movil,12,0.0,2001.177419309842,0.0,
2025,1,urbana,18,hombre,quiosco_o_puesto_fijo,12,0.0,2001.177419309842,0.0,
2025,1,urbana,18,hombre,vehiculo,12,82.83531353049973,2001.177419309842,4.139328813687476,0.975276293273108
2025,1,urbana,18,hombre,vivienda_particular,12,0.0,2001.177419309842,0.0,
2025,1,urbana,18,mujer,ambulante,13,0.0,1789.257921451643,0.0,
2025,1,urbana,18,mujer,ambulante_de_preventa,13,0.0,1789.257921451643,0.0,
2025,1,urbana,18,mujer,domicilio_del_cliente,13,81.33886344525985,1789.257921451643,4.545955195731022,1.0021521261436772
2025,1,urbana,18,mujer,local_de_empresa_o_cliente,13,804.7604617313877,1789.257921451643,44.977331221117495,0.3287766371406506
2025,1,urbana,18,mujer,local_o_terreno_propio,13,350.16565529468437,1789.257921451643,19.570440409764483,0.5594685196852927
2025,1,urbana,18,mujer,otro_lugar,13,0.0,1789.257921451643,0.0,
2025,1,urbana,18,mujer,predio_agropecuario_o_natural,13,98.6520009709102,1789.257921451643,5.513570726062391,1.000562148029343
2025,1,urbana,18,mujer,puesto_movil,13,97.47408701435526,1789.257921451643,5.447738184960699,0.9883696850889094
