gestion,codigo_municipio,area,edad,sexo,numerador,denominador,valor
2024,10101,rural,16,hombre,119,164,72.5609756097561
2024,10101,rural,16,mujer,120,149,80.53691275167785
2024,10101,rural,17,hombre,114,155,73.54838709677419
2024,10101,rural,17,mujer,109,147,74.14965986394557
2024,10101,rural,18,hombre,107,141,75.88652482269504
2024,10101,rural,18,mujer,106,144,73.61111111111111
2024,10101,rural,19,hombre,95,134,70.8955223880597
2024,10101,rural,19,mujer,94,119,78.99159663865547
2024,10101,rural,20,hombre,92,132,69.6969696969697
2024,10101,rural,20,mujer,76,105,72.38095238095238
2024,10101,rural,21,hombre,86,111,77.47747747747748
2024,10101,rural,21,mujer,89,126,70.63492063492063
2024,10101,rural,22,hombre,97,137,70.8029197080292
2024,10101,rural,22,mujer,95,123,77.23577235772358
2024,10101,rural,23,hombre,112,156,71.7948717948718
2024,10101,rural,23,mujer,102,142,71.83098591549296
2024,10101,rural,24,hombre,110,154,71.42857142857143
2024,10101,rural,24,mujer,120,153,78.43137254901961
2024,10101,rural,25,hombre,117,168,69.64285714285714
2024,10101,rural,25,mujer,95,129,73.64341085271317
2024,10101,rural,26,hombre,109,138,78.98550724637681
2024,10101,rural,26,mujer,102,129,79.06976744186046
2024,10101,rural,27,hombre,108,148,72.97297297297297
2024,10101,rural,27,mujer,106,145,73.10344827586206
2024,10101,rural,28,hombre,84,125,67.2
2024,10101,rural,28,mujer,82,112,73.21428571428571
2024,10101,urbana,16,hombre,2287,2442,93.65274365274365
2024,10101,urbana,16,mujer,2345,2490,94.17670682730923
2024,10101,urbana,17,hombre,2437,2585,94.27466150870406
2024,10101,urbana,17,mujer,2476,2626,94.28789032749428
2024,10101,urbana,18,hombre,2483,2615,94.95219885277247
2024,10101,urbana,18,mujer,2746,2881,95.3141270392225
2024,10101,urbana,19,hombre,2495,2620,95.22900763358778
2024,10101,urbana,19,mujer,2748,2888,95.15235457063712
2024,10101,urbana,20,hombre,2581,2712,95.16961651917404
2024,10101,urbana,20,mujer,2707,2839,95.35047551954914
2024,10101,urbana,21,hombre,2586,2726,94.86426999266324
2024,10101,urbana,21,mujer,2812,2954,95.1929587000677
2024,10101,urbana,22,hombre,2583,2715,95.13812154696133
2024,10101,urbana,22,mujer,2763,2892,95.53941908713693
2024,10101,urbana,23,hombre,2717,2859,95.033228401539
2024,10101,urbana,23,mujer,2959,3118,94.90057729313662
2024,10101,urbana,24,hombre,2781,2931,94.88229273285567
2024,10101,urbana,24,mujer,2878,3036,94.7957839262187
2024,10101,urbana,25,hombre,2523,2670,94.49438202247191
2024,10101,urbana,25,mujer,2664,2821,94.43459766040411
2024,10101,urbana,26,hombre,2468,2601,94.88658208381392
2024,10101,urbana,26,mujer,2612,2749,95.01636958894143
2024,10101,urbana,27,hombre,2300,2415,95.23809523809524
2024,10101,urbana,27,mujer,2506,2656,94.35240963855422
2024,10101,urbana,28,hombre,2369,2482,95.44721998388397
2024,10101,urbana,28,mujer,2445,2569,95.17321915142078
2024,10102,rural,16,hombre,73,81,90.12345679012346
2024,10102,rural,16,mujer,59,68,86.76470588235294
2024,10102,rural,17,hombre,60,65,92.3076923076923
2024,10102,rural,17,mujer,56,65,86.15384615384616
2024,10102,rural,18,hombre,60,69,86.95652173913044
2024,10102,rural,18,mujer,62,63,98.41269841269842
2024,10102,rural,19,hombre,48,54,88.88888888888889
2024,10102,rural,19,mujer,69,71,97.1830985915493
2024,10102,rural,20,hombre,73,79,92.40506329113924
2024,10102,rural,20,mujer,53,60,88.33333333333333
2024,10102,rural,21,hombre,61,68,89.70588235294117
2024,10102,rural,21,mujer,57,67,85.07462686567165
2024,10102,rural,22,hombre,51,61,83.60655737704919
2024,10102,rural,22,mujer,56,63,88.88888888888889
2024,10102,rural,23,hombre,58,66,87.87878787878788
2024,10102,rural,23,mujer,60,68,88.23529411764706
2024,10102,rural,24,hombre,64,69,92.7536231884058
2024,10102,rural,24,mujer,64,75,85.33333333333333
2024,10102,rural,25,hombre,50,61,81.9672131147541
2024,10102,rural,25,mujer,52,65,80.0
2024,10102,rural,26,hombre,65,70,92.85714285714286
2024,10102,rural,26,mujer,68,77,88.31168831168831
2024,10102,rural,27,hombre,52,66,78.78787878787878
2024,10102,rural,27,mujer,62,66,93.93939393939394
2024,10102,rural,28,hombre,58,67,86.56716417910448
2024,10102,rural,28,mujer,63,73,86.3013698630137
2024,10103,rural,16,hombre,73,145,50.3448275862069
2024,10103,rural,16,mujer,67,133,50.37593984962406
2024,10103,rural,17,hombre,69,126,54.76190476190476
2024,10103,rural,17,mujer,60,115,52.17391304347826
2024,10103,rural,18,hombre,62,124,50.0
2024,10103,rural,18,mujer,50,116,43.10344827586207
2024,10103,rural,19,hombre,41,94,43.61702127659574
2024,10103,rural,19,mujer,46,100,46.0
2024,10103,rural,20,hombre,46,104,44.23076923076923
2024,10103,rural,20,mujer,40,86,46.51162790697674
2024,10103,rural,21,hombre,53,96,55.208333333333336
2024,10103,rural,21,mujer,48,96,50.0
2024,10103,rural,22,hombre,39,81,48.148148148148145
2024,10103,rural,22,mujer,36,75,48.0
2024,10103,rural,23,hombre,45,95,47.36842105263158
2024,10103,rural,23,mujer,45,96,46.875
2024,10103,rural,24,hombre,41,83,49.397590361445786
2024,10103,rural,24,mujer,47,93,50.53763440860215
2024,10103,rural,25,hombre,50,83,60.24096385542169
2024,10103,rural,25,mujer,32,68,47.05882352941177
2024,10103,rural,26,hombre,35,82,42.68292682926829
2024,10103,rural,26,mujer,34,64,53.125
2024,10103,rural,27,hombre,49,87,56.32183908045977
2024,10103,rural,27,mujer,36,62,58.064516129032256
2024,10103,rural,28,hombre,36,78,46.15384615384615
2024,10103,rural,28,mujer,42,86,48.83720930232558
2024,10201,rural,16,hombre,47,79,59.49367088607595
2024,10201,rural,16,mujer,38,68,55.88235294117647
2024,10201,rural,17,hombre,42,69,60.869565217391305
2024,10201,rural,17,mujer,39,72,54.166666666666664
2024,10201,rural,18,hombre,31,53,58.490566037735846
2024,10201,rural,18,mujer,32,55,58.18181818181818
2024,10201,rural,19,hombre,24,45,53.333333333333336
2024,10201,rural,19,mujer,29,53,54.716981132075475
2024,10201,rural,20,hombre,16,39,41.02564102564103
2024,10201,rural,20,mujer,23,39,58.97435897435897
2024,10201,rural,21,hombre,29,53,54.716981132075475
2024,10201,rural,21,mujer,21,42,50.0
2024,10201,rural,22,hombre,24,37,64.86486486486487
2024,10201,rural,22,mujer,19,34,55.88235294117647
2024,10201,rural,23,hombre,35,66,53.03030303030303
2024,10201,rural,23,mujer,23,50,46.0
2024,10201,rural,24,hombre,26,45,57.77777777777778
2024,10201,rural,24,mujer,16,34,47.05882352941177
2024,10201,rural,25,hombre,33,49,67.34693877551021
2024,10201,rural,25,mujer,29,52,55.76923076923077
2024,10201,rural,26,hombre,21,41,51.21951219512195
2024,10201,rural,26,mujer,27,45,60.0
2024,10201,rural,27,hombre,25,42,59.523809523809526
2024,10201,rural,27,mujer,31,46,67.3913043478261
2024,10201,rural,28,hombre,22,30,73.33333333333333
2024,10201,rural,28,mujer,24,49,48.97959183673469
2024,10202,rural,16,hombre,93,154,60.38961038961039
2024,10202,rural,16,mujer,97,154,62.98701298701299
2024,10202,rural,17,hombre,120,159,75.47169811320755
2024,10202,rural,17,mujer,78,141,55.319148936170215
2024,10202,rural,18,hombre,77,138,55.79710144927536
2024,10202,rural,18,mujer,103,193,53.36787564766839
2024,10202,rural,19,hombre,83,144,57.638888888888886
2024,10202,rural,19,mujer,105,164,64.02439024390245
2024,10202,rural,20,hombre,82,128,64.0625
2024,10202,rural,20,mujer,90,157,57.32484076433121
2024,10202,rural,21,hombre,66,110,60.0
2024,10202,rural,21,mujer,62,114,54.3859649122807
2024,10202,rural,22,hombre,58,108,53.7037037037037
2024,10202,rural,22,mujer,88,135,65.18518518518519
2024,10202,rural,23,hombre,82,124,66.12903225806451
2024,10202,rural,23,mujer,88,154,57.142857142857146
2024,10202,rural,24,hombre,64,107,59.81308411214953
2024,10202,rural,24,mujer,100,148,67.56756756756756
2024,10202,rural,25,hombre,96,155,61.935483870967744
2024,10202,rural,25,mujer,80,129,62.01550387596899
2024,10202,rural,26,hombre,74,99,74.74747474747475
2024,10202,rural,26,mujer,88,122,72.1311475409836
2024,10202,rural,27,hombre,76,109,69.72477064220183
2024,10202,rural,27,mujer,66,105,62.857142857142854
2024,10202,rural,28,hombre,73,112,65.17857142857143
2024,10202,rural,28,mujer,70,112,62.5
