gestion,codigo_departamento,area,edad,sexo,duracion_busqueda,observaciones,numerador,denominador,valor,cv
2025,1,rural,19,hombre,hasta_1_mes,1,1246.6607953838932,1246.6607953838932,100.0,0.0
2025,1,rural,19,hombre,mas_1_hasta_3_meses,1,0.0,1246.6607953838932,0.0,
2025,1,rural,19,hombre,mas_3_hasta_6_meses,1,0.0,1246.6607953838932,0.0,
2025,1,rural,19,hombre,mas_6_hasta_12_meses,1,0.0,1246.6607953838932,0.0,
2025,1,rural,19,hombre,mas_de_12_meses,1,0.0,1246.6607953838932,0.0,
2025,1,urbana,18,hombre,hasta_1_mes,1,0.0,138.20869833964497,0.0,
2025,1,urbana,18,hombre,mas_1_hasta_3_meses,1,138.20869833964497,138.20869833964497,100.0,0.0
2025,1,urbana,18,hombre,mas_3_hasta_6_meses,1,0.0,138.20869833964497,0.0,
2025,1,urbana,18,hombre,mas_6_hasta_12_meses,1,0.0,138.20869833964497,0.0,
2025,1,urbana,18,hombre,mas_de_12_meses,1,0.0,138.20869833964497,0.0,
2025,1,urbana,19,hombre,hasta_1_mes,2,242.85406425992088,344.5415909790023,70.48613886348524,0.45083167569498095
2025,1,urbana,19,hombre,mas_1_hasta_3_meses,2,0.0,344.5415909790023,0.0,
2025,1,urbana,19,hombre,mas_3_hasta_6_meses,2,101.6875267190814,344.5415909790023,29.51386113651476,1.0766935559569657
2025,1,urbana,19,hombre,mas_6_hasta_12_meses,2,0.0,344.5415909790023,0.0,
2025,1,urbana,19,hombre,mas_de_12_meses,2,0.0,344.5415909790023,0.0,
2025,1,urbana,22,hombre,hasta_1_mes,2,132.6592372871722,201.40873245112755,65.86568301816922,0.5288065648191825
2025,1,urbana,22,hombre,mas_1_hasta_3_meses,2,0.0,201.40873245112755,0.0,
2025,1,urbana,22,hombre,mas_3_hasta_6_meses,2,68.74949516395534,201.40873245112755,34.13431698183078,1.0203867736637842
2025,1,urbana,22,hombre,mas_6_hasta_12_meses,2,0.0,201.40873245112755,0.0,
2025,1,urbana,22,hombre,mas_de_12_meses,2,0.0,201.40873245112755,0.0,
2025,1,urbana,22,mujer,hasta_1_mes,1,52.38761430869024,52.38761430869024,100.0,0.0
2025,1,urbana,22,mujer,mas_1_hasta_3_meses,1,0.0,52.38761430869024,0.0,
2025,1,urbana,22,mujer,mas_3_hasta_6_meses,1,0.0,52.38761430869024,0.0,
2025,1,urbana,22,mujer,mas_6_hasta_12_meses,1,0.0,52.38761430869024,0.0,
2025,1,urbana,22,mujer,mas_de_12_meses,1,0.0,52.38761430869024,0.0,
2025,1,urbana,23,mujer,hasta_1_mes,3,79.79470373385826,295.4175462505117,27.010820699929923,0.8968648166958251
