gestion,codigo_departamento,area,edad,sexo,razon,observaciones,numerador,denominador,valor,cv
2023,1,rural,17,mujer,costo,1,0.0,0.31461351161458484,0.0,
2023,1,rural,17,mujer,desconocimiento,1,0.0,0.31461351161458484,0.0,
2023,1,rural,17,mujer,distancia,1,0.0,0.31461351161458484,0.0,
2023,1,rural,17,mujer,oposicion,1,0.0,0.31461351161458484,0.0,
2023,1,rural,17,mujer,otra_razon,1,0.31461351161458484,0.31461351161458484,100.0,0.0
2023,1,rural,17,mujer,salud_o_efectos,1,0.31461351161458484,0.31461351161458484,100.0,0.0
2023,1,rural,25,mujer,costo,1,0.0,1.9036812774532064,0.0,
2023,1,rural,25,mujer,desconocimiento,1,0.0,1.9036812774532064,0.0,
2023,1,rural,25,mujer,distancia,1,0.0,1.9036812774532064,0.0,
2023,1,rural,25,mujer,oposicion,1,0.0,1.9036812774532064,0.0,
2023,1,rural,25,mujer,otra_razon,1,0.0,1.9036812774532064,0.0,
2023,1,rural,25,mujer,salud_o_efectos,1,1.9036812774532064,1.9036812774532064,100.0,0.0
2023,1,urbana,21,mujer,costo,2,0.0,1.2778772655071857,0.0,
2023,1,urbana,21,mujer,desconocimiento,2,0.0,1.2778772655071857,0.0,
2023,1,urbana,21,mujer,distancia,2,0.0,1.2778772655071857,0.0,
2023,1,urbana,21,mujer,oposicion,2,0.0,1.2778772655071857,0.0,
2023,1,urbana,21,mujer,otra_razon,2,1.2778772655071857,1.2778772655071857,100.0,0.0
2023,1,urbana,21,mujer,salud_o_efectos,2,0.0,1.2778772655071857,0.0,
2023,1,urbana,22,mujer,costo,2,0.0,0.8302974479581506,0.0,
2023,1,urbana,22,mujer,desconocimiento,2,0.0,0.8302974479581506,0.0,
2023,1,urbana,22,mujer,distancia,2,0.0,0.8302974479581506,0.0,
2023,1,urbana,22,mujer,oposicion,2,0.0,0.8302974479581506,0.0,
2023,1,urbana,22,mujer,otra_razon,2,0.8302974479581506,0.8302974479581506,100.0,0.0
2023,1,urbana,22,mujer,salud_o_efectos,2,0.0,0.8302974479581506,0.0,
2023,1,urbana,23,mujer,costo,2,0.0,1.200704709026315,0.0,
2023,1,urbana,23,mujer,desconocimiento,2,0.0,1.200704709026315,0.0,
2023,1,urbana,23,mujer,distancia,2,0.0,1.200704709026315,0.0,
2023,1,urbana,23,mujer,oposicion,2,0.0,1.200704709026315,0.0,
2023,1,urbana,23,mujer,otra_razon,2,1.200704709026315,1.200704709026315,100.0,0.0
2023,1,urbana,23,mujer,salud_o_efectos,2,0.0,1.200704709026315,0.0,
2023,1,urbana,25,mujer,costo,2,0.0,1.1482742369680112,0.0,
2023,1,urbana,25,mujer,desconocimiento,2,0.0,1.1482742369680112,0.0,
2023,1,urbana,25,mujer,distancia,2,0.0,1.1482742369680112,0.0,
2023,1,urbana,25,mujer,oposicion,2,0.0,1.1482742369680112,0.0,
2023,1,urbana,25,mujer,otra_razon,2,1.1482742369680112,1.1482742369680112,100.0,0.0
2023,1,urbana,25,mujer,salud_o_efectos,2,0.0,1.1482742369680112,0.0,
2023,2,rural,19,mujer,costo,1,0.0,1.2725733899757945,0.0,
2023,2,rural,19,mujer,desconocimiento,1,1.2725733899757945,1.2725733899757945,100.0,0.0
2023,2,rural,19,mujer,distancia,1,0.0,1.2725733899757945,0.0,
2023,2,rural,19,mujer,oposicion,1,0.0,1.2725733899757945,0.0,
2023,2,rural,19,mujer,otra_razon,1,0.0,1.2725733899757945,0.0,
