gestion,codigo_departamento,area,edad,sexo,observaciones,numerador,denominador,valor,cv
2025,1,rural,16,hombre,14,1814.2782680042699,2989.7703012687257,60.68286474162817,0.1658886656740036
2025,1,rural,16,mujer,15,1435.4741008189633,3886.6840676988154,36.93313055076439,0.5270689305708656
2025,1,rural,17,hombre,13,541.9953745827318,2357.869381971705,22.986658155317436,0.5471617695529892
2025,1,rural,17,mujer,16,1692.135927297984,3447.2578173722595,49.08643382489587,0.267138653280531
2025,1,rural,18,hombre,12,360.6402046429629,3069.1612807939096,11.750448140336077,0.940004408660015
2025,1,rural,18,mujer,5,53.40074296879106,1394.7351110416316,3.8287372667423365,1.1837452738618734
2025,1,rural,19,hombre,6,78.32108968756023,1015.2699674524084,7.714311680477399,1.0247558468063191
2025,1,rural,19,mujer,6,406.58995226578577,1180.637150245104,34.43818045039294,0.5941424017621256
2025,1,rural,20,hombre,4,0.0,940.5574856081774,0.0,
2025,1,rural,20,mujer,3,311.05217650455535,572.9050444578803,54.29384494229632,0.5898265575802764
2025,1,rural,21,hombre,8,806.3352762603349,1791.9584109673624,44.997432492032374,0.39493479813963284
2025,1,rural,21,mujer,5,0.0,1121.611163046503,0.0,
2025,1,rural,22,hombre,5,0.0,1012.240280921298,0.0,
2025,1,rural,22,mujer,7,406.58995226578577,1876.5595282691315,21.666776147560274,0.7403284451501898
2025,1,rural,23,hombre,4,271.1018560267577,774.9347988705103,34.98382785518167,0.4919386112039517
2025,1,rural,23,mujer,5,192.7807663391974,1334.1862930063276,14.449313963854607,1.0440550529115815
2025,1,rural,24,hombre,5,1109.2822602927197,1253.8678350471178,88.4688345363796,0.13194731289387604
2025,1,rural,24,mujer,9,349.39051921143874,1953.0929922293476,17.889087749612415,0.6878059974949762
2025,1,rural,25,hombre,9,283.9134922449997,1860.837055628041,15.25730000841893,0.9438825388379796
2025,1,rural,25,mujer,2,0.0,1076.483514773351,0.0,
2025,1,rural,26,hombre,10,539.7153100048603,2809.0573956291837,19.213395598275866,0.700169790413885
2025,1,rural,26,mujer,2,108.49927681908807,301.7591085156653,35.955592973743,0.9057246901067538
2025,1,rural,27,hombre,7,370.5083322006576,2219.840678151586,16.69076235278164,0.7203112076770221
2025,1,rural,27,mujer,5,272.7252230191829,1511.9851177343203,18.037560014337725,1.0234877907707869
2025,1,rural,28,hombre,9,522.0488987971399,2755.816310901467,18.94353033371699,0.695748032702622
2025,1,rural,28,mujer,6,131.7218326563513,542.51586104027,24.279812281206983,0.5976598016918676
2025,1,urbana,16,hombre,18,1039.1986878024363,4166.0893919316795,24.94422442818957,0.5596715884007605
2025,1,urbana,16,mujer,19,1448.9805025307542,4506.55475894691,32.15273263137607,0.3137300155007842
2025,1,urbana,17,hombre,6,353.63847713369785,1008.2704232332528,35.07377276818991,0.5275339781284644
2025,1,urbana,17,mujer,17,575.5489890433312,3583.5828049985594,16.060714105462466,0.58022106199136
2025,1,urbana,18,hombre,17,0.0,4079.8420940487385,0.0,
2025,1,urbana,18,mujer,12,571.0130720612067,2374.316123192173,24.049580697514806,0.4751884873425269
2025,1,urbana,19,hombre,15,179.95330143925798,3854.3719656030903,4.668809939600649,0.9726051593434867
2025,1,urbana,19,mujer,18,967.8373542174425,3797.6267234549045,25.485320825237633,0.4890230358976183
2025,1,urbana,20,hombre,9,478.69260704148047,1926.8939358937068,24.842706602813585,0.8612759065101091
2025,1,urbana,20,mujer,20,666.7912508686793,4831.897213874538,13.799781356151856,0.5834012899051267
2025,1,urbana,21,hombre,10,0.0,2237.1925383434923,0.0,
2025,1,urbana,21,mujer,9,0.0,2327.104123249256,0.0,
2025,1,urbana,22,hombre,16,347.29194187900805,3384.1231934428924,10.262390640858584,0.7507903150431114
2025,1,urbana,22,mujer,13,0.0,3626.0222978084266,0.0,
2025,1,urbana,23,hombre,16,176.7398496278427,2849.3879881272615,6.202730213094062,0.9052078274989668
2025,1,urbana,23,mujer,13,0.0,2886.3444518454385,0.0,
2025,1,urbana,24,hombre,15,0.0,4380.379840144024,0.0,
2025,1,urbana,24,mujer,12,123.97995011625682,2571.730161420586,4.820877087966808,1.0187007017186365
2025,1,urbana,25,hombre,20,335.79802660914174,4283.143873492665,7.839989421959744,0.9563364667090155
2025,1,urbana,25,mujer,12,472.3595500095143,2626.170272248818,17.98663076042772,0.9061499812407259
2025,1,urbana,26,hombre,9,123.97995011625682,2221.123489400831,5.581857591794752,1.043671599906967
2025,1,urbana,26,mujer,12,110.85513154867554,3487.2431640581426,3.178875872242652,1.0438069280156437
2025,1,urbana,27,hombre,11,1082.6281956432858,2349.248366194554,46.084024627714804,0.3396677685252716
2025,1,urbana,27,mujer,14,0.0,3764.073983044028,0.0,
2025,1,urbana,28,hombre,11,335.79802660914174,2701.252613415223,12.431196732266688,0.9413814651068598
2025,1,urbana,28,mujer,18,952.374130982229,4675.235531239042,20.37061287326905,0.5366362206701395
2025,2,rural,16,hombre,11,3674.248494268738,12586.291982184408,29.192461921823742,0.6586941703481668
2025,2,rural,16,mujer,8,4939.344876910359,6940.186253828794,71.17020633539046,0.2491924427900241
2025,2,rural,17,hombre,18,5456.110219327494,22091.69382410254,24.697563992919157,0.6054081353481435
2025,2,rural,17,mujer,6,1916.0755679180556,3916.9169448364905,48.9179524330721,0.45849662627784965
2025,2,rural,18,hombre,9,3829.1353273129944,7743.392897953192,49.45035564868661,0.4124173547968679
2025,2,rural,18,mujer,9,2270.899964984435,9380.152266783445,24.209627950561522,0.6822095417194732
2025,2,rural,19,hombre,8,3061.1564279148174,9628.547027175202,31.792506379987962,0.59166144293472
2025,2,rural,19,mujer,6,2199.7140433151126,3973.8463275907884,55.35478380334668,0.39878914964850826
2025,2,rural,20,hombre,7,2381.1387033460596,8862.008841593137,26.869062600912493,0.7235685991729485
2025,2,rural,20,mujer,10,4303.12919292879,8716.030623569184,49.37028538303452,0.39847073859146165
2025,2,rural,21,hombre,4,1402.3831669314573,3163.635197423865,44.328219893159996,0.6107049004072402
2025,2,rural,21,mujer,6,0.0,9119.31204064767,0.0,
2025,2,rural,22,hombre,5,1570.4237391318957,6723.56847724232,23.356997767590325,0.6753107653548933
2025,2,rural,22,mujer,7,2767.623097887713,5502.979534343103,50.2931744633153,0.4189423107243392
2025,2,rural,23,hombre,4,1677.7097366639623,3377.6207450311467,49.67134747535106,0.6418354832820762
2025,2,rural,23,mujer,6,1777.1295729107155,7884.489919309813,22.539563004048848,0.9165415987875705
2025,2,rural,24,hombre,6,0.0,3461.5723887357085,0.0,
2025,2,rural,24,mujer,2,0.0,733.4346842723387,0.0,
2025,2,rural,25,hombre,9,593.1902283204726,9115.69349291674,6.5073516214800895,1.0154736001566906
2025,2,rural,25,mujer,9,4711.271217395687,11062.771358788465,42.5867177816431,0.4885205537541203
2025,2,rural,26,hombre,5,1777.1295729107155,5663.757201682782,31.37722027319083,0.8166087094663174
2025,2,rural,26,mujer,7,0.0,5355.441712858339,0.0,
2025,2,rural,27,hombre,6,0.0,5370.617304031996,0.0,
2025,2,rural,27,mujer,5,2110.7158749532564,4825.440880341857,43.74140990001567,0.1548111115432949
2025,2,rural,28,hombre,6,0.0,5587.179657006736,0.0,
2025,2,rural,28,mujer,3,0.0,4160.154887087154,0.0,
2025,2,urbana,16,hombre,90,4095.845222304072,21389.610974783678,19.148759774699435,0.246779179923172
2025,2,urbana,16,mujer,81,4612.033322074247,19356.49452284192,23.82680043967542,0.20298705808217823
2025,2,urbana,17,hombre,82,2155.9259539908862,19042.76322146019,11.321497457686556,0.315838582496033
2025,2,urbana,17,mujer,87,4954.139887198164,20061.089717976505,24.695268087848778,0.19943261580726732
2025,2,urbana,18,hombre,81,2779.394180909334,19713.473182234375,14.098957374056752,0.29869532742098115
2025,2,urbana,18,mujer,78,4254.8834676134875,19038.79167485028,22.348495326171733,0.22157801668605004
2025,2,urbana,19,hombre,52,1075.59906727618,11607.547079760854,9.266376951867942,0.4556577929359147
2025,2,urbana,19,mujer,60,2671.455108868274,14612.130171937957,18.282448058112035,0.3021545478601893
2025,2,urbana,20,hombre,66,918.7976691447436,15544.772255041447,5.9106537816709475,0.4900004726159654
