gestion,codigo_departamento,area,edad,sexo,estadistico,observaciones,valor,cv
2025,1,rural,16,hombre,media,14,128.3641578609898,0.4978108517076126
2025,1,rural,16,hombre,mediana,14,50.0,0.3307492729533347
2025,1,rural,16,mujer,media,15,60.47535152991858,0.32400379817655817
2025,1,rural,16,mujer,mediana,15,50.0,0.3089479045043107
2025,1,rural,17,hombre,media,13,132.9871692001377,0.8058099860233773
2025,1,rural,17,hombre,mediana,13,5.0,3.062274952238787
2025,1,rural,17,mujer,media,16,54.24468986385977,0.23402649503099654
2025,1,rural,17,mujer,mediana,16,30.0,0.6245646480454101
2025,1,rural,18,hombre,media,12,56.78642959847082,0.2791783823515
2025,1,rural,18,hombre,mediana,12,70.0,0.4491540389085786
2025,1,rural,18,mujer,media,5,819.8339218451189,0.4698575861509624
2025,1,rural,18,mujer,mediana,5,1395.0,0.0
2025,1,rural,19,hombre,media,6,43.93197606484224,0.5113767086754946
2025,1,rural,19,hombre,mediana,6,30.0,0.2689782441239916
2025,1,rural,19,mujer,media,6,34.35873720760563,0.27880884960196817
2025,1,rural,19,mujer,mediana,6,40.0,0.31812361062342076
2025,1,rural,20,hombre,media,4,114.41618170455477,0.4253218887185661
2025,1,rural,20,hombre,mediana,4,60.0,1.6424384553743991
2025,1,rural,20,mujer,media,3,1.942404079603464,1.1133426511692521
2025,1,rural,20,mujer,mediana,3,0.0,
2025,1,rural,21,hombre,media,8,21.25814036534082,0.3027630431340483
2025,1,rural,21,hombre,mediana,8,20.0,0.730831613583421
2025,1,rural,21,mujer,media,5,116.48542184565997,0.3297911182179277
2025,1,rural,21,mujer,mediana,5,70.0,0.8010374419018409
2025,1,rural,22,hombre,media,5,23.06748756471905,0.5601973273318357
2025,1,rural,22,hombre,mediana,5,20.0,0.35372554232646103
2025,1,rural,22,mujer,media,7,111.00817977190982,0.7883358870308684
2025,1,rural,22,mujer,mediana,7,20.0,1.8449401125514975
2025,1,rural,23,hombre,media,4,170.75360875719852,0.5856540377976465
2025,1,rural,23,hombre,mediana,4,15.0,0.3441979137935238
2025,1,rural,23,mujer,media,5,116.81315099698116,0.2371550795636793
2025,1,rural,23,mujer,mediana,5,150.0,0.18103055106081928
2025,1,rural,24,hombre,media,5,290.4739019514621,0.48026099555708224
2025,1,rural,24,hombre,mediana,5,200.0,0.4406219226168134
2025,1,rural,24,mujer,media,9,87.0145049791911,0.4971672202144846
2025,1,rural,24,mujer,mediana,9,15.0,0.7324197951034238
2025,1,rural,25,hombre,media,9,271.3064191397125,0.7201777339499195
2025,1,rural,25,hombre,mediana,9,70.0,1.164280161351674
