gestion,codigo_municipio,area,edad,sexo,numerador,denominador,valor
2024,10101,rural,16,hombre,87,184,47.28260869565217
2024,10101,rural,16,mujer,81,161,50.31055900621118
2024,10101,rural,17,hombre,76,165,46.06060606060606
2024,10101,rural,17,mujer,78,153,50.98039215686274
2024,10101,rural,18,hombre,74,154,48.05194805194805
2024,10101,rural,18,mujer,82,150,54.666666666666664
2024,10101,rural,19,hombre,74,147,50.34013605442177
2024,10101,rural,19,mujer,56,124,45.16129032258065
2024,10101,rural,20,hombre,71,139,51.07913669064748
2024,10101,rural,20,mujer,55,117,47.00854700854701
2024,10101,rural,21,hombre,58,117,49.572649572649574
2024,10101,rural,21,mujer,76,142,53.521126760563384
2024,10101,rural,22,hombre,82,146,56.16438356164384
2024,10101,rural,22,mujer,71,130,54.61538461538461
2024,10101,rural,23,hombre,89,169,52.662721893491124
2024,10101,rural,23,mujer,83,151,54.966887417218544
2024,10101,rural,24,hombre,82,169,48.5207100591716
2024,10101,rural,24,mujer,96,164,58.53658536585366
2024,10101,rural,25,hombre,94,182,51.64835164835165
2024,10101,rural,25,mujer,72,142,50.70422535211268
2024,10101,rural,26,hombre,79,150,52.666666666666664
2024,10101,rural,26,mujer,85,142,59.859154929577464
2024,10101,rural,27,hombre,89,157,56.68789808917197
2024,10101,rural,27,mujer,84,153,54.90196078431372
2024,10101,rural,28,hombre,81,136,59.55882352941177
2024,10101,rural,28,mujer,61,121,50.413223140495866
2024,10101,urbana,16,hombre,1542,2564,60.14040561622465
2024,10101,urbana,16,mujer,1551,2591,59.86105750675415
2024,10101,urbana,17,hombre,1603,2744,58.41836734693877
2024,10101,urbana,17,mujer,1644,2721,60.418963616317534
2024,10101,urbana,18,hombre,1745,2975,58.65546218487395
2024,10101,urbana,18,mujer,1823,2993,60.90878717006348
2024,10101,urbana,19,hombre,1754,2877,60.96628432394856
2024,10101,urbana,19,mujer,1878,3013,62.32990375041487
2024,10101,urbana,20,hombre,1778,2867,62.0160446459714
2024,10101,urbana,20,mujer,1856,2929,63.366336633663366
2024,10101,urbana,21,hombre,1769,2893,61.14759764949879
2024,10101,urbana,21,mujer,1936,3055,63.37152209492635
2024,10101,urbana,22,hombre,1791,2870,62.40418118466899
2024,10101,urbana,22,mujer,1941,3017,64.33543254888963
2024,10101,urbana,23,hombre,1938,3020,64.17218543046357
2024,10101,urbana,23,mujer,2131,3232,65.93440594059406
2024,10101,urbana,24,hombre,1926,3112,61.88946015424165
2024,10101,urbana,24,mujer,2053,3157,65.03009185936016
2024,10101,urbana,25,hombre,1779,2810,63.30960854092527
2024,10101,urbana,25,mujer,1878,2920,64.31506849315069
2024,10101,urbana,26,hombre,1770,2774,63.80677721701514
2024,10101,urbana,26,mujer,1845,2869,64.30812129661903
2024,10101,urbana,27,hombre,1671,2577,64.84284051222352
2024,10101,urbana,27,mujer,1799,2761,65.15755161173487
2024,10101,urbana,28,hombre,1678,2650,63.320754716981135
2024,10101,urbana,28,mujer,1726,2669,64.66841513675534
2024,10102,rural,16,hombre,52,95,54.73684210526316
2024,10102,rural,16,mujer,47,86,54.651162790697676
2024,10102,rural,17,hombre,42,78,53.84615384615385
2024,10102,rural,17,mujer,44,75,58.666666666666664
2024,10102,rural,18,hombre,37,75,49.333333333333336
2024,10102,rural,18,mujer,40,68,58.8235294117647
2024,10102,rural,19,hombre,31,59,52.54237288135593
2024,10102,rural,19,mujer,43,72,59.72222222222222
2024,10102,rural,20,hombre,42,81,51.851851851851855
2024,10102,rural,20,mujer,40,64,62.5
2024,10102,rural,21,hombre,40,72,55.55555555555556
2024,10102,rural,21,mujer,43,69,62.31884057971015
2024,10102,rural,22,hombre,37,68,54.411764705882355
2024,10102,rural,22,mujer,39,61,63.9344262295082
2024,10102,rural,23,hombre,44,74,59.45945945945946
2024,10102,rural,23,mujer,40,70,57.142857142857146
2024,10102,rural,24,hombre,39,67,58.208955223880594
2024,10102,rural,24,mujer,46,78,58.97435897435897
2024,10102,rural,25,hombre,41,66,62.121212121212125
2024,10102,rural,25,mujer,37,71,52.11267605633803
2024,10102,rural,26,hombre,44,75,58.666666666666664
2024,10102,rural,26,mujer,47,81,58.02469135802469
2024,10102,rural,27,hombre,38,76,50.0
2024,10102,rural,27,mujer,42,67,62.6865671641791
2024,10102,rural,28,hombre,45,72,62.5
2024,10102,rural,28,mujer,44,75,58.666666666666664
2024,10103,rural,16,hombre,35,154,22.727272727272727
2024,10103,rural,16,mujer,39,138,28.26086956521739
2024,10103,rural,17,hombre,41,134,30.597014925373134
2024,10103,rural,17,mujer,42,120,35.0
2024,10103,rural,18,hombre,36,131,27.480916030534353
2024,10103,rural,18,mujer,36,120,30.0
2024,10103,rural,19,hombre,27,94,28.72340425531915
2024,10103,rural,19,mujer,38,104,36.53846153846154
2024,10103,rural,20,hombre,42,110,38.18181818181818
2024,10103,rural,20,mujer,27,87,31.03448275862069
2024,10103,rural,21,hombre,36,96,37.5
2024,10103,rural,21,mujer,33,101,32.67326732673267
2024,10103,rural,22,hombre,30,87,34.48275862068966
2024,10103,rural,22,mujer,20,80,25.0
2024,10103,rural,23,hombre,32,97,32.98969072164948
2024,10103,rural,23,mujer,29,98,29.591836734693878
2024,10103,rural,24,hombre,24,86,27.906976744186046
2024,10103,rural,24,mujer,30,94,31.914893617021278
2024,10103,rural,25,hombre,33,87,37.93103448275862
2024,10103,rural,25,mujer,28,75,37.333333333333336
2024,10103,rural,26,hombre,30,86,34.883720930232556
2024,10103,rural,26,mujer,27,74,36.486486486486484
2024,10103,rural,27,hombre,33,93,35.483870967741936
2024,10103,rural,27,mujer,26,70,37.142857142857146
2024,10103,rural,28,hombre,36,84,42.857142857142854
2024,10103,rural,28,mujer,29,90,32.22222222222222
2024,10201,rural,16,hombre,34,84,40.476190476190474
2024,10201,rural,16,mujer,23,72,31.944444444444443
2024,10201,rural,17,hombre,33,76,43.421052631578945
2024,10201,rural,17,mujer,27,80,33.75
2024,10201,rural,18,hombre,23,56,41.07142857142857
2024,10201,rural,18,mujer,19,61,31.147540983606557
2024,10201,rural,19,hombre,23,45,51.111111111111114
2024,10201,rural,19,mujer,17,56,30.357142857142858
2024,10201,rural,20,hombre,17,42,40.476190476190474
2024,10201,rural,20,mujer,12,42,28.571428571428573
2024,10201,rural,21,hombre,22,56,39.285714285714285
2024,10201,rural,21,mujer,18,43,41.86046511627907
2024,10201,rural,22,hombre,16,42,38.095238095238095
2024,10201,rural,22,mujer,15,38,39.473684210526315
2024,10201,rural,23,hombre,22,69,31.884057971014492
2024,10201,rural,23,mujer,22,52,42.30769230769231
2024,10201,rural,24,hombre,21,51,41.1764705882353
2024,10201,rural,24,mujer,18,37,48.648648648648646
2024,10201,rural,25,hombre,22,52,42.30769230769231
2024,10201,rural,25,mujer,23,49,46.93877551020408
2024,10201,rural,26,hombre,15,46,32.608695652173914
2024,10201,rural,26,mujer,19,49,38.775510204081634
2024,10201,rural,27,hombre,18,43,41.86046511627907
2024,10201,rural,27,mujer,26,50,52.0
2024,10201,rural,28,hombre,18,33,54.54545454545455
2024,10201,rural,28,mujer,23,50,46.0
2024,10202,rural,16,hombre,46,159,28.930817610062892
2024,10202,rural,16,mujer,54,167,32.33532934131737
2024,10202,rural,17,hombre,69,175,39.42857142857143
2024,10202,rural,17,mujer,50,152,32.89473684210526
2024,10202,rural,18,hombre,53,152,34.86842105263158
2024,10202,rural,18,mujer,69,209,33.014354066985646
2024,10202,rural,19,hombre,57,157,36.30573248407644
2024,10202,rural,19,mujer,46,170,27.058823529411764
2024,10202,rural,20,hombre,52,139,37.410071942446045
2024,10202,rural,20,mujer,46,174,26.436781609195403
2024,10202,rural,21,hombre,34,113,30.088495575221238
2024,10202,rural,21,mujer,50,124,40.32258064516129
2024,10202,rural,22,hombre,44,115,38.26086956521739
2024,10202,rural,22,mujer,58,142,40.84507042253521
2024,10202,rural,23,hombre,51,137,37.22627737226277
2024,10202,rural,23,mujer,62,160,38.75
2024,10202,rural,24,hombre,53,117,45.2991452991453
2024,10202,rural,24,mujer,49,149,32.88590604026846
2024,10202,rural,25,hombre,58,164,35.36585365853659
2024,10202,rural,25,mujer,53,145,36.55172413793103
2024,10202,rural,26,hombre,33,104,31.73076923076923
2024,10202,rural,26,mujer,46,124,37.096774193548384
2024,10202,rural,27,hombre,49,118,41.52542372881356
2024,10202,rural,27,mujer,37,110,33.63636363636363
2024,10202,rural,28,hombre,41,117,35.042735042735046
2024,10202,rural,28,mujer,41,120,34.166666666666664
2024,10301,rural,16,hombre,47,86,54.651162790697676
2024,10301,rural,16,mujer,29,70,41.42857142857143
2024,10301,rural,17,hombre,43,80,53.75
2024,10301,rural,17,mujer,34,84,40.476190476190474
2024,10301,rural,18,hombre,41,89,46.06741573033708
2024,10301,rural,18,mujer,36,72,50.0
2024,10301,rural,19,hombre,49,102,48.03921568627451
2024,10301,rural,19,mujer,45,78,57.69230769230769
2024,10301,rural,20,hombre,46,98,46.93877551020408
2024,10301,rural,20,mujer,54,101,53.46534653465346
2024,10301,rural,21,hombre,43,91,47.252747252747255
2024,10301,rural,21,mujer,45,81,55.55555555555556
2024,10301,rural,22,hombre,47,90,52.22222222222222
2024,10301,rural,22,mujer,35,70,50.0
2024,10301,rural,23,hombre,49,100,49.0
2024,10301,rural,23,mujer,35,77,45.45454545454545
2024,10301,rural,24,hombre,48,119,40.33613445378151
2024,10301,rural,24,mujer,38,76,50.0
2024,10301,rural,25,hombre,47,100,47.0
2024,10301,rural,25,mujer,49,98,50.0
2024,10301,rural,26,hombre,43,91,47.252747252747255
2024,10301,rural,26,mujer,38,80,47.5
2024,10301,rural,27,hombre,35,77,45.45454545454545
2024,10301,rural,27,mujer,33,59,55.932203389830505
2024,10301,rural,28,hombre,39,98,39.795918367346935
2024,10301,rural,28,mujer,39,83,46.98795180722892
2024,10301,urbana,16,hombre,21,42,50.0
2024,10301,urbana,16,mujer,27,39,69.23076923076923
2024,10301,urbana,17,hombre,23,43,53.48837209302326
2024,10301,urbana,17,mujer,27,41,65.85365853658537
2024,10301,urbana,18,hombre,32,54,59.25925925925926
2024,10301,urbana,18,mujer,32,42,76.19047619047619
2024,10301,urbana,19,hombre,26,40,65.0
2024,10301,urbana,19,mujer,18,35,51.42857142857143
2024,10301,urbana,20,hombre,30,48,62.5
2024,10301,urbana,20,mujer,29,46,63.04347826086956
2024,10301,urbana,21,hombre,21,35,60.0
2024,10301,urbana,21,mujer,32,47,68.08510638297872
2024,10301,urbana,22,hombre,19,35,54.285714285714285
2024,10301,urbana,22,mujer,30,38,78.94736842105263
2024,10301,urbana,23,hombre,26,40,65.0
2024,10301,urbana,23,mujer,31,47,65.95744680851064
2024,10301,urbana,24,hombre,31,49,63.265306122448976
2024,10301,urbana,24,mujer,34,45,75.55555555555556
2024,10301,urbana,25,hombre,38,58,65.51724137931035
2024,10301,urbana,25,mujer,22,39,56.41025641025641
2024,10301,urbana,26,hombre,25,37,67.56756756756756
2024,10301,urbana,26,mujer,26,39,66.66666666666667
2024,10301,urbana,27,hombre,40,57,70.17543859649123
2024,10301,urbana,27,mujer,22,28,78.57142857142857
2024,10301,urbana,28,hombre,25,37,67.56756756756756
2024,10301,urbana,28,mujer,25,43,58.13953488372093
2024,10302,rural,16,hombre,25,113,22.123893805309734
2024,10302,rural,16,mujer,32,105,30.476190476190474
2024,10302,rural,17,hombre,36,119,30.252100840336134
2024,10302,rural,17,mujer,29,94,30.851063829787233
2024,10302,rural,18,hombre,30,112,26.785714285714285
2024,10302,rural,18,mujer,28,87,32.18390804597701
2024,10302,rural,19,hombre,28,106,26.41509433962264
2024,10302,rural,19,mujer,34,97,35.05154639175258
2024,10302,rural,20,hombre,37,128,28.90625
2024,10302,rural,20,mujer,26,105,24.761904761904763
2024,10302,rural,21,hombre,38,114,33.333333333333336
2024,10302,rural,21,mujer,25,76,32.89473684210526
2024,10302,rural,22,hombre,19,84,22.61904761904762
2024,10302,rural,22,mujer,30,94,31.914893617021278
2024,10302,rural,23,hombre,44,134,32.83582089552239
2024,10302,rural,23,mujer,27,83,32.53012048192771
2024,10302,rural,24,hombre,37,125,29.6
2024,10302,rural,24,mujer,36,105,34.285714285714285
2024,10302,rural,25,hombre,26,107,24.299065420560748
2024,10302,rural,25,mujer,26,94,27.659574468085108
2024,10302,rural,26,hombre,32,100,32.0
2024,10302,rural,26,mujer,23,70,32.857142857142854
2024,10302,rural,27,hombre,35,97,36.08247422680412
2024,10302,rural,27,mujer,19,70,27.142857142857142
2024,10302,rural,28,hombre,30,87,34.48275862068966
2024,10302,rural,28,mujer,23,70,32.857142857142854
2024,10302,urbana,16,hombre,7,17,41.1764705882353
2024,10302,urbana,16,mujer,14,32,43.75
2024,10302,urbana,17,hombre,11,20,55.0
2024,10302,urbana,17,mujer,8,17,47.05882352941177
2024,10302,urbana,18,hombre,12,22,54.54545454545455
2024,10302,urbana,18,mujer,10,20,50.0
2024,10302,urbana,19,hombre,8,16,50.0
2024,10302,urbana,19,mujer,6,11,54.54545454545455
2024,10302,urbana,20,hombre,18,28,64.28571428571429
