gestion,codigo_municipio,area,numerador,denominador,valor
2024,10101,rural,3909,2627109,0.14879473976907695
2024,10101,urbana,75065,2627109,2.857323392367808
2024,10102,rural,1913,2627109,0.0728176866662175
2024,10103,rural,2612,2627109,0.09942488111456357
2024,10201,rural,1396,2627109,0.05313825958496583
2024,10202,rural,3773,2627109,0.14361794657168775
2024,10301,rural,2283,2627109,0.08690160933558524
2024,10301,urbana,1111,2627109,0.04228983266396636
2024,10302,rural,2610,2627109,0.09934875180283727
2024,10302,urbana,500,2627109,0.01903232793157802
2024,10303,rural,1463,2627109,0.05568859152779729
2024,10303,urbana,584,2627109,0.022229759024083126
2024,10304,rural,2283,2627109,0.08690160933558524
2024,10401,rural,820,2627109,0.031213017807787954
2024,10401,urbana,949,2627109,0.03612335841413508
2024,10402,rural,1544,2627109,0.058771828652712924
2024,10402,urbana,487,2627109,0.018537487405356993
2024,10403,rural,1589,2627109,0.06048473816655495
2024,10404,rural,787,2627109,0.029956884164303803
2024,10405,rural,1279,2627109,0.04868469484897658
2024,10501,rural,1957,2627109,0.07449253152419637
2024,10501,urbana,3013,2627109,0.11468880811568914
2024,10502,rural,1191,2627109,0.045335005133018844
2024,10601,rural,2105,2627109,0.08012610059194346
2024,10601,urbana,632,2627109,0.024056862505514618
2024,10602,rural,1601,2627109,0.06094151403691282
2024,10701,rural,1817,2627109,0.06916347970335453
2024,10701,urbana,1107,2627109,0.042137574040513735
2024,10702,rural,4784,2627109,0.1821013136493385
2024,10702,urbana,602,2627109,0.022914922829619936
2024,10703,rural,3094,2627109,0.11777204524060479
2024,10703,urbana,648,2627109,0.024665896999325115
2024,10704,rural,2842,2627109,0.10817975196308946
2024,10704,urbana,697,2627109,0.02653106513661976
2024,10801,rural,1014,2627109,0.038597561045240224
2024,10801,urbana,845,2627109,0.032164634204366854
2024,10901,rural,631,2627109,0.024018797849651462
2024,10901,urbana,574,2627109,0.021849112465451567
2024,10902,rural,2333,2627109,0.08880484212874304
2024,10902,urbana,666,2627109,0.025351060804861922
2024,10903,rural,1118,2627109,0.04255628525500845
2024,11001,rural,1582,2627109,0.060218285575512856
2024,11001,urbana,1882,2627109,0.07163768233445966
2024,11002,rural,524,2627109,0.019945879672293765
2024,11003,rural,1835,2627109,0.06984864350889133
2024,20101,rural,1489,2627109,0.056678272580239344
2024,20101,urbana,164393,2627109,6.257562971311811
2024,20102,rural,4537,2627109,0.17269934365113895
2024,20103,rural,3874,2627109,0.1474624768138665
2024,20104,rural,1166,2627109,0.04438338873643994
