gestion,codigo_municipio,area,edad,sexo,numerador,denominador,valor
2024,10101,rural,16,hombre,124,180,68.88888888888889
2024,10101,rural,16,mujer,124,158,78.48101265822785
2024,10101,rural,17,hombre,121,159,76.1006289308176
2024,10101,rural,17,mujer,118,154,76.62337662337663
2024,10101,rural,18,hombre,111,153,72.54901960784314
2024,10101,rural,18,mujer,97,147,65.98639455782313
2024,10101,rural,19,hombre,85,143,59.44055944055944
2024,10101,rural,19,mujer,69,123,56.09756097560975
2024,10101,rural,20,hombre,86,140,61.42857142857143
2024,10101,rural,20,mujer,59,111,53.153153153153156
2024,10101,rural,21,hombre,76,119,63.865546218487395
2024,10101,rural,21,mujer,79,139,56.83453237410072
2024,10101,rural,22,hombre,82,141,58.156028368794324
2024,10101,rural,22,mujer,56,127,44.09448818897638
2024,10101,rural,23,hombre,80,164,48.78048780487805
2024,10101,rural,23,mujer,67,147,45.57823129251701
2024,10101,rural,24,hombre,95,163,58.282208588957054
2024,10101,rural,24,mujer,68,163,41.717791411042946
2024,10101,rural,25,hombre,78,175,44.57142857142857
2024,10101,rural,25,mujer,52,142,36.61971830985915
2024,10101,rural,26,hombre,65,148,43.91891891891892
2024,10101,rural,26,mujer,53,141,37.5886524822695
2024,10101,rural,27,hombre,57,154,37.01298701298701
2024,10101,rural,27,mujer,53,152,34.86842105263158
2024,10101,rural,28,hombre,40,133,30.075187969924812
2024,10101,rural,28,mujer,39,120,32.5
2024,10101,urbana,16,hombre,1793,2460,72.88617886178862
2024,10101,urbana,16,mujer,1807,2523,71.62108600871977
2024,10101,urbana,17,hombre,1802,2614,68.93649579188983
2024,10101,urbana,17,mujer,1793,2643,67.83957623912221
2024,10101,urbana,18,hombre,1568,2620,59.847328244274806
2024,10101,urbana,18,mujer,1547,2858,54.128761371588524
2024,10101,urbana,19,hombre,1441,2608,55.25306748466258
2024,10101,urbana,19,mujer,1551,2887,53.72358850017319
2024,10101,urbana,20,hombre,1477,2714,54.42151805453206
2024,10101,urbana,20,mujer,1392,2818,49.396735273243436
2024,10101,urbana,21,hombre,1344,2723,49.3573264781491
2024,10101,urbana,21,mujer,1404,2930,47.918088737201366
2024,10101,urbana,22,hombre,1301,2714,47.93662490788504
2024,10101,urbana,22,mujer,1307,2884,45.319001386962555
2024,10101,urbana,23,hombre,1333,2886,46.18849618849619
2024,10101,urbana,23,mujer,1276,3122,40.87123638693146
2024,10101,urbana,24,hombre,1333,2949,45.20176330959647
2024,10101,urbana,24,mujer,1238,3069,40.338872596937115
2024,10101,urbana,25,hombre,1196,2688,44.49404761904762
2024,10101,urbana,25,mujer,1090,2826,38.57041755130927
2024,10101,urbana,26,hombre,1068,2606,40.982348426707595
2024,10101,urbana,26,mujer,913,2754,33.1517792302106
2024,10101,urbana,27,hombre,936,2438,38.39212469237079
2024,10101,urbana,27,mujer,908,2666,34.058514628657164
2024,10101,urbana,28,hombre,915,2508,36.483253588516746
2024,10101,urbana,28,mujer,776,2603,29.81175566653861
2024,10102,rural,16,hombre,64,80,80.0
2024,10102,rural,16,mujer,56,72,77.77777777777777
2024,10102,rural,17,hombre,51,65,78.46153846153847
2024,10102,rural,17,mujer,56,68,82.3529411764706
2024,10102,rural,18,hombre,53,70,75.71428571428571
2024,10102,rural,18,mujer,50,65,76.92307692307692
2024,10102,rural,19,hombre,39,55,70.9090909090909
2024,10102,rural,19,mujer,50,67,74.6268656716418
2024,10102,rural,20,hombre,55,83,66.26506024096386
2024,10102,rural,20,mujer,40,60,66.66666666666667
2024,10102,rural,21,hombre,44,67,65.67164179104478
2024,10102,rural,21,mujer,48,68,70.58823529411765
2024,10102,rural,22,hombre,44,65,67.6923076923077
2024,10102,rural,22,mujer,34,64,53.125
2024,10102,rural,23,hombre,48,71,67.6056338028169
2024,10102,rural,23,mujer,36,69,52.17391304347826
2024,10102,rural,24,hombre,39,68,57.35294117647059
2024,10102,rural,24,mujer,45,76,59.21052631578947
2024,10102,rural,25,hombre,32,64,50.0
2024,10102,rural,25,mujer,33,69,47.82608695652174
2024,10102,rural,26,hombre,40,74,54.054054054054056
2024,10102,rural,26,mujer,43,77,55.84415584415584
2024,10102,rural,27,hombre,27,69,39.130434782608695
2024,10102,rural,27,mujer,26,69,37.68115942028985
2024,10102,rural,28,hombre,34,67,50.74626865671642
2024,10102,rural,28,mujer,26,74,35.13513513513514
2024,10103,rural,16,hombre,119,152,78.28947368421052
2024,10103,rural,16,mujer,98,137,71.53284671532846
2024,10103,rural,17,hombre,89,133,66.9172932330827
2024,10103,rural,17,mujer,87,120,72.5
2024,10103,rural,18,hombre,94,131,71.7557251908397
2024,10103,rural,18,mujer,77,121,63.63636363636363
2024,10103,rural,19,hombre,70,95,73.6842105263158
2024,10103,rural,19,mujer,60,103,58.25242718446602
2024,10103,rural,20,hombre,73,112,65.17857142857143
2024,10103,rural,20,mujer,46,89,51.68539325842696
2024,10103,rural,21,hombre,56,99,56.56565656565657
2024,10103,rural,21,mujer,62,102,60.78431372549019
2024,10103,rural,22,hombre,50,85,58.8235294117647
2024,10103,rural,22,mujer,39,77,50.64935064935065
2024,10103,rural,23,hombre,47,97,48.45360824742268
2024,10103,rural,23,mujer,46,100,46.0
2024,10103,rural,24,hombre,44,85,51.76470588235294
2024,10103,rural,24,mujer,38,95,40.0
2024,10103,rural,25,hombre,42,86,48.83720930232558
2024,10103,rural,25,mujer,37,74,50.0
2024,10103,rural,26,hombre,34,84,40.476190476190474
2024,10103,rural,26,mujer,31,73,42.465753424657535
2024,10103,rural,27,hombre,41,93,44.086021505376344
2024,10103,rural,27,mujer,19,68,27.941176470588236
2024,10103,rural,28,hombre,26,83,31.325301204819276
2024,10103,rural,28,mujer,30,90,33.333333333333336
2024,10201,rural,16,hombre,64,83,77.10843373493977
2024,10201,rural,16,mujer,51,72,70.83333333333333
2024,10201,rural,17,hombre,55,74,74.32432432432432
2024,10201,rural,17,mujer,55,77,71.42857142857143
2024,10201,rural,18,hombre,37,56,66.07142857142857
2024,10201,rural,18,mujer,33,60,55.0
2024,10201,rural,19,hombre,22,41,53.65853658536585
2024,10201,rural,19,mujer,28,56,50.0
2024,10201,rural,20,hombre,18,38,47.36842105263158
2024,10201,rural,20,mujer,13,39,33.333333333333336
