gestion,codigo_departamento,area,edad,sexo,medio_recepcion,observaciones,numerador,denominador,valor,cv
2025,1,rural,16,hombre,banco,14,0.0,2989.7703012687257,0.0,
2025,1,rural,16,hombre,criptoactivos,14,0.0,2989.7703012687257,0.0,
2025,1,rural,16,hombre,empresa_de_remesas,14,0.0,2989.7703012687257,0.0,
2025,1,rural,16,hombre,encomendero,14,0.0,2989.7703012687257,0.0,
2025,1,rural,16,hombre,medio_no_declarado,14,0.0,2989.7703012687257,0.0,
2025,1,rural,16,hombre,no_recibio,14,2989.7703012687257,2989.7703012687257,100.0,0.0
2025,1,rural,16,hombre,transporte_o_correo,14,0.0,2989.7703012687257,0.0,
2025,1,rural,16,mujer,banco,15,176.09984460757443,3886.6840676988154,4.530850502388213,1.054053374517377
2025,1,rural,16,mujer,criptoactivos,15,0.0,3886.6840676988154,0.0,
2025,1,rural,16,mujer,empresa_de_remesas,15,0.0,3886.6840676988154,0.0,
2025,1,rural,16,mujer,encomendero,15,0.0,3886.6840676988154,0.0,
2025,1,rural,16,mujer,medio_no_declarado,15,0.0,3886.6840676988154,0.0,
2025,1,rural,16,mujer,no_recibio,15,3710.584223091241,3886.6840676988154,95.46914949761178,0.05002409979147786
2025,1,rural,16,mujer,transporte_o_correo,15,0.0,3886.6840676988154,0.0,
2025,1,rural,17,hombre,banco,13,0.0,2357.869381971705,0.0,
2025,1,rural,17,hombre,criptoactivos,13,0.0,2357.869381971705,0.0,
2025,1,rural,17,hombre,empresa_de_remesas,13,0.0,2357.869381971705,0.0,
2025,1,rural,17,hombre,encomendero,13,0.0,2357.869381971705,0.0,
2025,1,rural,17,hombre,medio_no_declarado,13,0.0,2357.869381971705,0.0,
2025,1,rural,17,hombre,no_recibio,13,2357.869381971705,2357.869381971705,100.0,0.0
2025,1,rural,17,hombre,transporte_o_correo,13,0.0,2357.869381971705,0.0,
2025,1,rural,17,mujer,banco,16,0.0,3447.2578173722595,0.0,
2025,1,rural,17,mujer,criptoactivos,16,0.0,3447.2578173722595,0.0,
2025,1,rural,17,mujer,empresa_de_remesas,16,0.0,3447.2578173722595,0.0,
2025,1,rural,17,mujer,encomendero,16,0.0,3447.2578173722595,0.0,
