gestion,codigo_departamento,area,edad,sexo,tamano_establecimiento,observaciones,numerador,denominador,valor,cv
2025,1,rural,16,hombre,101_o_mas,1,0.0,1820.33609053951,0.0,
2025,1,rural,16,hombre,11_a_20,1,0.0,1820.33609053951,0.0,
2025,1,rural,16,hombre,1_persona,1,0.0,1820.33609053951,0.0,
2025,1,rural,16,hombre,21_a_30,1,0.0,1820.33609053951,0.0,
2025,1,rural,16,hombre,2_a_5,1,1820.33609053951,1820.33609053951,100.0,0.0
2025,1,rural,16,hombre,31_a_50,1,0.0,1820.33609053951,0.0,
2025,1,rural,16,hombre,51_a_100,1,0.0,1820.33609053951,0.0,
2025,1,rural,16,hombre,6_a_10,1,0.0,1820.33609053951,0.0,
2025,1,rural,16,mujer,101_o_mas,3,0.0,2919.66033574432,0.0,
2025,1,rural,16,mujer,11_a_20,3,0.0,2919.66033574432,0.0,
2025,1,rural,16,mujer,1_persona,3,0.0,2919.66033574432,0.0,
2025,1,rural,16,mujer,21_a_30,3,0.0,2919.66033574432,0.0,
2025,1,rural,16,mujer,2_a_5,3,2919.66033574432,2919.66033574432,100.0,0.0
2025,1,rural,16,mujer,31_a_50,3,0.0,2919.66033574432,0.0,
2025,1,rural,16,mujer,51_a_100,3,0.0,2919.66033574432,0.0,
2025,1,rural,16,mujer,6_a_10,3,0.0,2919.66033574432,0.0,
2025,1,rural,17,hombre,101_o_mas,5,0.0,4066.3497109633345,0.0,
2025,1,rural,17,hombre,11_a_20,5,0.0,4066.3497109633345,0.0,
2025,1,rural,17,hombre,1_persona,5,1246.6607953838932,4066.3497109633345,30.657982810055813,0.9319935352388559
2025,1,rural,17,hombre,21_a_30,5,0.0,4066.3497109633345,0.0,
2025,1,rural,17,hombre,2_a_5,5,2819.6889155794415,4066.3497109633345,69.34201718994419,0.4120595699454151
2025,1,rural,17,hombre,31_a_50,5,0.0,4066.3497109633345,0.0,
2025,1,rural,17,hombre,51_a_100,5,0.0,4066.3497109633345,0.0,
2025,1,rural,17,hombre,6_a_10,5,0.0,4066.3497109633345,0.0,
2025,1,rural,17,mujer,101_o_mas,1,0.0,1820.33609053951,0.0,
2025,1,rural,17,mujer,11_a_20,1,0.0,1820.33609053951,0.0,
2025,1,rural,17,mujer,1_persona,1,0.0,1820.33609053951,0.0,
2025,1,rural,17,mujer,21_a_30,1,0.0,1820.33609053951,0.0,
2025,1,rural,17,mujer,2_a_5,1,1820.33609053951,1820.33609053951,100.0,0.0
2025,1,rural,17,mujer,31_a_50,1,0.0,1820.33609053951,0.0,
2025,1,rural,17,mujer,51_a_100,1,0.0,1820.33609053951,0.0,
2025,1,rural,17,mujer,6_a_10,1,0.0,1820.33609053951,0.0,
2025,1,rural,20,mujer,101_o_mas,1,0.0,1246.6607953838932,0.0,
2025,1,rural,20,mujer,11_a_20,1,0.0,1246.6607953838932,0.0,
2025,1,rural,20,mujer,1_persona,1,1246.6607953838932,1246.6607953838932,100.0,0.0
2025,1,rural,20,mujer,21_a_30,1,0.0,1246.6607953838932,0.0,
2025,1,rural,20,mujer,2_a_5,1,0.0,1246.6607953838932,0.0,
2025,1,rural,20,mujer,31_a_50,1,0.0,1246.6607953838932,0.0,
2025,1,rural,20,mujer,51_a_100,1,0.0,1246.6607953838932,0.0,
2025,1,rural,20,mujer,6_a_10,1,0.0,1246.6607953838932,0.0,
2025,1,rural,21,mujer,101_o_mas,2,0.0,3053.494590539553,0.0,
2025,1,rural,21,mujer,11_a_20,2,0.0,3053.494590539553,0.0,
2025,1,rural,21,mujer,1_persona,2,0.0,3053.494590539553,0.0,
2025,1,rural,21,mujer,21_a_30,2,0.0,3053.494590539553,0.0,
2025,1,rural,21,mujer,2_a_5,2,3053.494590539553,3053.494590539553,100.0,0.0
2025,1,rural,21,mujer,31_a_50,2,0.0,3053.494590539553,0.0,
2025,1,rural,21,mujer,51_a_100,2,0.0,3053.494590539553,0.0,
2025,1,rural,21,mujer,6_a_10,2,0.0,3053.494590539553,0.0,
2025,1,rural,22,hombre,101_o_mas,1,0.0,544.3550820009172,0.0,
2025,1,rural,22,hombre,11_a_20,1,0.0,544.3550820009172,0.0,
2025,1,rural,22,hombre,1_persona,1,0.0,544.3550820009172,0.0,
2025,1,rural,22,hombre,21_a_30,1,0.0,544.3550820009172,0.0,
2025,1,rural,22,hombre,2_a_5,1,544.3550820009172,544.3550820009172,100.0,0.0
2025,1,rural,22,hombre,31_a_50,1,0.0,544.3550820009172,0.0,
2025,1,rural,22,hombre,51_a_100,1,0.0,544.3550820009172,0.0,
2025,1,rural,22,hombre,6_a_10,1,0.0,544.3550820009172,0.0,
2025,1,rural,23,hombre,101_o_mas,1,0.0,981.1050896528159,0.0,
2025,1,rural,23,hombre,11_a_20,1,0.0,981.1050896528159,0.0,
2025,1,rural,23,hombre,1_persona,1,0.0,981.1050896528159,0.0,
2025,1,rural,23,hombre,21_a_30,1,0.0,981.1050896528159,0.0,
2025,1,rural,23,hombre,2_a_5,1,981.1050896528159,981.1050896528159,100.0,0.0
2025,1,rural,23,hombre,31_a_50,1,0.0,981.1050896528159,0.0,
2025,1,rural,23,hombre,51_a_100,1,0.0,981.1050896528159,0.0,
2025,1,rural,23,hombre,6_a_10,1,0.0,981.1050896528159,0.0,
2025,1,rural,24,hombre,101_o_mas,1,0.0,1246.6607953838932,0.0,
2025,1,rural,24,hombre,11_a_20,1,0.0,1246.6607953838932,0.0,
2025,1,rural,24,hombre,1_persona,1,0.0,1246.6607953838932,0.0,
2025,1,rural,24,hombre,21_a_30,1,0.0,1246.6607953838932,0.0,
2025,1,rural,24,hombre,2_a_5,1,1246.6607953838932,1246.6607953838932,100.0,0.0
2025,1,rural,24,hombre,31_a_50,1,0.0,1246.6607953838932,0.0,
2025,1,rural,24,hombre,51_a_100,1,0.0,1246.6607953838932,0.0,
2025,1,rural,24,hombre,6_a_10,1,0.0,1246.6607953838932,0.0,
2025,1,rural,25,hombre,101_o_mas,2,0.0,2227.765885036709,0.0,
2025,1,rural,25,hombre,11_a_20,2,0.0,2227.765885036709,0.0,
2025,1,rural,25,hombre,1_persona,2,0.0,2227.765885036709,0.0,
2025,1,rural,25,hombre,21_a_30,2,0.0,2227.765885036709,0.0,
2025,1,rural,25,hombre,2_a_5,2,2227.765885036709,2227.765885036709,100.0,0.0
2025,1,rural,25,hombre,31_a_50,2,0.0,2227.765885036709,0.0,
2025,1,rural,25,hombre,51_a_100,2,0.0,2227.765885036709,0.0,
2025,1,rural,25,hombre,6_a_10,2,0.0,2227.765885036709,0.0,
2025,1,rural,25,mujer,101_o_mas,2,0.0,3473.9969142943573,0.0,
