gestion,codigo_departamento,area,edad,sexo,observaciones,poblacion_estimada,valor,cv
2023,1,rural,16,hombre,6,3350.110282315883,6.986176164997202,0.013901975882509366
2023,1,rural,16,mujer,20,3159.070830519288,6.424007915063404,0.03997755401411852
2023,1,rural,17,hombre,5,3201.072690517141,7.232136163033977,0.06652885022148874
2023,1,rural,17,mujer,21,3772.8228004866387,6.435090475697112,0.049354415555219654
2023,1,rural,18,hombre,2,676.2400348882118,6.3568014574272285,0.09707506901406218
2023,1,rural,18,mujer,17,2959.356200119773,7.338831541286213,0.02272655959775489
2023,1,rural,19,hombre,2,864.9651963760416,6.530381724461936,0.05393987928805063
2023,1,rural,19,mujer,8,1219.1646287794345,5.937095763644839,0.14470749848749923
2023,1,rural,20,hombre,3,1369.7660173646009,5.943923282643321,0.11959419774629866
2023,1,rural,20,mujer,5,647.3935788254228,6.388702778065878,0.02520125865751646
2023,1,rural,21,mujer,9,1789.8817356248028,7.019605473005534,0.00807086560676989
2023,1,rural,22,hombre,6,3683.986206555086,6.522275161886682,0.047021130512769564
2023,1,rural,22,mujer,7,1984.3234785133993,7.220480922830113,0.03465631341326569
2023,1,rural,23,hombre,3,2193.569319817429,7.306597817346418,0.07646998648674529
2023,1,rural,23,mujer,10,1396.9884184675866,6.836505770376383,0.07067471289967835
2023,1,rural,24,hombre,5,2346.8175301449205,6.628607805776508,0.0779667101250218
2023,1,rural,24,mujer,9,1624.6832453164125,6.758817335351014,0.06017071603741875
2023,1,rural,25,hombre,3,746.8123357930996,7.249263073374545,0.0331792407446073
2023,1,rural,25,mujer,7,1832.774158208931,7.133275679965432,0.035877673623020113
2023,1,rural,26,hombre,6,2148.796296379271,7.244094746428093,0.024281652853787375
2023,1,rural,26,mujer,7,1447.5038828183851,6.926948159107911,0.03556415406851398
2023,1,rural,27,hombre,4,1331.0047220255312,7.097178780051309,0.05810225630713563
2023,1,rural,27,mujer,12,2256.1033475577874,6.7080393218328656,0.05084721218083759
2023,1,rural,28,hombre,5,2647.822466857091,6.645308981282403,0.05484151319119044
2023,1,rural,28,mujer,9,1405.1336764992636,7.067930598050167,0.02195752491024205
2023,1,urbana,16,hombre,6,2055.702082431168,7.290349738209532,0.027630604599349868
2023,1,urbana,16,mujer,30,3326.126396608857,7.372385267251117,0.02030717884957628
2023,1,urbana,17,hombre,13,4235.426353292328,7.324845366572554,0.03138874364447881
2023,1,urbana,17,mujer,28,3457.984927909505,7.152247843404463,0.021928222016617673
2023,1,urbana,18,hombre,8,2468.889495678104,7.42525015987063,0.05045607096554964
2023,1,urbana,18,mujer,22,2787.442702356262,6.981041190783631,0.028990973123168083
2023,1,urbana,19,hombre,8,2814.2285725506363,7.145403067941741,0.04509644373548947
2023,1,urbana,19,mujer,22,2656.6169878143037,7.108242286882469,0.0349289172425492
2023,1,urbana,20,hombre,8,2506.543714573438,7.415355178337841,0.025671811458599942
2023,1,urbana,20,mujer,24,3447.8453952892573,6.937261572280409,0.03156740168317725
2023,1,urbana,21,hombre,9,3421.6433537731978,7.3417546832170615,0.022115559448762163
2023,1,urbana,21,mujer,23,2941.7695656434435,7.471422408274806,0.01971242140169271
2023,1,urbana,22,hombre,11,4491.21873840391,7.233342095252519,0.03326173688394044
2023,1,urbana,22,mujer,23,2752.0287524425275,7.04060794568186,0.03042550859470279
2023,1,urbana,23,hombre,15,5272.924631866527,7.358178924479022,0.02014407735006483
2023,1,urbana,23,mujer,34,4522.5274714682755,7.065856933173196,0.022124485324767497
2023,1,urbana,24,hombre,11,4255.81094347451,7.3376759636410345,0.02489740216815166
2023,1,urbana,24,mujer,35,4581.724925046817,7.324096124947816,0.0167028336272765
2023,1,urbana,25,hombre,9,3198.8432487309406,6.96358562392651,0.033053908335259403
2023,1,urbana,25,mujer,34,4646.53521556733,7.1635669344229385,0.025151022533076398
2023,1,urbana,26,hombre,10,3554.156023446256,7.331433528177469,0.020188456245742364
2023,1,urbana,26,mujer,23,3151.6023381027376,7.1076969829962335,0.03688202326088202
