gestion,codigo_municipio,area,sexo,edad,numerador,denominador,valor
2024,10101,rural,hombre,16,185,2038,9.077526987242395
2024,10101,rural,hombre,17,166,2038,8.145240431795878
2024,10101,rural,hombre,18,155,2038,7.60549558390579
2024,10101,rural,hombre,19,147,2038,7.212953876349362
2024,10101,rural,hombre,20,142,2038,6.967615309126595
2024,10101,rural,hombre,21,121,2038,5.937193326790972
2024,10101,rural,hombre,22,147,2038,7.212953876349362
2024,10101,rural,hombre,23,172,2038,8.4396467124632
2024,10101,rural,hombre,24,170,2038,8.341511285574093
2024,10101,rural,hombre,25,185,2038,9.077526987242395
2024,10101,rural,hombre,26,151,2038,7.409224730127576
2024,10101,rural,hombre,27,159,2038,7.801766437684004
2024,10101,rural,hombre,28,138,2038,6.77134445534838
2024,10101,rural,mujer,16,161,1871,8.60502405130946
2024,10101,rural,mujer,17,154,1871,8.230892570817744
2024,10101,rural,mujer,18,153,1871,8.177445216461786
2024,10101,rural,mujer,19,126,1871,6.734366648850882
2024,10101,rural,mujer,20,117,1871,6.253340459647247
2024,10101,rural,mujer,21,145,1871,7.74986638161411
2024,10101,rural,mujer,22,132,1871,7.055050774986638
2024,10101,rural,mujer,23,155,1871,8.284339925173704
2024,10101,rural,mujer,24,165,1871,8.818813468733298
2024,10101,rural,mujer,25,143,1871,7.642971672902191
2024,10101,rural,mujer,26,145,1871,7.74986638161411
2024,10101,rural,mujer,27,154,1871,8.230892570817744
2024,10101,rural,mujer,28,121,1871,6.467129877071085
2024,10101,urbana,hombre,16,2567,36921,6.952682755071639
2024,10101,urbana,hombre,17,2754,36921,7.459169578288779
2024,10101,urbana,hombre,18,2978,36921,8.065870371875084
2024,10101,urbana,hombre,19,2896,36921,7.843774545651526
2024,10101,urbana,hombre,20,2885,36921,7.813981203109342
2024,10101,urbana,hombre,21,2907,36921,7.873567888193711
2024,10101,urbana,hombre,22,2892,36921,7.832940602908914
2024,10101,urbana,hombre,23,3041,36921,8.236504970071234
2024,10101,urbana,hombre,24,3128,36921,8.472143224723057
2024,10101,urbana,hombre,25,2829,36921,7.662306004712765
2024,10101,urbana,hombre,26,2787,36921,7.5485496059153325
2024,10101,urbana,hombre,27,2589,36921,7.012269440156008
2024,10101,urbana,hombre,28,2668,36921,7.226239809322608
2024,10101,urbana,mujer,16,2598,38144,6.811031879194631
2024,10101,urbana,mujer,17,2731,38144,7.159710570469799
2024,10101,urbana,mujer,18,3017,38144,7.909500838926174
2024,10101,urbana,mujer,19,3028,38144,7.938338926174497
2024,10101,urbana,mujer,20,2950,38144,7.73385067114094
2024,10101,urbana,mujer,21,3073,38144,8.056312919463087
2024,10101,urbana,mujer,22,3027,38144,7.935717281879195
2024,10101,urbana,mujer,23,3247,38144,8.512479026845638
2024,10101,urbana,mujer,24,3185,38144,8.349937080536913
2024,10101,urbana,mujer,25,2936,38144,7.697147651006712
2024,10101,urbana,mujer,26,2894,38144,7.587038590604027
2024,10101,urbana,mujer,27,2770,38144,7.261954697986577
2024,10101,urbana,mujer,28,2688,38144,7.046979865771812
2024,10102,rural,hombre,16,96,966,9.937888198757763
2024,10102,rural,hombre,17,78,966,8.074534161490684
2024,10102,rural,hombre,18,75,966,7.763975155279503
2024,10102,rural,hombre,19,59,966,6.107660455486543
2024,10102,rural,hombre,20,83,966,8.592132505175984
2024,10102,rural,hombre,21,73,966,7.556935817805383
2024,10102,rural,hombre,22,68,966,7.0393374741200825
2024,10102,rural,hombre,23,75,966,7.763975155279503
2024,10102,rural,hombre,24,69,966,7.142857142857143
2024,10102,rural,hombre,25,67,966,6.935817805383023
2024,10102,rural,hombre,26,75,966,7.763975155279503
2024,10102,rural,hombre,27,76,966,7.867494824016563
2024,10102,rural,hombre,28,72,966,7.453416149068323
2024,10102,rural,mujer,16,86,947,9.081309398099261
2024,10102,rural,mujer,17,75,947,7.9197465681098205
2024,10102,rural,mujer,18,68,947,7.1805702217529035
2024,10102,rural,mujer,19,72,947,7.602956705385427
2024,10102,rural,mujer,20,66,947,6.969376979936642
2024,10102,rural,mujer,21,70,947,7.391763463569165
2024,10102,rural,mujer,22,64,947,6.75818373812038
2024,10102,rural,mujer,23,71,947,7.497360084477297
2024,10102,rural,mujer,24,78,947,8.236536430834214
2024,10102,rural,mujer,25,72,947,7.602956705385427
2024,10102,rural,mujer,26,81,947,8.553326293558607
2024,10102,rural,mujer,27,69,947,7.286166842661035
2024,10102,rural,mujer,28,75,947,7.9197465681098205
2024,10103,rural,hombre,16,154,1351,11.398963730569948
2024,10103,rural,hombre,17,135,1351,9.99259807549963
2024,10103,rural,hombre,18,131,1351,9.696521095484826
2024,10103,rural,hombre,19,95,1351,7.031828275351591
2024,10103,rural,hombre,20,112,1351,8.290155440414507
2024,10103,rural,hombre,21,100,1351,7.401924500370097
2024,10103,rural,hombre,22,87,1351,6.439674315321984
2024,10103,rural,hombre,23,99,1351,7.327905255366395
2024,10103,rural,hombre,24,86,1351,6.365655070318283
2024,10103,rural,hombre,25,88,1351,6.5136935603256845
2024,10103,rural,hombre,26,86,1351,6.365655070318283
2024,10103,rural,hombre,27,94,1351,6.9578090303478906
2024,10103,rural,hombre,28,84,1351,6.217616580310881
2024,10103,rural,mujer,16,139,1261,11.022997620935765
2024,10103,rural,mujer,17,120,1261,9.516256938937351
2024,10103,rural,mujer,18,121,1261,9.595559080095162
2024,10103,rural,mujer,19,104,1261,8.24742268041237
2024,10103,rural,mujer,20,89,1261,7.057890563045202
2024,10103,rural,mujer,21,102,1261,8.088818398096748
2024,10103,rural,mujer,22,80,1261,6.3441712926249005
2024,10103,rural,mujer,23,100,1261,7.930214115781126
2024,10103,rural,mujer,24,96,1261,7.613005551149881
2024,10103,rural,mujer,25,75,1261,5.947660586835845
2024,10103,rural,mujer,26,74,1261,5.868358445678033
2024,10103,rural,mujer,27,70,1261,5.551149881046788
2024,10103,rural,mujer,28,91,1261,7.216494845360825
2024,10201,rural,hombre,16,84,705,11.914893617021276
2024,10201,rural,hombre,17,76,705,10.78014184397163
2024,10201,rural,hombre,18,58,705,8.22695035460993
2024,10201,rural,hombre,19,45,705,6.382978723404255
2024,10201,rural,hombre,20,43,705,6.099290780141844
2024,10201,rural,hombre,21,56,705,7.943262411347518
2024,10201,rural,hombre,22,43,705,6.099290780141844
2024,10201,rural,hombre,23,69,705,9.787234042553191
2024,10201,rural,hombre,24,51,705,7.23404255319149
2024,10201,rural,hombre,25,54,705,7.659574468085107
2024,10201,rural,hombre,26,46,705,6.524822695035461
2024,10201,rural,hombre,27,46,705,6.524822695035461
2024,10201,rural,hombre,28,34,705,4.822695035460993
2024,10201,rural,mujer,16,73,691,10.5643994211288
2024,10201,rural,mujer,17,80,691,11.577424023154848
2024,10201,rural,mujer,18,62,691,8.972503617945007
2024,10201,rural,mujer,19,57,691,8.24891461649783
2024,10201,rural,mujer,20,42,691,6.078147612156295
2024,10201,rural,mujer,21,44,691,6.367583212735166
2024,10201,rural,mujer,22,38,691,5.499276410998553
2024,10201,rural,mujer,23,55,691,7.959479015918958
2024,10201,rural,mujer,24,38,691,5.499276410998553
2024,10201,rural,mujer,25,53,691,7.6700434153400865
2024,10201,rural,mujer,26,49,691,7.091172214182344
2024,10201,rural,mujer,27,50,691,7.23589001447178
2024,10201,rural,mujer,28,50,691,7.23589001447178
2024,10202,rural,hombre,16,160,1789,8.943543879262158
2024,10202,rural,hombre,17,176,1789,9.837898267188374
2024,10202,rural,hombre,18,153,1789,8.552263834544439
2024,10202,rural,hombre,19,160,1789,8.943543879262158
2024,10202,rural,hombre,20,141,1789,7.881498043599777
2024,10202,rural,hombre,21,115,1789,6.428172163219676
2024,10202,rural,hombre,22,117,1789,6.539966461710453
2024,10202,rural,hombre,23,140,1789,7.8256008943543875
2024,10202,rural,hombre,24,117,1789,6.539966461710453
2024,10202,rural,hombre,25,168,1789,9.390721073225265
2024,10202,rural,hombre,26,104,1789,5.813303521520402
2024,10202,rural,hombre,27,120,1789,6.707657909446619
2024,10202,rural,hombre,28,118,1789,6.595863610955841
2024,10202,rural,mujer,16,170,1984,8.568548387096774
2024,10202,rural,mujer,17,153,1984,7.711693548387097
2024,10202,rural,mujer,18,211,1984,10.63508064516129
2024,10202,rural,mujer,19,173,1984,8.71975806451613
2024,10202,rural,mujer,20,176,1984,8.870967741935484
2024,10202,rural,mujer,21,125,1984,6.300403225806452
2024,10202,rural,mujer,22,146,1984,7.358870967741935
2024,10202,rural,mujer,23,163,1984,8.215725806451612
2024,10202,rural,mujer,24,154,1984,7.762096774193548
2024,10202,rural,mujer,25,148,1984,7.459677419354839
2024,10202,rural,mujer,26,127,1984,6.401209677419355
2024,10202,rural,mujer,27,114,1984,5.745967741935484
2024,10202,rural,mujer,28,124,1984,6.25
2024,10301,rural,hombre,16,87,1240,7.016129032258065
2024,10301,rural,hombre,17,81,1240,6.532258064516129
2024,10301,rural,hombre,18,90,1240,7.258064516129032
2024,10301,rural,hombre,19,104,1240,8.387096774193548
2024,10301,rural,hombre,20,99,1240,7.983870967741935
2024,10301,rural,hombre,21,95,1240,7.661290322580645
2024,10301,rural,hombre,22,91,1240,7.338709677419355
2024,10301,rural,hombre,23,102,1240,8.225806451612904
2024,10301,rural,hombre,24,120,1240,9.67741935483871
2024,10301,rural,hombre,25,101,1240,8.14516129032258
2024,10301,rural,hombre,26,93,1240,7.5
2024,10301,rural,hombre,27,78,1240,6.290322580645161
2024,10301,rural,hombre,28,99,1240,7.983870967741935
