gestion,codigo_departamento,area,edad,sexo,lugar_atencion,observaciones,numerador,denominador,valor,cv
2023,1,rural,16.0,hombre,caja_o_seguro,2,0.0,350.3055433869158,0.0,
2023,1,rural,16.0,hombre,farmacia,2,0.0,350.3055433869158,0.0,
2023,1,rural,16.0,hombre,medicina_tradicional,2,0.0,350.3055433869158,0.0,
2023,1,rural,16.0,hombre,otra_atencion,2,0.0,350.3055433869158,0.0,
2023,1,rural,16.0,hombre,servicio_privado,2,0.0,350.3055433869158,0.0,
2023,1,rural,16.0,hombre,servicio_publico,2,350.3055433869158,350.3055433869158,100.0,0.0
2023,1,rural,16.0,mujer,caja_o_seguro,4,0.0,542.7396606875935,0.0,
2023,1,rural,16.0,mujer,farmacia,4,0.0,542.7396606875935,0.0,
2023,1,rural,16.0,mujer,medicina_tradicional,4,0.0,542.7396606875935,0.0,
2023,1,rural,16.0,mujer,otra_atencion,4,0.0,542.7396606875935,0.0,
2023,1,rural,16.0,mujer,servicio_privado,4,0.0,542.7396606875935,0.0,
2023,1,rural,16.0,mujer,servicio_publico,4,542.7396606875935,542.7396606875935,100.0,0.0
2023,1,rural,17.0,hombre,caja_o_seguro,7,62.657336861416844,1392.4201507598102,4.4998872522224165,1.051033215674877
2023,1,rural,17.0,hombre,farmacia,7,0.0,1392.4201507598102,0.0,
2023,1,rural,17.0,hombre,medicina_tradicional,7,245.2720091548704,1392.4201507598102,17.61479888243727,0.9252391244599797
2023,1,rural,17.0,hombre,otra_atencion,7,0.0,1392.4201507598102,0.0,
2023,1,rural,17.0,hombre,servicio_privado,7,260.79506215632034,1392.4201507598102,18.729624245527525,0.9181182980213248
2023,1,rural,17.0,hombre,servicio_publico,7,823.6957425872026,1392.4201507598102,59.15568961981279,0.36914773097157866
2023,1,rural,17.0,mujer,caja_o_seguro,8,456.3456722056884,1600.681113515207,28.50946814781375,0.8146877995060711
2023,1,rural,17.0,mujer,farmacia,8,63.90219917892792,1600.681113515207,3.9921879904357875,1.0645227826064632
2023,1,rural,17.0,mujer,medicina_tradicional,8,0.0,1600.681113515207,0.0,
2023,1,rural,17.0,mujer,otra_atencion,8,0.0,1600.681113515207,0.0,
2023,1,rural,17.0,mujer,servicio_privado,8,0.0,1600.681113515207,0.0,
2023,1,rural,17.0,mujer,servicio_publico,8,1080.4332421305905,1600.681113515207,67.49834386175046,0.34248684496069015
2023,1,rural,18.0,hombre,caja_o_seguro,2,0.0,220.67303631674517,0.0,
2023,1,rural,18.0,hombre,farmacia,2,0.0,220.67303631674517,0.0,
2023,1,rural,18.0,hombre,medicina_tradicional,2,0.0,220.67303631674517,0.0,
2023,1,rural,18.0,hombre,otra_atencion,2,0.0,220.67303631674517,0.0,
2023,1,rural,18.0,hombre,servicio_privado,2,0.0,220.67303631674517,0.0,
2023,1,rural,18.0,hombre,servicio_publico,2,220.67303631674517,220.67303631674517,100.0,0.0
2023,1,rural,18.0,mujer,caja_o_seguro,5,0.0,1074.4026161082618,0.0,
2023,1,rural,18.0,mujer,farmacia,5,111.20999183195201,1074.4026161082618,10.350867557897493,1.0375727001704897
2023,1,rural,18.0,mujer,medicina_tradicional,5,0.0,1074.4026161082618,0.0,
2023,1,rural,18.0,mujer,otra_atencion,5,0.0,1074.4026161082618,0.0,
2023,1,rural,18.0,mujer,servicio_privado,5,0.0,1074.4026161082618,0.0,
2023,1,rural,18.0,mujer,servicio_publico,5,1074.4026161082618,1074.4026161082618,100.0,0.0
2023,1,rural,19.0,hombre,caja_o_seguro,2,0.0,220.67303631674514,0.0,
2023,1,rural,19.0,hombre,farmacia,2,0.0,220.67303631674514,0.0,
2023,1,rural,19.0,hombre,medicina_tradicional,2,0.0,220.67303631674514,0.0,
2023,1,rural,19.0,hombre,otra_atencion,2,0.0,220.67303631674514,0.0,
2023,1,rural,19.0,hombre,servicio_privado,2,0.0,220.67303631674514,0.0,
2023,1,rural,19.0,hombre,servicio_publico,2,220.67303631674514,220.67303631674514,100.0,0.0
2023,1,rural,19.0,mujer,caja_o_seguro,3,0.0,384.5131654711456,0.0,
2023,1,rural,19.0,mujer,farmacia,3,117.63133922435428,384.5131654711456,30.592278701359966,0.8706166693313079
2023,1,rural,19.0,mujer,medicina_tradicional,3,0.0,384.5131654711456,0.0,
2023,1,rural,19.0,mujer,otra_atencion,3,0.0,384.5131654711456,0.0,
2023,1,rural,19.0,mujer,servicio_privado,3,0.0,384.5131654711456,0.0,
2023,1,rural,19.0,mujer,servicio_publico,3,266.8818262467913,384.5131654711456,69.40772129864004,0.38373465216693387
2023,1,rural,20.0,hombre,caja_o_seguro,3,0.0,429.923600666893,0.0,
2023,1,rural,20.0,hombre,farmacia,3,57.91854667862062,429.923600666893,13.471823037576439,1.1283298175996792
2023,1,rural,20.0,hombre,medicina_tradicional,3,0.0,429.923600666893,0.0,
2023,1,rural,20.0,hombre,otra_atencion,3,0.0,429.923600666893,0.0,
2023,1,rural,20.0,hombre,servicio_privado,3,260.79506215632034,429.923600666893,60.66079223187045,0.47526756093429345
2023,1,rural,20.0,hombre,servicio_publico,3,111.20999183195201,429.923600666893,25.867384730553113,0.9877422217628873
2023,1,rural,20.0,mujer,caja_o_seguro,2,0.0,257.16405836313373,0.0,
2023,1,rural,20.0,mujer,farmacia,2,0.0,257.16405836313373,0.0,
2023,1,rural,20.0,mujer,medicina_tradicional,2,113.54440000781746,257.16405836313373,44.15251521948094,0.8157047251791132
2023,1,rural,20.0,mujer,otra_atencion,2,0.0,257.16405836313373,0.0,
2023,1,rural,20.0,mujer,servicio_privado,2,0.0,257.16405836313373,0.0,
2023,1,rural,20.0,mujer,servicio_publico,2,257.16405836313373,257.16405836313373,100.0,0.0
2023,1,rural,21.0,mujer,caja_o_seguro,5,0.0,1074.5215157096545,0.0,
2023,1,rural,21.0,mujer,farmacia,5,0.0,1074.5215157096545,0.0,
2023,1,rural,21.0,mujer,medicina_tradicional,5,0.0,1074.5215157096545,0.0,
2023,1,rural,21.0,mujer,otra_atencion,5,0.0,1074.5215157096545,0.0,
2023,1,rural,21.0,mujer,servicio_privado,5,334.8845684507295,1074.5215157096545,31.16592488420849,0.5317180108052458
2023,1,rural,21.0,mujer,servicio_publico,5,739.6369472589251,1074.5215157096545,68.83407511579152,0.24074535114274112
2023,1,rural,22.0,hombre,caja_o_seguro,3,0.0,692.3103919263713,0.0,
2023,1,rural,22.0,hombre,farmacia,3,152.41269866278463,692.3103919263713,22.01508173793151,0.975585083035549
2023,1,rural,22.0,hombre,medicina_tradicional,3,0.0,692.3103919263713,0.0,
2023,1,rural,22.0,hombre,otra_atencion,3,0.0,692.3103919263713,0.0,
2023,1,rural,22.0,hombre,servicio_privado,3,152.41269866278463,692.3103919263713,22.01508173793151,0.975585083035549
2023,1,rural,22.0,hombre,servicio_publico,3,539.8976932635867,692.3103919263713,77.98491826206849,0.27540690974579
