gestion,codigo_departamento,area,edad,sexo,observaciones,numerador,denominador,valor,cv
2025,1,rural,16,hombre,1,0.0,1820.33609053951,0.0,
2025,1,rural,16,mujer,3,0.0,2919.66033574432,0.0,
2025,1,rural,17,hombre,5,0.0,4066.3497109633345,0.0,
2025,1,rural,17,mujer,1,0.0,1820.33609053951,0.0,
2025,1,rural,20,mujer,1,0.0,1246.6607953838932,0.0,
2025,1,rural,21,mujer,2,0.0,3053.494590539553,0.0,
2025,1,rural,22,hombre,1,0.0,544.3550820009172,0.0,
2025,1,rural,23,hombre,1,0.0,981.1050896528159,0.0,
2025,1,rural,24,hombre,1,0.0,1246.6607953838932,0.0,
2025,1,rural,25,hombre,2,0.0,2227.765885036709,0.0,
2025,1,rural,25,mujer,2,0.0,3473.9969142943573,0.0,
2025,1,rural,26,hombre,3,0.0,4119.977823754933,0.0,
2025,1,rural,26,mujer,1,0.0,1820.33609053951,0.0,
2025,1,rural,27,hombre,2,0.0,3066.996885923403,0.0,
2025,1,rural,28,mujer,1,0.0,544.3550820009172,0.0,
2025,1,urbana,16,hombre,9,245.5121716814403,1264.3899690788714,19.41744063821543,0.8854070815222174
2025,1,urbana,16,mujer,14,161.31833881235855,1620.3898361009465,9.955526455320769,0.9650698404105268
2025,1,urbana,17,hombre,15,0.0,1873.0079336964063,0.0,
2025,1,urbana,17,mujer,11,200.0262665879947,1247.4699125781058,16.034556390591167,0.9039865108264324
2025,1,urbana,18,hombre,11,82.83531353049973,1918.3421057793423,4.318067839982442,1.0165131795420523
2025,1,urbana,18,mujer,12,531.5867066286108,1630.027300900632,32.61213516699355,0.4629967625734105
2025,1,urbana,19,hombre,18,396.7010380205703,2393.4663326097243,16.574331237324152,0.5428597231446499
2025,1,urbana,19,mujer,13,760.0633463340555,1777.104599175461,42.76975855482614,0.35691663214598945
2025,1,urbana,20,hombre,15,506.3111405856124,1648.4311811295556,30.714727213463195,0.4213377533223004
2025,1,urbana,20,mujer,12,280.1019796842545,1413.876680799808,19.81092010979382,0.6762028558962654
2025,1,urbana,21,hombre,10,0.0,1152.6379525018835,0.0,
2025,1,urbana,21,mujer,13,92.6707961933403,1665.9802560762432,5.562538682877357,0.9845944862924753
2025,1,urbana,22,hombre,20,177.25015301640894,2770.0223657836214,6.398870825227652,0.9760446678130379
2025,1,urbana,22,mujer,16,338.7166495905725,1951.9009883926137,17.353167584053786,0.4926749892918736
2025,1,urbana,23,hombre,13,486.6942599060089,2128.699893244946,22.863451135148143,0.5643824836248343
2025,1,urbana,23,mujer,17,622.0442768413704,2116.30624713645,29.39292352810712,0.34820040490024845
2025,1,urbana,24,hombre,16,733.9364780134737,2767.419769551338,26.520605442247803,0.5464589381246807
2025,1,urbana,24,mujer,20,572.2207183497645,2371.129413856741,24.13283370387716,0.34786606350926685
2025,1,urbana,25,hombre,22,384.7240955068337,3246.6273014609983,11.849961815256895,0.5328326879868556
2025,1,urbana,25,mujer,20,551.5824840430803,2533.2402514438095,21.77379282240238,0.3940806137403225
2025,1,urbana,26,hombre,22,977.5407130974703,2809.8565875530126,34.78970127613417,0.3140232572425608
2025,1,urbana,26,mujer,18,791.1597643992275,2310.8731613578047,34.236399367517166,0.36610598249574716
2025,1,urbana,27,hombre,16,506.02838055425525,2169.3708041537548,23.326043642947006,0.4625495405852562
2025,1,urbana,27,mujer,16,255.27434311307212,2027.7853234823149,12.588824870015806,0.7314353055918629
2025,1,urbana,28,hombre,20,842.2777308146061,2572.960218517483,32.735746349779134,0.3548412579568874
2025,1,urbana,28,mujer,23,952.230507949149,2183.4458721382407,43.611363125600775,0.19745889452276844
2025,2,rural,16,hombre,21,0.0,9699.14621688717,0.0,
2025,2,rural,16,mujer,17,0.0,7693.813559736911,0.0,
2025,2,rural,17,hombre,12,0.0,5764.714245740738,0.0,
2025,2,rural,17,mujer,27,0.0,13584.92743787339,0.0,
2025,2,rural,18,hombre,14,0.0,5805.180578105167,0.0,
2025,2,rural,18,mujer,19,0.0,8726.447407857497,0.0,
2025,2,rural,19,hombre,11,0.0,4788.797277053456,0.0,
2025,2,rural,19,mujer,11,0.0,6160.110621912662,0.0,
2025,2,rural,20,hombre,8,0.0,3845.6334520977607,0.0,
2025,2,rural,20,mujer,10,0.0,4781.889541953844,0.0,
2025,2,rural,21,hombre,6,0.0,2903.163669305338,0.0,
2025,2,rural,21,mujer,18,0.0,8419.887863644644,0.0,
2025,2,rural,22,hombre,15,0.0,7558.855364789796,0.0,
2025,2,rural,22,mujer,8,0.0,4159.236720028763,0.0,
2025,2,rural,23,hombre,17,0.0,7383.311737667809,0.0,
2025,2,rural,23,mujer,6,0.0,2471.7206229544367,0.0,
2025,2,rural,24,hombre,13,492.1027818344313,5546.120133057384,8.872919627205263,0.6983904210554085
2025,2,rural,24,mujer,9,0.0,4185.4358828171835,0.0,
2025,2,rural,25,hombre,10,608.6801020206308,5320.828678812608,11.43957339660978,0.7555071708965276
2025,2,rural,25,mujer,21,908.8563874277863,10984.440154845403,8.274034676468023,0.8654425850838883
2025,2,rural,26,hombre,16,336.2631935077611,7399.094278469192,4.544653451521246,0.784017490274071
2025,2,rural,26,mujer,7,0.0,2762.387455514055,0.0,
2025,2,rural,27,hombre,10,683.6127842093781,3216.0594440538875,21.256223527624684,0.6476628847181055
2025,2,rural,27,mujer,16,0.0,8048.250708204057,0.0,
2025,2,rural,28,hombre,8,0.0,3897.469151787571,0.0,
2025,2,rural,28,mujer,10,0.0,4127.170587843896,0.0,
2025,2,urbana,16,hombre,55,399.5226906733857,10471.165591159082,3.8154557598698178,0.792282420391966
2025,2,urbana,16,mujer,58,119.2057216841585,9645.818735089491,1.23582792666954,0.9882614337453568
2025,2,urbana,17,hombre,47,340.52533424871405,7833.775553496524,4.346886529021425,0.7015774466627139
2025,2,urbana,17,mujer,56,437.12549140621013,10288.901862167553,4.248514537917084,0.7362957855236884
2025,2,urbana,18,hombre,54,995.3361821074797,12265.563598611338,8.114883381471097,0.645395376548499
2025,2,urbana,18,mujer,67,901.1441886798115,11465.605078193215,7.859543238531084,0.43371606322991063
2025,2,urbana,19,hombre,59,1687.2930519045367,10259.63271908173,16.445940104331093,0.34149740637232057
2025,2,urbana,19,mujer,43,433.8034392934175,8151.317314477135,5.321881391158231,0.6981126878045735
2025,2,urbana,20,hombre,43,1265.1879553029416,7567.982341708056,16.717638839223227,0.39391163233749105
2025,2,urbana,20,mujer,66,1570.3857826314024,12794.750057989373,12.273672994892253,0.36066288326779977
2025,2,urbana,21,hombre,67,2183.8274250506283,12963.475481939202,16.846002664124686,0.3610754334684744
2025,2,urbana,21,mujer,36,566.5694592961238,6672.429345914741,8.491202078340649,0.6390434030154671
2025,2,urbana,22,hombre,54,1136.248434330837,11071.625963506198,10.262706110882798,0.42699340728140994
2025,2,urbana,22,mujer,63,1917.9619728450102,12313.429249332015,15.576180558710377,0.3053267906339482
2025,2,urbana,23,hombre,72,2794.72498286346,13992.677497531942,19.972767780550928,0.3310937723350103
2025,2,urbana,23,mujer,67,2656.34130347635,11995.014836391925,22.145377389757122,0.2862619468304774
2025,2,urbana,24,hombre,57,2341.9172795989216,11233.145212150755,20.84827744473292,0.2735385995922717
2025,2,urbana,24,mujer,42,634.5647364035366,8187.834054337162,7.750092786350531,0.513506778002013
2025,2,urbana,25,hombre,81,4871.6169584416075,18017.129494851095,27.03880748503145,0.20799071889965787
2025,2,urbana,25,mujer,61,1976.284091661344,12122.661900642928,16.302393878992298,0.32817986463344734
2025,2,urbana,26,hombre,71,3444.6098821400456,15108.658404741951,22.798912979983267,0.24818485226272824
2025,2,urbana,26,mujer,63,3101.764434715623,12430.050542585084,24.953755610961075,0.2821180208678033
2025,2,urbana,27,hombre,67,2773.8060861052836,12221.951181409375,22.69528036018077,0.26539094665771307
2025,2,urbana,27,mujer,63,2215.0611078480474,11520.56028628836,19.227025880715086,0.29552663190838757
2025,2,urbana,28,hombre,80,3658.9663567153584,17194.42122025923,21.279962319430688,0.24165664040169277
2025,2,urbana,28,mujer,72,5110.3363130039,16012.844048408531,31.913982909936607,0.22517501273752322
2025,3,rural,16,hombre,15,0.0,4829.699473020811,0.0,
2025,3,rural,16,mujer,10,0.0,5603.838988916109,0.0,
2025,3,rural,17,hombre,9,804.3297359693652,4665.830242125627,17.238726962405178,0.948987813793567
2025,3,rural,17,mujer,9,0.0,4214.819183146919,0.0,
2025,3,rural,18,hombre,11,0.0,4262.611601011606,0.0,
2025,3,rural,18,mujer,10,0.0,4470.221948288914,0.0,
2025,3,rural,19,hombre,9,0.0,3512.0215036555,0.0,
2025,3,rural,19,mujer,7,1144.6878623242349,3437.6069647742293,33.2989743753156,0.5998270352480216
2025,3,rural,20,hombre,5,0.0,1404.4118340872687,0.0,
2025,3,rural,20,mujer,4,0.0,1263.2324391070358,0.0,
2025,3,rural,21,hombre,6,340.35812635486974,2907.401221694287,11.706610144317342,0.984417747639115
2025,3,rural,21,mujer,4,0.0,2181.8859247770115,0.0,
2025,3,rural,22,hombre,7,1104.196268098785,3234.1794381920704,34.14146584012786,0.4838776465197367
2025,3,rural,22,mujer,5,0.0,2581.2452203427365,0.0,
2025,3,rural,23,hombre,5,0.0,2821.6684938740887,0.0,
2025,3,rural,23,mujer,4,0.0,1934.13333106222,0.0,
2025,3,rural,24,hombre,3,0.0,1172.55067867973,0.0,
2025,3,rural,24,mujer,6,373.0848692736071,2578.6808037011847,14.468051599799317,0.8319459583578436
2025,3,rural,25,hombre,7,0.0,4020.961735011566,0.0,
2025,3,rural,25,mujer,4,490.8138724666121,1746.8828337060484,28.096553643803357,0.8955641416286871
2025,3,rural,26,hombre,5,490.8138724666121,1833.4974315819532,26.769269703483296,0.8379475906740718
