gestion,codigo_municipio,area,edad,sexo,valor
2024,10103,rural,20,hombre,112
2024,10103,rural,20,mujer,89
2024,10103,rural,21,hombre,100
2024,10103,rural,21,mujer,102
2024,10103,rural,22,hombre,87
2024,10103,rural,22,mujer,80
2024,10103,rural,23,hombre,99
2024,10103,rural,23,mujer,100
2024,10103,rural,24,hombre,86
2024,10103,rural,24,mujer,96
2024,10103,rural,25,hombre,88
2024,10103,rural,25,mujer,75
2024,10103,rural,26,hombre,86
2024,10103,rural,26,mujer,74
2024,10103,rural,27,hombre,94
2024,10103,rural,27,mujer,70
2024,10103,rural,28,hombre,84
2024,10103,rural,28,mujer,91
2024,10201,rural,16,hombre,84
2024,10201,rural,16,mujer,73
2024,10201,rural,17,hombre,76
2024,10201,rural,17,mujer,80
2024,10201,rural,18,hombre,58
2024,10201,rural,18,mujer,62
2024,10201,rural,19,hombre,45
2024,10201,rural,19,mujer,57
2024,10201,rural,20,hombre,43
2024,10201,rural,20,mujer,42
2024,10201,rural,21,hombre,56
2024,10201,rural,21,mujer,44
2024,10201,rural,22,hombre,43
2024,10201,rural,22,mujer,38
2024,10201,rural,23,hombre,69
2024,10201,rural,23,mujer,55
2024,10201,rural,24,hombre,51
2024,10201,rural,24,mujer,38
2024,10201,rural,25,hombre,54
2024,10201,rural,25,mujer,53
2024,10201,rural,26,hombre,46
2024,10201,rural,26,mujer,49
2024,10201,rural,27,hombre,46
2024,10201,rural,27,mujer,50
2024,10201,rural,28,hombre,34
2024,10201,rural,28,mujer,50
2024,10202,rural,16,hombre,160
2024,10202,rural,16,mujer,170
2024,10202,rural,17,hombre,176
2024,10202,rural,17,mujer,153
2024,10202,rural,18,hombre,153
2024,10202,rural,18,mujer,211
2024,10202,rural,19,hombre,160
2024,10202,rural,19,mujer,173
2024,10202,rural,20,hombre,141
2024,10202,rural,20,mujer,176
2024,10202,rural,21,hombre,115
2024,10202,rural,21,mujer,125
2024,10202,rural,22,hombre,117
2024,10202,rural,22,mujer,146
2024,10202,rural,23,hombre,140
2024,10202,rural,23,mujer,163
2024,10202,rural,24,hombre,117
2024,10202,rural,24,mujer,154
2024,10202,rural,25,hombre,168
2024,10202,rural,25,mujer,148
2024,10202,rural,26,hombre,104
2024,10202,rural,26,mujer,127
2024,10202,rural,27,hombre,120
2024,10202,rural,27,mujer,114
2024,10202,rural,28,hombre,118
2024,10202,rural,28,mujer,124
2024,10301,rural,16,hombre,87
2024,10301,rural,16,mujer,72
2024,10301,rural,17,hombre,81
2024,10301,rural,17,mujer,85
2024,10301,rural,18,hombre,90
2024,10301,rural,18,mujer,72
2024,10301,rural,19,hombre,104
2024,10301,rural,19,mujer,79
2024,10301,rural,20,hombre,99
2024,10301,rural,20,mujer,104
2024,10301,rural,21,hombre,95
2024,10301,rural,21,mujer,82
2024,10301,rural,22,hombre,91
2024,10301,rural,22,mujer,70
2024,10301,rural,23,hombre,102
2024,10301,rural,23,mujer,79
2024,10301,rural,24,hombre,120
2024,10301,rural,24,mujer,76
2024,10301,rural,25,hombre,101
2024,10301,rural,25,mujer,100
2024,10301,rural,26,hombre,93
2024,10301,rural,26,mujer,80
2024,10301,rural,27,hombre,78
2024,10301,rural,27,mujer,61
2024,10301,rural,28,hombre,99
2024,10301,rural,28,mujer,83
2024,10301,urbana,16,hombre,42
2024,10301,urbana,16,mujer,39
2024,10301,urbana,17,hombre,43
2024,10301,urbana,17,mujer,41
2024,10301,urbana,18,hombre,54
2024,10301,urbana,18,mujer,42
2024,10301,urbana,19,hombre,41
2024,10301,urbana,19,mujer,35
2024,10301,urbana,20,hombre,48
2024,10301,urbana,20,mujer,46
2024,10301,urbana,21,hombre,35
2024,10301,urbana,21,mujer,48
2024,10301,urbana,22,hombre,36
2024,10301,urbana,22,mujer,38
2024,10301,urbana,23,hombre,40
2024,10301,urbana,23,mujer,47
2024,10301,urbana,24,hombre,50
2024,10301,urbana,24,mujer,45
2024,10301,urbana,25,hombre,59
2024,10301,urbana,25,mujer,39
2024,10301,urbana,26,hombre,37
2024,10301,urbana,26,mujer,40
2024,10301,urbana,27,hombre,58
2024,10301,urbana,27,mujer,28
2024,10301,urbana,28,hombre,37
2024,10301,urbana,28,mujer,43
2024,10302,rural,16,hombre,114
2024,10302,rural,16,mujer,106
2024,10302,rural,17,hombre,119
2024,10302,rural,17,mujer,95
2024,10302,rural,18,hombre,113
2024,10302,rural,18,mujer,87
2024,10302,rural,19,hombre,107
2024,10302,rural,19,mujer,98
2024,10302,rural,20,hombre,132
2024,10302,rural,20,mujer,106
2024,10302,rural,21,hombre,116
2024,10302,rural,21,mujer,78
2024,10302,rural,22,hombre,87
2024,10302,rural,22,mujer,95
2024,10302,rural,23,hombre,136
2024,10302,rural,23,mujer,83
2024,10302,rural,24,hombre,126
2024,10302,rural,24,mujer,106
2024,10302,rural,25,hombre,108
2024,10302,rural,25,mujer,97
2024,10302,rural,26,hombre,102
2024,10302,rural,26,mujer,72
2024,10302,rural,27,hombre,100
2024,10302,rural,27,mujer,70
2024,10302,rural,28,hombre,87
2024,10302,rural,28,mujer,70
2024,10302,urbana,16,hombre,18
2024,10302,urbana,16,mujer,32
2024,10302,urbana,17,hombre,20
2024,10302,urbana,17,mujer,17
2024,10302,urbana,18,hombre,22
2024,10302,urbana,18,mujer,20
2024,10302,urbana,19,hombre,16
2024,10302,urbana,19,mujer,11
2024,10302,urbana,20,hombre,28
2024,10302,urbana,20,mujer,15
2024,10302,urbana,21,hombre,21
2024,10302,urbana,21,mujer,21
2024,10302,urbana,22,hombre,19
2024,10302,urbana,22,mujer,11
2024,10302,urbana,23,hombre,12
2024,10302,urbana,23,mujer,17
2024,10302,urbana,24,hombre,15
2024,10302,urbana,24,mujer,26
2024,10302,urbana,25,hombre,20
2024,10302,urbana,25,mujer,24
2024,10302,urbana,26,hombre,16
2024,10302,urbana,26,mujer,23
2024,10302,urbana,27,hombre,12
2024,10302,urbana,27,mujer,28
2024,10302,urbana,28,hombre,21
2024,10302,urbana,28,mujer,15
2024,10303,rural,16,hombre,45
2024,10303,rural,16,mujer,51
2024,10303,rural,17,hombre,52
2024,10303,rural,17,mujer,55
2024,10303,rural,18,hombre,48
2024,10303,rural,18,mujer,52
2024,10303,rural,19,hombre,47
2024,10303,rural,19,mujer,47
2024,10303,rural,20,hombre,47
2024,10303,rural,20,mujer,54
2024,10303,rural,21,hombre,37
2024,10303,rural,21,mujer,40
2024,10303,rural,22,hombre,50
2024,10303,rural,22,mujer,40
2024,10303,rural,23,hombre,70
2024,10303,rural,23,mujer,72
2024,10303,rural,24,hombre,84
2024,10303,rural,24,mujer,72
2024,10303,rural,25,hombre,69
2024,10303,rural,25,mujer,74
2024,10303,rural,26,hombre,62
2024,10303,rural,26,mujer,65
2024,10303,rural,27,hombre,44
2024,10303,rural,27,mujer,49
2024,10303,rural,28,hombre,74
2024,10303,rural,28,mujer,63
2024,10303,urbana,16,hombre,31
2024,10303,urbana,16,mujer,34
2024,10303,urbana,17,hombre,28
2024,10303,urbana,17,mujer,15
2024,10303,urbana,18,hombre,23
2024,10303,urbana,18,mujer,20
2024,10303,urbana,19,hombre,16
2024,10303,urbana,19,mujer,25
2024,10303,urbana,20,hombre,18
2024,10303,urbana,20,mujer,16
2024,10303,urbana,21,hombre,13
2024,10303,urbana,21,mujer,16
2024,10303,urbana,22,hombre,24
2024,10303,urbana,22,mujer,16
2024,10303,urbana,23,hombre,27
2024,10303,urbana,23,mujer,27
2024,10303,urbana,24,hombre,20
2024,10303,urbana,24,mujer,30
2024,10303,urbana,25,hombre,32
2024,10303,urbana,25,mujer,23
2024,10303,urbana,26,hombre,15
2024,10303,urbana,26,mujer,34
2024,10303,urbana,27,hombre,19
2024,10303,urbana,27,mujer,13
2024,10303,urbana,28,hombre,27
2024,10303,urbana,28,mujer,22
2024,10304,rural,16,hombre,88
2024,10304,rural,16,mujer,92
2024,10304,rural,17,hombre,99
2024,10304,rural,17,mujer,116
2024,10304,rural,18,hombre,89
2024,10304,rural,18,mujer,89
2024,10304,rural,19,hombre,95
2024,10304,rural,19,mujer,73
2024,10304,rural,20,hombre,97
2024,10304,rural,20,mujer,79
2024,10304,rural,21,hombre,81
2024,10304,rural,21,mujer,93
2024,10304,rural,22,hombre,95
2024,10304,rural,22,mujer,66
2024,10304,rural,23,hombre,107
2024,10304,rural,23,mujer,95
2024,10304,rural,24,hombre,98
2024,10304,rural,24,mujer,93
2024,10304,rural,25,hombre,82
2024,10304,rural,25,mujer,96
2024,10304,rural,26,hombre,79
2024,10304,rural,26,mujer,76
2024,10304,rural,27,hombre,75
2024,10304,rural,27,mujer,74
2024,10304,rural,28,hombre,86
2024,10304,rural,28,mujer,70
2024,10401,rural,16,hombre,29
2024,10401,rural,16,mujer,26
2024,10401,rural,17,hombre,30
2024,10401,rural,17,mujer,36
2024,10401,rural,18,hombre,25
2024,10401,rural,18,mujer,27
2024,10401,rural,19,hombre,21
2024,10401,rural,19,mujer,31
2024,10401,rural,20,hombre,31
2024,10401,rural,20,mujer,37
2024,10401,rural,21,hombre,30
2024,10401,rural,21,mujer,34
2024,10401,rural,22,hombre,41
2024,10401,rural,22,mujer,23
2024,10401,rural,23,hombre,33
2024,10401,rural,23,mujer,36
2024,10401,rural,24,hombre,39
2024,10401,rural,24,mujer,31
2024,10401,rural,25,hombre,42
2024,10401,rural,25,mujer,32
2024,10401,rural,26,hombre,31
2024,10401,rural,26,mujer,27
2024,10401,rural,27,hombre,33
2024,10401,rural,27,mujer,26
2024,10401,rural,28,hombre,38
2024,10401,rural,28,mujer,31
2024,10401,urbana,16,hombre,43
2024,10401,urbana,16,mujer,39
2024,10401,urbana,17,hombre,30
2024,10401,urbana,17,mujer,55
2024,10401,urbana,18,hombre,39
2024,10401,urbana,18,mujer,25
