gestion,codigo_municipio,sexo,edad_salida,anio_salida,codigo_pais_destino,valor
2024,10101,hombre,16,1980,999,1
2024,10101,hombre,16,1981,840,1
2024,10101,hombre,16,1985,724,1
2024,10101,hombre,16,1990,032,1
2024,10101,hombre,16,1994,032,2
2024,10101,hombre,16,2000,032,3
2024,10101,hombre,16,2000,724,1
2024,10101,hombre,16,2002,032,2
2024,10101,hombre,16,2002,076,1
2024,10101,hombre,16,2004,032,2
2024,10101,hombre,16,2005,032,3
2024,10101,hombre,16,2005,076,1
2024,10101,hombre,16,2006,076,1
2024,10101,hombre,16,2006,724,1
2024,10101,hombre,16,2007,032,1
2024,10101,hombre,16,2007,724,2
2024,10101,hombre,16,2008,032,4
2024,10101,hombre,16,2008,152,1
2024,10101,hombre,16,2008,724,1
2024,10101,hombre,16,2009,032,2
2024,10101,hombre,16,2010,032,5
2024,10101,hombre,16,2012,032,1
2024,10101,hombre,16,2012,076,3
2024,10101,hombre,16,2013,032,2
2024,10101,hombre,16,2013,076,1
2024,10101,hombre,16,2014,152,2
2024,10101,hombre,16,2014,724,1
2024,10101,hombre,16,2015,032,3
2024,10101,hombre,16,2016,032,1
2024,10101,hombre,16,2017,032,1
2024,10101,hombre,16,2018,076,1
2024,10101,hombre,16,2018,152,2
2024,10101,hombre,16,2019,076,3
2024,10101,hombre,16,2019,152,1
2024,10101,hombre,16,2020,032,1
2024,10101,hombre,16,2020,152,1
2024,10101,hombre,16,2021,032,2
2024,10101,hombre,16,2021,076,1
2024,10101,hombre,16,2021,152,1
2024,10101,hombre,16,2021,276,1
2024,10101,hombre,16,2022,032,2
2024,10101,hombre,16,2022,076,1
2024,10101,hombre,16,2022,724,2
2024,10101,hombre,16,2023,032,1
2024,10101,hombre,16,2023,076,1
2024,10101,hombre,16,2023,152,5
2024,10101,hombre,16,2023,724,1
2024,10101,hombre,16,2024,032,1
2024,10101,hombre,16,2024,076,2
2024,10101,hombre,16,9999,032,1
2024,10101,hombre,16,9999,724,1
2024,10101,hombre,17,1974,032,1
2024,10101,hombre,17,1990,032,1
2024,10101,hombre,17,1992,032,1
2024,10101,hombre,17,1993,032,1
2024,10101,hombre,17,1995,032,1
2024,10101,hombre,17,1995,724,1
2024,10101,hombre,17,1997,032,1
2024,10101,hombre,17,1998,124,1
2024,10101,hombre,17,1999,032,1
2024,10101,hombre,17,2000,032,5
2024,10101,hombre,17,2000,724,1
2024,10101,hombre,17,2000,840,1
2024,10101,hombre,17,2001,032,1
2024,10101,hombre,17,2002,032,1
