gestion,codigo_departamento,area,edad,observaciones_mujeres,observaciones_hombres,mediana_mujeres,mediana_hombres,valor,cv
2025,1,rural,16,1,1,5.551282051282051,12.490384615384615,55.55555555555556,0.0
2025,1,urbana,16,7,3,4.195804195804196,10.616827157827524,60.47967878321601,0.5028379482905442
2025,1,urbana,17,7,6,7.494230769230769,11.241346153846154,33.333333333333336,0.38314249124258715
2025,1,urbana,18,8,9,5.709890009282709,9.99230722280649,42.85714117906194,0.2714453975127905
2025,1,urbana,19,12,12,9.23076923076923,12.5,26.15384615384616,0.8346504424763814
2025,1,urbana,20,11,13,5.995384333683894,14.423076923076923,58.432001953125,0.13237627540795263
2025,1,urbana,21,12,7,9.615384615384615,12.133516751802885,20.753522560094606,1.7982016501210545
2025,1,urbana,22,12,13,6.730769230769231,12.490384615384617,46.11239414934566,0.22731134046604282
2025,1,urbana,23,14,11,9.992307692307692,14.803418803418804,32.50000000000001,1.0783304955121882
2025,1,urbana,24,17,12,11.538461538461538,10.576923076923077,-9.090909090909083,3.337019765831613
2025,1,urbana,25,15,19,7.494230769230769,12.490384615384615,40.0,0.5120571091345112
2025,1,urbana,26,19,18,10.929086538461538,13.989230447287088,21.874998202056204,0.833782582144491
2025,1,urbana,27,12,18,7.6923076923076925,13.221153846153847,41.81818181818182,0.27128597503776053
2025,1,urbana,28,20,17,9.516483516483516,14.423076923076923,34.01904761904761,0.3994132523813271
2025,2,rural,16,1,1,9.992307893522494,9.992307516244741,-3.77568196707756e-06,0.0
2025,2,rural,17,1,1,6.765625,9.992307893522494,32.291668030107324,0.0
2025,2,rural,18,1,1,13.846153846153847,9.615384615384615,-44.000000000000014,0.0
2025,2,rural,19,4,5,9.99230722280649,9.992307692307692,4.698626354660007e-06,4930682.751413222
2025,2,rural,20,5,5,7.6923076923076925,11.102564102564102,30.71593533487298,1.3736167446337504
2025,2,rural,21,9,4,29.976923076923075,8.814102759728065,-240.10181063339374,0.7088812285804772
2025,2,rural,22,4,7,5.551282051282051,13.625874125874127,59.25925925925925,0.36212360942929245
2025,2,rural,23,2,11,0.8741259008020789,12.490384615384615,93.00160941621122,0.9165487436841121
2025,2,rural,24,7,11,4.163461538461538,12.307692307692308,66.171875,1.150420724562872
2025,2,rural,25,16,8,12.019231356107273,15.860805860805861,24.220550572349065,0.48834562327866726
2025,2,rural,26,5,16,11.102564102564102,12.490384615384615,11.111111111111116,2.4956171497280133
2025,2,rural,27,9,9,14.423076923076923,16.783216783216783,14.0625,1.5884401301659423
2025,2,rural,28,8,7,12.843406928764596,9.992307692307692,-28.532940780554085,5.925166549983048
2025,2,urbana,16,7,14,11.241345625657303,9.99230722280649,-12.500000000000021,1.2934296839520667
2025,2,urbana,17,12,12,11.241345625657303,12.490384615384617,10.000004228763714,4.694424260061864
2025,2,urbana,18,18,21,12.490384615384617,11.990768667367789,-4.166671561069357,6.146528742746743
2025,2,urbana,19,27,36,8.653846153846153,12.01923076923077,28.000000000000014,0.3113993441192893
2025,2,urbana,20,37,31,9.615384615384615,12.490384615384615,23.017705927636644,0.8177895140365578
2025,2,urbana,21,20,49,12.01923076923077,13.461538461538462,10.71428571428571,1.227889234712903
2025,2,urbana,22,47,37,11.538461538461538,12.692307692307692,9.090909090909083,1.5252666903253567
2025,2,urbana,23,56,68,11.538461538461538,15.61298076923077,26.096997690531186,0.2659966358973046
2025,2,urbana,24,34,52,11.102564102564102,13.323076297075321,16.666662751144536,0.9654380014001015
2025,2,urbana,25,54,78,12.259615384615385,13.878205128205128,11.662817551963045,0.9097922275761569
2025,2,urbana,26,62,69,11.538461538461538,14.160839160839162,18.518518518518523,0.6914091605672964
2025,2,urbana,27,61,69,12.115384615384615,13.461538461538462,10.000000000000009,1.1729598224378035
2025,2,urbana,28,62,77,14.160839160839162,15.61298076923077,9.300860802015531,1.019469881071438
2025,3,rural,16,2,2,11.990768667367789,5.769230769230769,-107.83999023437501,0.3780716637375132
2025,3,rural,17,2,3,24.980769230769234,14.988460834209736,-66.66667449771096,0.10463840002260165
2025,3,rural,18,3,5,5.1642632117638225,12.490384615384615,58.65408975955061,0.6971575857822278
2025,3,rural,19,2,3,7.494230769230769,14.988460834209736,49.99999765068672,1.3242481776032298
2025,3,rural,20,1,3,9.82906008989383,13.323076688326323,26.225298256325058,1.0788697026913634
2025,3,rural,22,1,4,13.323076297075321,7.6923076923076925,-73.19999186197916,1.636339816333069
2025,3,rural,23,2,4,13.846153846153847,13.625874125874127,-1.6166281755196188,56.5340451082409
2025,3,rural,24,2,3,9.992307893522494,14.551282677283654,31.330398047165165,3.901034862045633
2025,3,rural,25,4,7,12.01923076923077,8.326923076923077,-44.341801385681315,1.4626421384556736
2025,3,rural,26,2,5,16.653846153846153,15.734265734265735,-5.84444444444443,3.3963064825504246
2025,3,rural,27,3,9,7.494230417104868,14.988461337246738,50.000001678080864,0.4195413729502921
2025,3,rural,28,3,4,19.038461538461537,8.653846153846153,-119.99999999999997,0.11132103468424405
2025,3,urbana,16,9,14,7.216666197165464,12.490384615384617,42.22222598112331,0.6959277343559381
2025,3,urbana,17,12,27,11.538461538461538,12.490384615384617,7.621247113163987,4.095456586168651
2025,3,urbana,18,16,18,9.99230722280649,11.990768667367789,16.666666666666675,0.6265252902676393
2025,3,urbana,19,36,27,9.992307692307692,11.990769230769232,16.666666666666675,0.8109704724814821
2025,3,urbana,20,27,25,10.384615384615383,14.505494505494507,28.409090909090928,0.6191548103520957
2025,3,urbana,21,18,31,12.01923076923077,12.490384615384615,3.772132409545792,4.541942093015795
2025,3,urbana,22,31,50,12.490384615384617,14.743589743589743,15.282608695652156,1.0058425501983068
2025,3,urbana,23,31,44,12.115384615384615,14.423076923076923,16.000000000000004,0.9086970884186045
2025,3,urbana,24,38,40,12.490384615384617,12.98076923076923,3.7777777777777577,3.565705405211024
2025,3,urbana,25,39,49,11.538461538461538,16.237498943622295,28.939416233227387,0.37246535046305324
2025,3,urbana,26,46,54,12.01923076923077,14.423076923076923,16.666666666666664,0.7432539609008595
2025,3,urbana,27,32,54,12.98076923076923,14.988460834209736,13.394915099341898,1.5923548023356568
2025,3,urbana,28,50,62,14.423076923076922,14.98846153846154,3.7721324095458253,2.8053940349984496
2025,4,rural,23,1,1,11.37820575420673,13.736263736263735,17.166662109374997,0.0
2025,4,rural,26,3,2,13.98923076923077,21.412087912087912,34.66666666666666,0.42399046071805074
2025,4,urbana,16,1,2,16.986922513521634,6.661538148537661,-155.0000035239699,1.148326700429665
2025,4,urbana,17,1,5,13.323076688326323,13.323076923076924,1.761984880221945e-06,13000764.381198192
2025,4,urbana,18,6,9,14.988460834209736,15.987692025991585,6.2500027531014135,6.793635606040798
2025,4,urbana,19,4,6,10.256410256410257,22.153846153846153,53.703703703703695,0.11519556994735032
2025,4,urbana,20,10,7,11.538461538461538,16.653846153846153,30.71593533487298,0.5666887038627563
2025,4,urbana,21,8,8,14.988461538461538,16.153846153846153,7.214285714285717,3.026651054555095
2025,4,urbana,22,12,8,11.538461538461538,14.423076923076922,19.999999999999996,0.9835534146530508
2025,4,urbana,23,12,12,8.74326911339393,28.54945054945055,69.3750004111298,0.2140989724018878
2025,4,urbana,24,10,15,8.326923076923077,14.988460834209736,44.44444183409635,0.34345430061806864
2025,4,urbana,25,10,9,12.307692307692308,19.984615384615385,38.414164742109314,0.4989539297137271
2025,4,urbana,26,10,10,10.384615384615383,15.865384615384617,34.545454545454554,1.2700272000695105
2025,4,urbana,27,13,17,11.538461538461538,14.988461538461538,23.017705927636644,1.1961626662855822
2025,4,urbana,28,8,17,23.076923076923077,13.461538461538462,-71.42857142857142,0.9747549811532414
2025,5,rural,17,1,1,1.2019231356107272,12.490384615384615,90.37721277109195,0.0
2025,5,rural,18,1,1,5.995384333683894,21.53846153846154,72.16428702218192,0.0
2025,5,rural,19,2,2,12.490384615384615,26.373626373626376,52.64062500000001,0.4835669576182946
2025,5,rural,24,1,2,4.945054945054945,2.8754580990298764,-71.9745089216675,10.091493659206545
2025,5,rural,25,1,2,4.282417381202782,19.23076923076923,77.73142961774553,0.020998245227827433
2025,5,rural,26,3,2,5.288461538461538,1.6025641514704778,-229.99998992919953,6.7776481412105944
2025,5,rural,28,1,2,12.490384615384615,15.384615384615385,18.81250000000001,1.734259141271435
2025,5,urbana,16,1,7,18.735576923076923,16.237498943622295,-15.384622891297028,2.3470294380805257
2025,5,urbana,17,5,9,29.97692166841947,24.98076923076923,-19.999994361648387,3.9697749972680763
2025,5,urbana,18,8,7,7.6923076923076925,17.986153202266486,57.23205731763497,0.26350379009726577
2025,5,urbana,19,7,12,24.98076923076923,17.69471153846154,-41.17647058823528,1.4897598590784054
2025,5,urbana,20,6,13,6.410256410256411,17.032342657342657,62.36421178684457,0.17518302153547177
2025,5,urbana,21,13,12,16.653846153846153,29.97692166841947,44.44444183409635,0.9018727822113656
2025,5,urbana,22,11,25,14.423076923076923,18.735576923076923,23.017705927636644,0.9792184605703911
2025,5,urbana,23,18,21,14.423076923076922,22.482692307692307,35.84808827303054,0.6621427549945597
2025,5,urbana,24,15,15,14.423076923076923,16.653846153846153,13.394919168591224,1.7558040171944171
2025,5,urbana,25,19,23,14.423076923076923,24.98076923076923,42.26327944572748,0.3161245833670141
2025,5,urbana,26,19,23,14.615384615384615,21.978021978021978,33.50000000000001,0.6706371779651307
2025,5,urbana,27,21,23,17.307692307692307,20.192307692307693,14.28571428571429,2.332842534997736
2025,5,urbana,28,24,24,18.46153846153846,25.641025641025642,28.000000000000014,0.6665098101084931
2025,6,rural,18,1,2,12.490384615384617,7.993846314817995,-56.2499968535985,0.0
2025,6,rural,23,1,2,12.490384615384617,9.992307692307692,-25.00000000000002,0.8393417197263767
2025,6,rural,25,1,2,8.326923076923077,6.410256723257212,-29.899993657226865,0.0
2025,6,urbana,16,2,2,3.076923076923077,9.992307692307692,69.20708237105467,0.23903961780661281
2025,6,urbana,17,4,3,9.992307692307692,7.806490384615385,-28.000000000000004,1.6718367924833242
2025,6,urbana,18,6,3,8.326923076923077,7.137362637362638,-16.66666666666665,2.8717439549877
2025,6,urbana,19,5,4,9.615384615384615,12.5,23.076923076923084,0.7998404191228704
2025,6,urbana,20,5,6,9.23076923076923,10.256410256410257,10.00000000000002,1.660232848709302
2025,6,urbana,21,3,10,7.6923076923076925,16.653846153846153,53.81062355658198,1.0687340905556866
2025,6,urbana,22,7,10,10.43956043956044,14.423076923076923,27.61904761904762,0.5051178806526029
2025,6,urbana,23,5,2,7.137362637362637,18.735576923076923,61.904761904761905,1.5386695431739374
2025,6,urbana,24,6,14,12.490384615384615,9.455128205128204,-32.10169491525426,1.8714703439625353
2025,6,urbana,25,11,7,8.326923076923077,12.362637362637363,32.64444444444445,0.7634767950682705
2025,6,urbana,26,6,10,8.326923076923077,17.307692307692307,51.88888888888889,0.6415332413486465
2025,6,urbana,27,12,6,8.326923076923077,13.636363636363637,38.93589743589744,0.2935699804361765
2025,6,urbana,28,10,8,13.111888111888112,18.735576923076923,30.01609629785149,0.8269406915178714
2025,7,rural,16,1,4,19.984615032489483,12.490384615384615,-59.9999971808242,1.927081622990664
2025,7,rural,17,4,7,8.326923076923077,10.468131599845467,20.45454341588522,1.8730855213253432
2025,7,rural,18,5,4,6.993006993006993,10.408653846153847,32.81545244593743,0.6368574161638513
2025,7,rural,19,3,3,5.995384333683894,14.988461538461538,60.00000187945054,0.4737733936646692
2025,7,rural,20,2,4,21.412087912087912,16.351048182774257,-30.952387105344314,2.236530142729163
2025,7,rural,21,3,13,19.98461444561298,9.992307692307692,-99.99999060274729,1.353779481115141
2025,7,rural,22,7,10,7.494230769230769,11.538461538461538,35.050000000000004,0.6060753375156112
2025,7,rural,23,3,5,11.241345625657303,9.992307692307692,-12.499994714045371,1.0229195654323244
2025,7,rural,24,5,11,10.683760683760683,15.384615384615385,30.555555555555557,0.7941263899057194
2025,7,rural,25,7,12,11.241345919095552,12.490384615384615,10.000001879450537,3.1447742654457107
2025,7,rural,26,7,13,13.989230581430288,18.26923076923077,23.42736944901317,0.6981270847329853
2025,7,rural,27,6,4,9.992307516244741,12.01923076923077,16.86400146484376,7.03341548585549
2025,7,rural,28,1,12,24.98076923076923,18.028846153846153,-38.559999999999995,0.45772463993341567
2025,7,urbana,16,14,12,9.992307692307692,8.012820512820513,-24.703999999999994,1.1348570335766255
2025,7,urbana,17,17,25,11.990768667367789,11.102564102564102,-7.999994925483556,3.2095159583562745
2025,7,urbana,18,17,40,8.326923076923077,11.241346153846154,25.92592592592593,0.8709584859174546
2025,7,urbana,19,23,38,12.490384615384617,12.490384615384615,-2.220446049250313e-14,835811953715075.5
2025,7,urbana,20,39,33,10.989010989010989,12.490384615384615,12.020235345870445,1.604475846778407
2025,7,urbana,21,43,39,10.408653846153847,15.865384615384615,34.39393939393939,0.23754793324839776
2025,7,urbana,22,40,43,11.102564102564102,12.490384615384615,11.111111111111116,1.1316731129308069
2025,7,urbana,23,38,41,10.76923076923077,13.878205128205128,22.401847575057733,0.6123806549267259
2025,7,urbana,24,42,38,13.878205128205128,14.988461538461538,7.4074074074074066,1.6329368976754561
2025,7,urbana,25,52,75,11.538461538461538,14.988460834209736,23.017702310526122,0.655115488109508
2025,7,urbana,26,57,54,14.423076923076923,14.433332915998932,0.07105768973595383,180.7571812942542
2025,7,urbana,27,41,52,13.323076297075321,13.323076297075321,0.0,
2025,7,urbana,28,49,68,14.423076923076922,14.423076923076923,1.1102230246251565e-14,2490606509782418.5
2025,8,rural,18,1,4,12.98076923076923,14.988461538461538,13.394919168591224,1.3401775442296051
2025,8,rural,19,1,2,2.4980768057016225,11.538461538461538,78.3500010172526,0.057588064380310326
2025,8,rural,21,1,1,3.996922889122596,11.241345919095552,64.4444453725682,0.0
2025,8,rural,23,2,2,14.988460834209736,10.576923076923077,-41.70908425071023,0.0
2025,8,rural,25,2,1,9.23076923076923,16.653846153846153,44.57274826789839,0.0
2025,8,rural,27,1,3,12.490384615384615,11.241345919095552,-11.11111343142046,1.3795944522214798
2025,8,rural,28,3,3,14.988460834209736,12.01923076923077,-24.703994140624985,17.633873753355285
2025,8,urbana,16,3,14,9.992307692307692,12.490384615384615,19.999999999999996,0.3546430897795028
2025,8,urbana,17,9,9,9.99230722280649,9.992307692307692,4.698626354660007e-06,8037783.827594342
2025,8,urbana,18,6,11,9.99230722280649,12.490384615384615,20.000003758901073,0.5017145514843931
2025,8,urbana,19,10,19,9.992307692307692,12.490384615384615,19.999999999999996,1.0739783295311738
2025,8,urbana,20,16,17,12.490384615384615,12.490384615384615,0.0,
2025,8,urbana,21,16,8,13.846153846153847,12.5,-10.769230769230775,4.2727822139855425
2025,8,urbana,22,13,9,9.99230722280649,14.423076923076923,30.72000325520834,0.4078756696827745
2025,8,urbana,23,16,12,13.269230769230768,16.653846153846153,20.323325635103927,0.8003404939969462
2025,8,urbana,24,19,15,13.221153846153847,14.988460834209736,11.791117230811176,1.4125913351500943
2025,8,urbana,25,25,17,13.98923076923077,12.490384615384615,-12.00000000000001,1.3176854128844302
2025,8,urbana,26,16,25,12.490384615384617,16.653846153846153,24.99999999999999,0.6401537024496856
2025,8,urbana,27,21,18,15.987691556490384,12.490384615384615,-27.999993985758277,1.1849812738410859
2025,8,urbana,28,24,9,14.988461538461538,17.48653822678786,14.285713135030276,1.8828522379334798
2025,9,rural,17,2,1,12.490384615384615,12.490384615384617,1.1102230246251565e-14,0.0
2025,9,rural,18,1,1,14.423076923076923,14.988461538461538,3.772132409545792,0.0
2025,9,rural,19,2,4,13.878205128205128,14.988461538461538,7.4074074074074066,3.022705583540624
2025,9,rural,21,2,2,17.486538461538462,9.992307692307692,-75.0,0.4977086555861127
2025,9,rural,22,1,2,14.423076923076923,52.04326923076923,72.2863741339492,0.0
2025,9,rural,23,2,3,46.15384615384615,29.807694185697112,-54.838699921956916,1.9020617787480967
2025,9,rural,24,2,3,17.307692307692307,17.986153001051683,3.7721278881576614,8.809174013645197
2025,9,rural,25,6,4,14.988461538461538,16.2374995304988,7.692305023265433,5.499656915828478
2025,9,rural,26,2,1,33.30769230769231,24.03846153846154,-38.559999999999995,1.3894194256043386
2025,9,rural,27,1,3,21.634615384615383,15.625,-38.46153846153846,6.709035361972037
2025,9,urbana,16,7,6,13.323076688326323,12.490384615384617,-6.666664787216114,12.080966011783065
2025,9,urbana,17,6,6,10.408653846153847,12.490384615384615,16.666666666666664,1.5317309953285878
2025,9,urbana,18,5,19,14.423076923076923,14.572115384615385,1.0227647641042559,30.97860035977103
2025,9,urbana,19,12,8,10.153846153846155,19.23076923076923,47.19999999999999,0.5945760374339977
2025,9,urbana,20,6,19,11.657692307692308,14.423076923076923,19.173333333333332,0.7955730226803717
2025,9,urbana,21,9,13,16.653846153846153,22.482691838191105,25.925924379053022,1.4563578828314747
2025,9,urbana,22,9,11,16.153846153846153,16.153846153846153,0.0,
2025,9,urbana,23,21,13,13.323076923076924,12.490384615384615,-6.666666666666665,3.6473743389556366
2025,9,urbana,24,17,10,12.692307692307692,17.986153470552885,29.43289562669602,0.5322959903434918
2025,9,urbana,25,14,13,13.461538461538462,27.0625,50.257594599395986,0.31920956873559764
2025,9,urbana,26,14,19,19.984615384615385,14.423076923076923,-38.559999999999995,1.1077026709655244
2025,9,urbana,27,14,8,26.646153846153847,15.384615384615385,-73.2,1.4008984717794117
2025,9,urbana,28,15,13,12.490384615384615,15.865384615384615,21.272727272727277,1.7162240845755352
