gestion,codigo_departamento,area,edad,sexo,frecuencia,observaciones,numerador,denominador,valor,cv,cigarrillos_promedio,cv_cigarrillos
2023,1,rural,16,hombre,a_veces,6,0.0,5.35436818511056,0.0,,,
2023,1,rural,16,hombre,diariamente,6,0.0,5.35436818511056,0.0,,,
2023,1,rural,16,hombre,no_fuma,6,5.35436818511056,5.35436818511056,100.0,0.0,0.0,
2023,1,rural,16,hombre,un_dia_por_semana,6,0.0,5.35436818511056,0.0,,,
2023,1,rural,16,mujer,a_veces,20,0.0,13.708952498855325,0.0,,,
2023,1,rural,16,mujer,diariamente,20,0.0,13.708952498855325,0.0,,,
2023,1,rural,16,mujer,no_fuma,20,13.708952498855325,13.708952498855325,100.0,0.0,0.0,
2023,1,rural,16,mujer,un_dia_por_semana,20,0.0,13.708952498855325,0.0,,,
2023,1,rural,17,hombre,a_veces,5,3.383094918346745,5.116166432730925,66.12558373205434,0.3624606472653451,2.9120563729245053,0.03525363140673564
2023,1,rural,17,hombre,diariamente,5,0.0,5.116166432730925,0.0,,,
2023,1,rural,17,hombre,no_fuma,5,1.733071514384179,5.116166432730925,33.87441626794565,0.7075523218092858,0.0,
2023,1,rural,17,hombre,un_dia_por_semana,5,0.0,5.116166432730925,0.0,,,
2023,1,rural,17,mujer,a_veces,21,0.0,16.372361157210168,0.0,,,
2023,1,rural,17,mujer,diariamente,21,0.0,16.372361157210168,0.0,,,
2023,1,rural,17,mujer,no_fuma,21,16.372361157210168,16.372361157210168,100.0,0.0,0.0,
2023,1,rural,17,mujer,un_dia_por_semana,21,0.0,16.372361157210168,0.0,,,
2023,1,rural,18,hombre,a_veces,2,0.0,1.080811622058144,0.0,,,
2023,1,rural,18,hombre,diariamente,2,0.0,1.080811622058144,0.0,,,
2023,1,rural,18,hombre,no_fuma,2,0.34758823005175565,1.080811622058144,32.15992712863857,0.959403511270584,0.0,
2023,1,rural,18,hombre,un_dia_por_semana,2,0.7332233920063884,1.080811622058144,67.84007287136143,0.4548100511025109,2.0,0.0
2023,1,rural,18,mujer,a_veces,17,0.508912720082966,12.842280452434848,3.9627908919126433,0.9932665925826919,1.0,0.0
2023,1,rural,18,mujer,diariamente,17,0.0,12.842280452434848,0.0,,,
2023,1,rural,18,mujer,no_fuma,17,12.333367732351881,12.842280452434848,96.03720910808735,0.040985237314610144,0.0,
