gestion,codigo_departamento,area,edad,sexo,observaciones,numerador,denominador,valor,cv
2023,1,rural,16,hombre,6,0.0,5.35436818511056,0.0,
2023,1,rural,16,mujer,20,4.466673194700789,13.708952498855325,32.58216260559477,0.3897846383791909
2023,1,rural,17,hombre,5,0.0,5.116166432730925,0.0,
2023,1,rural,17,mujer,21,5.036205962930138,16.372361157210168,30.760413324453573,0.3160821279646358
2023,1,rural,18,hombre,2,0.34758823005175565,1.080811622058144,32.15992712863857,0.959403511270584
2023,1,rural,18,mujer,17,6.872857817698008,12.842280452434848,53.51742506444749,0.28314321889088223
2023,1,rural,19,hombre,2,0.0,1.382444677463634,0.0,
2023,1,rural,19,mujer,8,0.7109023947315137,5.290628441361822,13.437012306018708,0.7540861656942213
2023,1,rural,20,hombre,3,0.0,2.189250790679216,0.0,
2023,1,rural,20,mujer,5,0.6098661917451954,2.809398173171947,21.708072482179585,0.6710550846238647
2023,1,rural,21,mujer,9,4.798844677421213,7.7672850685072135,61.78278040648119,0.34726931824510493
2023,1,rural,22,hombre,6,0.4035868552250674,5.887990805224714,6.854407022289237,0.8992731366055134
2023,1,rural,22,mujer,7,0.0,8.611075144786144,0.0,
2023,1,rural,23,hombre,3,0.0,3.5059078024577093,0.0,
2023,1,rural,23,mujer,10,4.068582538012983,6.062304043709933,67.11280906859865,0.25217705137339486
2023,1,rural,24,hombre,5,0.6492212854572456,3.750839244307265,17.30869395276227,0.7797073337463833
2023,1,rural,24,mujer,9,2.828416225308865,7.050397610764438,40.117116529576755,0.5442851468378329
2023,1,rural,25,hombre,3,0.2975216378600884,1.1936049485076734,24.926307337454517,0.9649445522605371
2023,1,rural,25,mujer,8,1.6974119348358285,8.600623909758164,19.735916285212348,0.7036291213847389
2023,1,rural,26,hombre,6,0.0,3.4343485903583515,0.0,
2023,1,rural,26,mujer,7,1.9036812774532064,6.281518533791145,30.30606798678439,0.7638734455065241
2023,1,rural,27,hombre,4,0.6221289386720871,2.127299920681671,29.245003613441227,0.814762164654971
2023,1,rural,27,mujer,12,4.751057389908075,9.790478049868264,48.52732793749538,0.22947886877433865
2023,1,rural,28,hombre,5,0.0,4.231925274579297,0.0,
2023,1,rural,28,mujer,9,0.42410737177190455,6.097650815415214,6.95525842017284,0.8591940168529346
2023,1,urbana,16,hombre,6,0.23665731917915173,3.2855592504930913,7.2029539307085875,1.0024976950796605
2023,1,urbana,16,mujer,30,2.9161854673992957,14.433898833728998,20.20372666451549,0.3612082740436701
2023,1,urbana,17,hombre,13,0.0,6.769338978527681,0.0,
2023,1,urbana,17,mujer,28,5.140679606561493,15.006105801900167,34.25725284377608,0.24375868945029247
2023,1,urbana,18,hombre,8,0.8307420433518811,3.9459427464203216,21.053068854217745,0.7423912863047085
2023,1,urbana,18,mujer,22,5.4173501354326214,12.096252869898926,44.78535785998237,0.23735905982595565
2023,1,urbana,19,hombre,8,0.7962445475994436,4.49788653646281,17.702637475280103,0.9076130882748336
2023,1,urbana,19,mujer,22,4.039427223174415,11.528527863875656,35.03853458889453,0.308669340450163
2023,1,urbana,20,hombre,8,0.7962445475994436,4.0061242135059345,19.87568295848259,0.876460135666832
2023,1,urbana,20,mujer,24,4.421827424584976,14.96210477168942,29.55351196946399,0.376859498090829
2023,1,urbana,21,hombre,10,0.6482352655776766,6.002683983298968,10.79909032994634,0.9381103547687157
2023,1,urbana,21,mujer,23,4.820987327725533,12.765962335626082,37.76438627169972,0.2756780922814892
2023,1,urbana,22,hombre,11,0.0,7.1781633136741085,0.0,
2023,1,urbana,22,mujer,23,4.27123538548863,11.942572188708116,35.76478599415249,0.28146884647260884
2023,1,urbana,23,hombre,15,1.4977858932738317,8.427537457613115,17.772521342172016,0.6035351293046981
2023,1,urbana,23,mujer,34,8.495312752078974,19.625743646569475,43.286577594545975,0.2220823903639313
2023,1,urbana,24,hombre,11,0.3301198111738167,6.801918980957495,4.853333479831398,1.032217421492438
2023,1,urbana,24,mujer,35,9.977663523385424,19.88263408135217,50.18280516837268,0.1756113445459634
2023,1,urbana,25,hombre,9,0.6778930881858055,5.11260319117628,13.259254881266063,0.9549406386084442
2023,1,urbana,25,mujer,34,7.350018141500039,20.163881714548374,36.451404771914284,0.2533130916615513
2023,1,urbana,26,hombre,10,0.6791309971320117,5.680487605830203,11.955505306181488,0.9249574027558299
2023,1,urbana,26,mujer,23,5.7090779679945545,13.676542586805423,41.743576139648354,0.2658671288031253
2023,1,urbana,27,hombre,8,0.0,4.8731395034751,0.0,
2023,1,urbana,27,mujer,35,6.396453678339522,19.57905860293741,32.66987350137393,0.27087857605852494
2023,1,urbana,28,hombre,6,0.0,3.452231602690944,0.0,
2023,1,urbana,28,mujer,17,3.3443696444610356,9.76453586547379,34.25016499029226,0.3384630340308391
2023,2,rural,16,hombre,10,0.0,21.843921552552487,0.0,
2023,2,rural,16,mujer,23,17.376365246791938,38.869261893262326,44.70464423664291,0.22109937569470797
2023,2,rural,17,hombre,8,0.8971206836017523,12.470732567532977,7.193809014374729,1.0254762621541749
2023,2,rural,17,mujer,21,8.923459986830395,28.549369262481132,31.25624214247487,0.35108206275471227
2023,2,rural,18,hombre,6,1.6782185373242968,11.903926781692302,14.098024694719397,1.049590981630421
2023,2,rural,18,mujer,18,19.080642796329105,35.485381239744136,53.770432019364954,0.2125224745178187
2023,2,rural,19,hombre,5,2.909620886475956,14.481349910952067,20.092193782814718,0.9367016061164276
2023,2,rural,19,mujer,9,5.250651443642152,16.286221330983906,32.2398384311098,0.498538980955875
2023,2,rural,20,hombre,3,0.0,4.459352375027742,0.0,
2023,2,rural,20,mujer,17,11.13262785299224,30.37605531755759,36.649353369321446,0.3336025904457566
2023,2,rural,21,hombre,9,1.301196918175583,14.352887516900145,9.065750126192086,1.0007040508195673
2023,2,rural,21,mujer,14,6.463444399120764,26.72114292061969,24.188502783438835,0.5212346091149854
2023,2,rural,22,hombre,4,0.0,6.728224951047375,0.0,
2023,2,rural,22,mujer,11,11.356016265069576,19.76274193826018,57.46174443073918,0.29580485959201164
2023,2,rural,23,hombre,8,0.0,13.109412877115744,0.0,
2023,2,rural,23,mujer,15,5.932030232316146,29.822715791696126,19.89097932512192,0.5200112990441529
2023,2,rural,24,hombre,4,1.097792415460039,6.927386478382353,15.847136851478073,1.0137804098003034
2023,2,rural,24,mujer,17,12.312340961480906,30.70759062248905,40.09543149394412,0.397858080400555
2023,2,rural,25,hombre,4,0.0,6.190084469956857,0.0,
2023,2,rural,25,mujer,21,9.051952320809454,41.538705479895185,21.791609093814003,0.41047593051740017
2023,2,rural,26,hombre,6,3.7254568179325798,8.618264090204644,43.22746180599019,0.5293915467457763
2023,2,rural,26,mujer,14,3.2287154904462425,24.805451205462617,13.016153037100247,0.6244661610430317
2023,2,rural,27,hombre,8,2.2861306965168233,15.505084869645977,14.744393311850487,0.7641186335942226
2023,2,rural,27,mujer,20,8.257520644276507,29.603461510043818,27.893767225413512,0.38516116238395637
2023,2,rural,28,hombre,2,0.0,2.5760526264517574,0.0,
2023,2,rural,28,mujer,19,11.780032159676212,31.936160172620724,36.88618824555929,0.30982913522804406
2023,2,urbana,16,hombre,31,6.440263227382543,39.99716585725795,16.101798938371235,0.4387043117797365
2023,2,urbana,16,mujer,63,21.928702250589264,86.25123014187922,25.424219706220512,0.22263598689364325
