gestion,codigo_municipio,area,edad,sexo,numerador,denominador,valor
2024,10101,rural,16,hombre,1,180,0.5555555555555556
2024,10101,rural,16,mujer,3,156,1.9230769230769231
2024,10101,rural,17,hombre,5,161,3.1055900621118013
2024,10101,rural,17,mujer,2,151,1.3245033112582782
2024,10101,rural,18,hombre,2,151,1.3245033112582782
2024,10101,rural,18,mujer,3,149,2.0134228187919465
2024,10101,rural,19,hombre,4,145,2.7586206896551726
2024,10101,rural,19,mujer,2,125,1.6
2024,10101,rural,20,hombre,5,138,3.6231884057971016
2024,10101,rural,20,mujer,2,112,1.7857142857142858
2024,10101,rural,21,hombre,2,118,1.694915254237288
2024,10101,rural,21,mujer,3,143,2.097902097902098
2024,10101,rural,22,hombre,4,142,2.816901408450704
2024,10101,rural,22,mujer,3,126,2.380952380952381
2024,10101,rural,23,hombre,7,168,4.166666666666667
2024,10101,rural,23,mujer,3,150,2.0
2024,10101,rural,24,hombre,5,165,3.0303030303030303
2024,10101,rural,24,mujer,4,163,2.4539877300613497
2024,10101,rural,25,hombre,4,179,2.2346368715083798
2024,10101,rural,25,mujer,2,141,1.4184397163120568
2024,10101,rural,26,hombre,1,145,0.6896551724137931
2024,10101,rural,26,mujer,2,140,1.4285714285714286
2024,10101,rural,27,hombre,3,155,1.935483870967742
2024,10101,rural,27,mujer,3,151,1.9867549668874172
2024,10101,rural,28,hombre,4,137,2.9197080291970803
2024,10101,rural,28,mujer,5,121,4.132231404958677
2024,10101,urbana,16,hombre,76,2542,2.989771833202203
2024,10101,urbana,16,mujer,110,2567,4.285157771717959
2024,10101,urbana,17,hombre,91,2724,3.340675477239354
2024,10101,urbana,17,mujer,103,2698,3.8176426982950336
2024,10101,urbana,18,hombre,81,2956,2.740189445196211
2024,10101,urbana,18,mujer,106,2985,3.5510887772194306
2024,10101,urbana,19,hombre,77,2865,2.68760907504363
2024,10101,urbana,19,mujer,137,2988,4.5850066934404285
2024,10101,urbana,20,hombre,77,2841,2.710313269975361
2024,10101,urbana,20,mujer,123,2916,4.2181069958847734
2024,10101,urbana,21,hombre,100,2877,3.4758428919012863
2024,10101,urbana,21,mujer,134,3036,4.413702239789196
