gestion,codigo_departamento,area,edad,sexo,estadistico,observaciones,hogares_estimados,valor,cv
2025,1,rural,18,hombre,media,1,293.2726178977488,3.256480257906452,0.0
2025,1,rural,18,hombre,mediana,1,293.2726178977488,3.256480257906452,0.0
2025,1,rural,20,hombre,media,1,293.2726178977488,6.202223684953687,0.0
2025,1,rural,20,hombre,mediana,1,293.2726178977488,6.202223684953687,0.0
2025,1,rural,24,mujer,media,1,173.29067460386432,897.934702913482,0.0
2025,1,rural,24,mujer,mediana,1,173.29067460386432,897.934702913482,0.0
2025,1,rural,26,hombre,media,1,783.2108968756022,3.673469460966786,0.0
2025,1,rural,26,hombre,mediana,1,783.2108968756022,3.673469460966786,0.0
2025,1,rural,27,hombre,media,1,783.2108968756022,2.38459172554553,0.0
2025,1,rural,27,hombre,mediana,1,783.2108968756022,2.38459172554553,0.0
2025,1,urbana,19,mujer,media,2,358.8150317811892,11.053120591060898,0.07372753654194168
2025,1,urbana,19,mujer,mediana,2,358.8150317811892,11.886972273073338,0.0
2025,1,urbana,21,hombre,media,2,718.8317349955342,6.649243415733165,0.2468504040626431
2025,1,urbana,21,hombre,mediana,2,718.8317349955342,5.128205128205129,0.0
2025,1,urbana,22,mujer,media,1,506.11866029791315,9.703838654729555,0.0
2025,1,urbana,22,mujer,mediana,1,506.11866029791315,9.703838654729555,0.0
2025,1,urbana,23,hombre,media,3,495.28023469670313,15.748731107111379,0.23044497768682218
2025,1,urbana,23,hombre,mediana,3,495.28023469670313,19.444444444444443,0.38525206358614955
2025,1,urbana,24,hombre,media,2,755.6641804280234,16.562700910133497,0.37648565977328674
2025,1,urbana,24,hombre,mediana,2,755.6641804280234,10.0,1.2471238759558454
2025,1,urbana,24,mujer,media,3,664.3919206510138,16.32565977530939,0.21127699701912597
2025,1,urbana,24,mujer,mediana,3,664.3919206510138,15.938372043161547,0.25398064619055805
2025,1,urbana,25,hombre,media,1,213.3961282312004,9.962864977494045,0.0
2025,1,urbana,25,hombre,mediana,1,213.3961282312004,9.962864977494045,0.0
2025,1,urbana,26,hombre,media,1,116.34889754480429,16.967305419161,0.0
2025,1,urbana,26,hombre,mediana,1,116.34889754480429,16.967305419161,0.0
2025,1,urbana,26,mujer,media,2,986.3968872369902,12.462631386978305,0.07427123154560518
2025,1,urbana,26,mujer,mediana,2,986.3968872369902,13.6,0.0
2025,1,urbana,27,hombre,media,2,449.88325359814496,16.70357971031067,3.025734386338643e-17
2025,1,urbana,27,hombre,mediana,2,449.88325359814496,10.103926096997691,0.0
2025,1,urbana,27,mujer,media,1,472.3595500095143,14.222727919214906,0.0
2025,1,urbana,27,mujer,mediana,1,472.3595500095143,14.222727919214906,0.0
2025,1,urbana,28,mujer,media,2,703.634233840553,4.698328675061593,0.557011966747258
2025,1,urbana,28,mujer,mediana,2,703.634233840553,1.9782393669634026,2.6458125739740295
2025,2,rural,25,hombre,media,3,4228.628348310942,10.919872404681255,1.0004306047097673
2025,2,rural,25,hombre,mediana,3,4228.628348310942,4.078968836678087,0.0
2025,2,rural,26,hombre,media,1,1713.1895335984314,16.546398488794587,0.0
2025,2,rural,26,hombre,mediana,1,1713.1895335984314,16.546398488794587,0.0
2025,2,rural,28,hombre,media,1,814.9710594770352,6.552006552006552,0.0
2025,2,rural,28,hombre,mediana,1,814.9710594770352,6.552006552006552,0.0
2025,2,urbana,18,mujer,media,2,578.7190547473145,22.84713691701702,0.18833619572536509
2025,2,urbana,18,mujer,mediana,2,578.7190547473145,27.77777777777778,0.0
2025,2,urbana,19,hombre,media,1,327.86021017295764,19.24557351809084,0.0
2025,2,urbana,19,hombre,mediana,1,327.86021017295764,19.24557351809084,0.0
2025,2,urbana,19,mujer,media,1,194.56549537459105,18.0,0.0
2025,2,urbana,19,mujer,mediana,1,194.56549537459105,18.0,0.0
2025,2,urbana,20,hombre,media,1,243.79348961578896,16.551724583828786,0.0
2025,2,urbana,20,hombre,mediana,1,243.79348961578896,16.551724583828786,0.0
2025,2,urbana,20,mujer,media,3,832.0120115371293,16.876291423750867,0.5052511420791892
2025,2,urbana,20,mujer,mediana,3,832.0120115371293,14.247551202137133,1.304745222531764
2025,2,urbana,21,hombre,media,1,244.92792863696405,33.333333333333336,0.0
2025,2,urbana,21,hombre,mediana,1,244.92792863696405,33.333333333333336,0.0
2025,2,urbana,21,mujer,media,2,336.5089335294177,6.6992303384462915,0.29782457136477336
2025,2,urbana,21,mujer,mediana,2,336.5089335294177,9.391122841409757,0.0
2025,2,urbana,22,hombre,media,1,328.32927344462234,4.396732077359299,0.0
2025,2,urbana,22,hombre,mediana,1,328.32927344462234,4.396732077359299,0.0
2025,2,urbana,22,mujer,media,1,279.91763272795896,17.272727272727273,0.0
2025,2,urbana,22,mujer,mediana,1,279.91763272795896,17.272727272727273,0.0
2025,2,urbana,23,hombre,media,2,496.21528526493614,18.709569509919213,0.11287265112890153
2025,2,urbana,23,hombre,mediana,2,496.21528526493614,21.11746635773264,0.0
2025,2,urbana,23,mujer,media,1,380.79786415665285,19.65505443448771,0.0
2025,2,urbana,23,mujer,mediana,1,380.79786415665285,19.65505443448771,0.0
2025,2,urbana,24,hombre,media,2,360.50062688385333,23.322349491557333,0.4021867260998487
2025,2,urbana,24,hombre,mediana,2,360.50062688385333,13.75515818431912,1.3638431868648435
2025,2,urbana,25,hombre,media,8,1808.6447290588953,12.002430671644872,0.16968568132345493
2025,2,urbana,25,hombre,mediana,8,1808.6447290588953,8.018989342653528,0.37763979333081366
2025,2,urbana,26,hombre,media,3,666.338014735649,16.782835963082654,0.3770116366818769
2025,2,urbana,26,hombre,mediana,3,666.338014735649,11.547344110854503,1.1904446032080667
