gestion,codigo_municipio,area,edad,sexo,numerador,denominador,valor
2024,10101,rural,16,hombre,0,181,0.0
2024,10101,rural,16,mujer,0,160,0.0
2024,10101,rural,17,hombre,1,164,0.6097560975609756
2024,10101,rural,17,mujer,1,152,0.6578947368421053
2024,10101,rural,18,hombre,10,152,6.578947368421052
2024,10101,rural,18,mujer,15,151,9.933774834437086
2024,10101,rural,19,hombre,18,145,12.413793103448276
2024,10101,rural,19,mujer,17,124,13.709677419354838
2024,10101,rural,20,hombre,16,140,11.428571428571429
2024,10101,rural,20,mujer,20,111,18.01801801801802
2024,10101,rural,21,hombre,9,116,7.758620689655173
2024,10101,rural,21,mujer,16,137,11.678832116788321
2024,10101,rural,22,hombre,16,140,11.428571428571429
2024,10101,rural,22,mujer,18,122,14.754098360655737
2024,10101,rural,23,hombre,12,158,7.594936708860759
2024,10101,rural,23,mujer,17,144,11.805555555555555
2024,10101,rural,24,hombre,6,156,3.8461538461538463
2024,10101,rural,24,mujer,10,151,6.622516556291391
2024,10101,rural,25,hombre,7,167,4.191616766467066
2024,10101,rural,25,mujer,11,133,8.270676691729323
2024,10101,rural,26,hombre,4,139,2.8776978417266186
2024,10101,rural,26,mujer,12,140,8.571428571428571
2024,10101,rural,27,hombre,10,155,6.451612903225806
2024,10101,rural,27,mujer,10,145,6.896551724137931
2024,10101,rural,28,hombre,6,132,4.545454545454546
2024,10101,rural,28,mujer,2,112,1.7857142857142858
2024,10101,urbana,16,hombre,0,2558,0.0
2024,10101,urbana,16,mujer,1,2577,0.038804811796662786
2024,10101,urbana,17,hombre,67,2743,2.4425811155668975
2024,10101,urbana,17,mujer,76,2715,2.7992633517495396
2024,10101,urbana,18,hombre,120,2961,4.052684903748734
2024,10101,urbana,18,mujer,243,2997,8.108108108108109
2024,10101,urbana,19,hombre,166,2867,5.7900244157656084
2024,10101,urbana,19,mujer,296,3009,9.837155201063476
2024,10101,urbana,20,hombre,215,2854,7.533286615276804
2024,10101,urbana,20,mujer,286,2922,9.787816563997263
2024,10101,urbana,21,hombre,173,2868,6.032078103207811
2024,10101,urbana,21,mujer,251,3033,8.275634685130234
2024,10101,urbana,22,hombre,173,2819,6.1369279886484565
2024,10101,urbana,22,mujer,245,2976,8.23252688172043
2024,10101,urbana,23,hombre,220,2973,7.399932727884292
2024,10101,urbana,23,mujer,260,3192,8.145363408521304
2024,10101,urbana,24,hombre,164,3065,5.350734094616639
2024,10101,urbana,24,mujer,258,3133,8.234918608362591
2024,10101,urbana,25,hombre,173,2788,6.205164992826399
2024,10101,urbana,25,mujer,213,2896,7.354972375690608
2024,10101,urbana,26,hombre,122,2745,4.444444444444445
2024,10101,urbana,26,mujer,173,2846,6.078706957132818
2024,10101,urbana,27,hombre,127,2562,4.957064793130367
2024,10101,urbana,27,mujer,180,2725,6.605504587155964
2024,10101,urbana,28,hombre,107,2629,4.069988588817041
2024,10101,urbana,28,mujer,125,2630,4.752851711026616
2024,10102,rural,16,hombre,0,94,0.0
2024,10102,rural,16,mujer,0,85,0.0
2024,10102,rural,17,hombre,1,77,1.2987012987012987
