gestion,codigo_municipio,area,edad,sexo,numerador,denominador,valor
2024,10101,rural,16,hombre,0,184,0.0
2024,10101,rural,16,mujer,0,160,0.0
2024,10101,rural,17,hombre,0,165,0.0
2024,10101,rural,17,mujer,0,151,0.0
2024,10101,rural,18,hombre,0,149,0.0
2024,10101,rural,18,mujer,0,150,0.0
2024,10101,rural,19,hombre,2,145,1.3793103448275863
2024,10101,rural,19,mujer,0,125,0.0
2024,10101,rural,20,hombre,5,139,3.597122302158273
2024,10101,rural,20,mujer,3,115,2.608695652173913
2024,10101,rural,21,hombre,3,119,2.5210084033613445
2024,10101,rural,21,mujer,5,144,3.4722222222222223
2024,10101,rural,22,hombre,12,144,8.333333333333334
2024,10101,rural,22,mujer,20,129,15.503875968992247
2024,10101,rural,23,hombre,13,169,7.6923076923076925
2024,10101,rural,23,mujer,16,154,10.38961038961039
2024,10101,rural,24,hombre,26,167,15.568862275449101
2024,10101,rural,24,mujer,19,165,11.515151515151516
2024,10101,rural,25,hombre,26,182,14.285714285714286
2024,10101,rural,25,mujer,19,140,13.571428571428571
2024,10101,rural,26,hombre,24,148,16.216216216216218
2024,10101,rural,26,mujer,36,143,25.174825174825173
2024,10101,rural,27,hombre,36,157,22.929936305732483
2024,10101,rural,27,mujer,38,152,25.0
2024,10101,rural,28,hombre,24,138,17.391304347826086
2024,10101,rural,28,mujer,21,120,17.5
2024,10101,urbana,16,hombre,0,2565,0.0
2024,10101,urbana,16,mujer,0,2585,0.0
2024,10101,urbana,17,hombre,0,2744,0.0
2024,10101,urbana,17,mujer,0,2720,0.0
2024,10101,urbana,18,hombre,0,2971,0.0
2024,10101,urbana,18,mujer,0,3001,0.0
2024,10101,urbana,19,hombre,14,2886,0.4851004851004851
2024,10101,urbana,19,mujer,22,3016,0.7294429708222812
2024,10101,urbana,20,hombre,51,2869,1.7776228651097943
2024,10101,urbana,20,mujer,56,2937,1.9067075246850527
2024,10101,urbana,21,hombre,123,2897,4.2457714877459445
2024,10101,urbana,21,mujer,233,3058,7.619359058207979
2024,10101,urbana,22,hombre,310,2876,10.778859527121002
2024,10101,urbana,22,mujer,491,3014,16.290643662906437
2024,10101,urbana,23,hombre,493,3018,16.335321404903908
2024,10101,urbana,23,mujer,837,3227,25.937403160830492
2024,10101,urbana,24,hombre,718,3113,23.064567940893028
