gestion,codigo_municipio,area,edad,sexo,numerador,denominador,valor
2024,10101,rural,16,hombre,142,149,95.30201342281879
2024,10101,rural,16,mujer,125,133,93.98496240601504
2024,10101,rural,17,hombre,124,134,92.53731343283582
2024,10101,rural,17,mujer,118,124,95.16129032258064
2024,10101,rural,18,hombre,111,119,93.27731092436974
2024,10101,rural,18,mujer,119,128,92.96875
2024,10101,rural,19,hombre,110,114,96.49122807017544
2024,10101,rural,19,mujer,103,107,96.26168224299066
2024,10101,rural,20,hombre,85,93,91.39784946236558
2024,10101,rural,20,mujer,90,94,95.74468085106383
2024,10101,rural,21,hombre,73,80,91.25
2024,10101,rural,21,mujer,117,121,96.69421487603306
2024,10101,rural,22,hombre,107,113,94.69026548672566
2024,10101,rural,22,mujer,106,114,92.98245614035088
2024,10101,rural,23,hombre,108,114,94.73684210526316
2024,10101,rural,23,mujer,121,130,93.07692307692308
2024,10101,rural,24,hombre,121,128,94.53125
2024,10101,rural,24,mujer,138,141,97.87234042553192
2024,10101,rural,25,hombre,118,124,95.16129032258064
2024,10101,rural,25,mujer,118,120,98.33333333333333
2024,10101,rural,26,hombre,107,110,97.27272727272727
2024,10101,rural,26,mujer,119,123,96.7479674796748
2024,10101,rural,27,hombre,101,108,93.51851851851852
2024,10101,rural,27,mujer,132,136,97.05882352941177
2024,10101,rural,28,hombre,91,96,94.79166666666667
2024,10101,rural,28,mujer,91,98,92.85714285714286
2024,10101,urbana,16,hombre,1424,1922,74.0894901144641
2024,10101,urbana,16,mujer,1600,2024,79.05138339920948
2024,10101,urbana,17,hombre,1524,2059,74.0165128703254
2024,10101,urbana,17,mujer,1611,2144,75.13992537313433
2024,10101,urbana,18,hombre,1611,2157,74.68706536856746
2024,10101,urbana,18,mujer,1743,2304,75.65104166666667
2024,10101,urbana,19,hombre,1421,2029,70.03449975357319
2024,10101,urbana,19,mujer,1609,2319,69.38335489435102
2024,10101,urbana,20,hombre,1368,2014,67.9245283018868
2024,10101,urbana,20,mujer,1597,2283,69.95181778361804
2024,10101,urbana,21,hombre,1377,2031,67.79911373707533
2024,10101,urbana,21,mujer,1619,2395,67.59916492693111
2024,10101,urbana,22,hombre,1338,1990,67.23618090452261
2024,10101,urbana,22,mujer,1679,2378,70.60555088309503
2024,10101,urbana,23,hombre,1439,2064,69.71899224806202
2024,10101,urbana,23,mujer,1910,2537,75.28577059519117
2024,10101,urbana,24,hombre,1522,2104,72.33840304182509
2024,10101,urbana,24,mujer,1976,2503,78.94526568118258
2024,10101,urbana,25,hombre,1453,1882,77.20510095642933
2024,10101,urbana,25,mujer,1947,2294,84.87358326068004
2024,10101,urbana,26,hombre,1493,1858,80.35522066738429
2024,10101,urbana,26,mujer,1935,2247,86.11481975967958
2024,10101,urbana,27,hombre,1361,1688,80.62796208530806
2024,10101,urbana,27,mujer,1911,2212,86.39240506329114
2024,10101,urbana,28,hombre,1418,1770,80.11299435028249
2024,10101,urbana,28,mujer,1810,2178,83.10376492194673
2024,10102,rural,16,hombre,75,80,93.75
2024,10102,rural,16,mujer,69,79,87.34177215189874
2024,10102,rural,17,hombre,52,60,86.66666666666667
2024,10102,rural,17,mujer,64,71,90.14084507042253
2024,10102,rural,18,hombre,59,67,88.05970149253731
2024,10102,rural,18,mujer,59,60,98.33333333333333
2024,10102,rural,19,hombre,45,47,95.74468085106383
2024,10102,rural,19,mujer,57,67,85.07462686567165
2024,10102,rural,20,hombre,68,75,90.66666666666667
2024,10102,rural,20,mujer,55,59,93.22033898305085
2024,10102,rural,21,hombre,62,64,96.875
2024,10102,rural,21,mujer,59,67,88.05970149253731
2024,10102,rural,22,hombre,50,57,87.71929824561404
2024,10102,rural,22,mujer,55,58,94.82758620689656
2024,10102,rural,23,hombre,57,60,95.0
2024,10102,rural,23,mujer,58,63,92.06349206349206
2024,10102,rural,24,hombre,58,62,93.54838709677419
2024,10102,rural,24,mujer,62,64,96.875
2024,10102,rural,25,hombre,53,57,92.98245614035088
2024,10102,rural,25,mujer,59,65,90.76923076923077
2024,10102,rural,26,hombre,59,63,93.65079365079364
2024,10102,rural,26,mujer,68,74,91.89189189189189
2024,10102,rural,27,hombre,57,62,91.93548387096774
2024,10102,rural,27,mujer,53,62,85.48387096774194
2024,10102,rural,28,hombre,55,58,94.82758620689656
2024,10102,rural,28,mujer,59,67,88.05970149253731
2024,10103,rural,16,hombre,132,136,97.05882352941177
2024,10103,rural,16,mujer,125,126,99.2063492063492
2024,10103,rural,17,hombre,110,114,96.49122807017544
2024,10103,rural,17,mujer,112,113,99.11504424778761
2024,10103,rural,18,hombre,104,108,96.29629629629629
2024,10103,rural,18,mujer,113,114,99.12280701754386
2024,10103,rural,19,hombre,80,80,100.0
2024,10103,rural,19,mujer,100,100,100.0
2024,10103,rural,20,hombre,99,102,97.05882352941177
2024,10103,rural,20,mujer,79,80,98.75
2024,10103,rural,21,hombre,78,78,100.0
2024,10103,rural,21,mujer,88,88,100.0
2024,10103,rural,22,hombre,68,71,95.77464788732394
2024,10103,rural,22,mujer,69,70,98.57142857142857
2024,10103,rural,23,hombre,81,82,98.78048780487805
2024,10103,rural,23,mujer,85,86,98.83720930232558
2024,10103,rural,24,hombre,67,69,97.10144927536231
2024,10103,rural,24,mujer,79,80,98.75
2024,10103,rural,25,hombre,71,73,97.26027397260275
2024,10103,rural,25,mujer,65,67,97.01492537313433
2024,10103,rural,26,hombre,69,71,97.1830985915493
2024,10103,rural,26,mujer,62,65,95.38461538461539
