gestion,codigo_municipio,area,sexo,numerador,denominador,valor
2024,10101,rural,hombre,2038,10497,19.415070972658857
2024,10101,rural,mujer,1871,10290,18.182701652089406
2024,10101,urbana,hombre,36921,131625,28.05014245014245
2024,10101,urbana,mujer,38144,144334,26.427591558468553
2024,10102,rural,hombre,966,4654,20.756338633433604
2024,10102,rural,mujer,947,4602,20.57800956106041
2024,10103,rural,hombre,1351,6982,19.349756516757378
2024,10103,rural,mujer,1261,6667,18.914054297285137
2024,10201,rural,hombre,705,4004,17.607392607392608
2024,10201,rural,mujer,691,3899,17.722492946909465
2024,10202,rural,hombre,1789,8268,21.63763909046928
2024,10202,rural,mujer,1984,8544,23.220973782771537
2024,10301,rural,hombre,1240,4721,26.265621690319847
2024,10301,rural,mujer,1043,4183,24.934257709777672
2024,10301,urbana,hombre,580,2422,23.94715111478117
2024,10301,urbana,mujer,531,2368,22.423986486486488
2024,10302,rural,hombre,1447,5459,26.506686206264884
2024,10302,rural,mujer,1163,4860,23.930041152263374
2024,10302,urbana,hombre,240,1091,21.998166819431713
2024,10302,urbana,mujer,260,1129,23.029229406554474
2024,10303,rural,hombre,729,3188,22.867001254705144
2024,10303,rural,mujer,734,3147,23.323800444868127
2024,10303,urbana,hombre,293,1327,22.07987942727958
2024,10303,urbana,mujer,291,1393,20.89016511127064
2024,10304,rural,hombre,1171,4681,25.016022217474898
2024,10304,rural,mujer,1112,4474,24.8547161376844
2024,10401,rural,hombre,423,2619,16.151202749140893
2024,10401,rural,mujer,397,2341,16.958564715933363
2024,10401,urbana,hombre,451,2009,22.448979591836736
2024,10401,urbana,mujer,498,2223,22.402159244264507
2024,10402,rural,hombre,780,3336,23.381294964028775
2024,10402,rural,mujer,764,3153,24.230891214716145
2024,10402,urbana,hombre,243,974,24.94866529774127
2024,10402,urbana,mujer,244,1046,23.326959847036328
2024,10403,rural,hombre,824,3507,23.495865412033076
2024,10403,rural,mujer,765,3435,22.270742358078603
2024,10404,rural,hombre,411,1917,21.439749608763695
2024,10404,rural,mujer,376,1851,20.31334413830362
2024,10405,rural,hombre,640,2862,22.36198462613557
2024,10405,rural,mujer,639,2792,22.88681948424069
2024,10501,rural,hombre,1081,6184,17.48059508408797
2024,10501,rural,mujer,876,5304,16.5158371040724
2024,10501,urbana,hombre,1487,6465,23.00077339520495
2024,10501,urbana,mujer,1526,6593,23.145760655240405
2024,10502,rural,hombre,648,3732,17.363344051446944
2024,10502,rural,mujer,543,3468,15.657439446366782
2024,10601,rural,hombre,1073,5185,20.694310511089682
2024,10601,rural,mujer,1032,5160,20.0
2024,10601,urbana,hombre,304,1407,21.606254442075336
2024,10601,urbana,mujer,328,1571,20.878421387651176
2024,10602,rural,hombre,817,4266,19.151429910923582
2024,10602,rural,mujer,784,4214,18.6046511627907
2024,10701,rural,hombre,920,4708,19.541206457094308
2024,10701,rural,mujer,897,4604,19.483058210251954
2024,10701,urbana,hombre,522,2561,20.38266302225693
